COMPANY NAME,HEIDELBERGCEMENT INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,193.4,,,,,,,,,
Market Capitalization,4381.58,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1208.91,2044.28,1648.35,1717.46,1889.47,2133.35,2169.62,2116.67,2296.96,2238.1
Raw Material Cost,282.26,443.83,342.78,325.99,356.64,391.52,383.59,368.55,450.36,413.58
Change in Inventory,30.52,27.72,9.34,-34.66,-13.61,5.18,-5.06,-3.92,21.7,12.58
Power and Fuel,388.75,562.41,452.04,429.27,443.9,504.93,473.6,488.02,642.42,772.63
Other Mfr. Exp,69.27,111.42,104.91,160.87,178.6,194.5,209.48,208.52,225.36,220.76
Employee Cost,96.75,133.88,105.19,114.94,120.39,124.19,131.44,127.6,131.09,133.4
Selling and admin,352.03,477.66,408.48,358.19,397.67,422.91,404.11,390.12,408.36,436.27
Other Expenses,-51.85,81.42,13.12,14.68,15.3,17.14,34.55,23.3,26.52,25.19
Other Income,11.82,134.88,22.44,23.69,19.93,34.82,52.73,46.46,49.07,45.29
Depreciation,89.07,137.54,99.78,99.15,101.17,101.77,108.61,111.03,112.05,112.31
Interest,105.64,138.93,108.45,89.77,74.45,74.78,73.85,50.85,36.44,46.06
Profit before tax,-80.67,119.79,45.38,113.63,207.67,341.61,398.06,391.22,335.13,135.77
Tax,-39.94,60.26,9.99,37.42,74.49,120.95,130,76.27,82.87,36.6
Net profit,-40.73,59.53,35.39,76.21,133.18,220.66,268.06,314.95,252.26,99.17
Dividend Amount,,,,45.32,56.66,90.65,169.96,181.3,203.96,158.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,576.47,544.52,620.03,589.89,506.05,540.12,602.04,595.64,566.46,607.13
Expenses,460.01,476.08,501.47,494.84,458.47,503.04,532.9,502.76,496.97,541.67
Other Income,13.86,12.29,12.41,10.26,11.01,10.55,13.47,13.38,14.26,13.08
Depreciation,28.2,28.32,27.96,28,28.13,28.74,27.44,27,26.91,27.42
Interest,11.21,9.88,5.17,8,20.66,10.89,6.51,9.14,8.59,8.49
Profit before tax,90.91,42.53,97.84,69.31,9.8,8,48.66,70.12,48.25,42.63
Tax,31.35,12.09,4.23,17.7,2.79,2.42,13.69,17.8,12.45,11.16
Net profit,59.56,30.44,93.61,51.61,7.01,5.58,34.97,52.32,35.8,31.47
Operating Profit,116.46,68.44,118.56,95.05,47.58,37.08,69.14,92.88,69.49,65.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,226.62,226.62,226.62,226.62,226.62,226.62,226.62,226.62,226.62,226.62
Reserves,606.74,644.94,668.31,740.33,819.78,944.57,1088.02,1267.27,1338.62,1234.77
Borrowings,1356.82,1298.64,1039.01,705.31,619.23,516.82,412.73,306.33,198.75,181.67
Other Liabilities,568.43,649.51,680.67,735.38,867.19,1007.52,1065.46,1045.2,1059.84,1021.6
Total,2758.61,2819.71,2614.61,2407.64,2532.82,2695.53,2792.83,2845.42,2823.83,2664.66
Net Block,1787.32,1793.77,1901.19,1877.07,1806.03,1736.84,1693.03,1618.44,1561.82,1490.43
Capital Work in Progress,166.98,127.42,56.05,6.29,8.07,17.24,15.99,18.91,27,5.83
Investments,,,,,,,,,4.8,4.8
Other Assets,804.31,898.52,657.37,524.28,718.72,941.45,1083.81,1208.07,1230.21,1163.6
Total,2758.61,2819.71,2614.61,2407.64,2532.82,2695.53,2792.83,2845.42,2823.83,2664.66
Receivables,30.6,19.14,25.76,12.56,18.8,25.32,25.67,33.32,39.99,31.12
Inventory,198.92,191,178.21,139.64,126.89,167.42,145.76,160.71,173.05,175.23
Cash & Bank,114.14,146.26,7.77,14.2,212.41,337.67,470.62,431.65,382.13,491.96
No. of Equity Shares,226631310,226631309,226631309,226631309,226631309,226631309,226631309,226631309,226631309,226631309
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2013-12-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,119.39,237.55,256.94,361.4,377.14,393.1,458.74,439.45,301.85,226.11
Cash from Investing Activity,-195.42,6.19,-107.97,-40.24,-13.7,-26.33,-14.1,-173.19,-35,144.39
Cash from Financing Activity,116.99,-211.62,-287.46,-314.73,-165.46,-241.88,-313.82,-303.88,-328.17,-266.54
Net Cash Flow,40.96,32.12,-138.49,6.43,197.98,124.89,130.82,-37.62,-61.32,103.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,37.4,74.3,81.2,124.5,142.4,181.55,141.85,233.6,189.6,160.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
