COMPANY NAME,LEMON TREE HOTELS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,145.4,,,,,,,,,
Market Capitalization,11519.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,290.36,367.95,412.08,484.26,549.51,669.44,251.72,402.24,874.99
Raw Material Cost,,28.44,31.5,31.86,40.08,45.51,52.62,17.14,26.47,46.82
Change in Inventory,,,,,,,,,,
Power and Fuel,,34.12,37.02,38.41,48.46,52.7,61.34,32.74,43.75,68.71
Other Mfr. Exp,,33.26,41.58,45.31,46.89,58.75,55.08,18.25,33.14,60.6
Employee Cost,,78.18,85.49,96.89,109.57,120.53,155.32,70.39,97.32,149.73
Selling and admin,,63.03,62.13,79.73,98.8,100.84,94.02,49.14,79.13,98.15
Other Expenses,,2.34,10.22,3.2,4.19,2.39,10.3,6.78,3.57,3.41
Other Income,,13.08,5.35,11.57,13.05,15.29,10.87,21.99,21.84,9.62
Depreciation,,51.69,52.26,51.01,52.62,54.11,92.25,107.55,104.35,96.6
Interest,,72.46,72.02,77.57,78.37,84.7,161.56,190.46,180.94,182.35
Profit before tax,,-60.08,-18.92,-0.33,18.33,45.27,-2.18,-218.74,-144.59,178.24
Tax,,3.16,6.59,4.79,3.78,-11.11,10.88,-32.21,-7.23,37.7
Net profit,,-63.24,-26.92,-6.17,14.19,52.88,-9.54,-127.07,-87.43,114.56
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,96.9,143.65,119.54,192.04,196.72,233.55,252.69,222.26,227.2,288.69
Expenses,63.03,80.37,97.96,104.45,103.09,107.08,112.8,117.76,125.33,148.95
Other Income,2.38,2.72,7.92,0.52,0.96,0.78,2.17,2.66,3.12,2.52
Depreciation,26.25,25.42,26.52,24.5,25.03,23.55,23.52,22.79,22.6,33.34
Interest,44.6,43.8,42.41,42.91,44.6,44.49,45.17,48.14,47.35,53.38
Profit before tax,-34.6,-3.22,-39.43,20.7,24.96,59.21,73.37,36.23,35.04,55.54
Tax,-1.43,2,-0.26,7.13,5.61,10.61,14.35,8.7,8.65,11.75
Net profit,-20.82,-1.87,-24.62,13.85,16.77,39.97,43.97,23.46,22.65,35.4
Operating Profit,33.87,63.28,21.58,87.59,93.63,126.47,139.89,104.5,101.87,139.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,776.43,778.04,781.21,786.39,789.3,790.31,790.42,790.81,791.61
Reserves,,33.76,29.81,27.36,28.45,85.73,198.57,127.16,40.44,62.12
Borrowings,,571.05,624.79,798.67,1011.05,1195.57,2017.41,2159.47,2127.97,2176.83
Other Liabilities,,514.92,571.8,604.5,632.29,701.23,756.47,737.78,673.81,698.18
Total,,1896.16,2004.44,2211.74,2458.18,2771.83,3762.76,3814.83,3633.03,3728.74
Net Block,,1236.25,1231.43,1418.34,1459.84,1603.77,3307.12,3193.78,3051.03,2957.33
Capital Work in Progress,,167.12,259.25,350.81,559.08,663.87,189.57,241.78,296.83,482.18
Investments,,31.25,5.78,6.34,14.57,34.93,14.01,5.54,9.62,5.54
Other Assets,,461.54,507.98,436.25,424.69,469.26,252.06,373.73,275.55,283.69
Total,,1896.16,2004.44,2211.74,2458.18,2771.83,3762.76,3814.83,3633.03,3728.74
Receivables,,17.91,24.49,31.45,52.52,84.42,50.27,30.82,29.06,55.98
Inventory,,4.81,5.39,4.94,5.39,5.98,8.22,7.22,8.12,10.52
Cash & Bank,,30.04,13.81,17.59,21.03,31.4,40.82,141.14,54.29,27.48
No. of Equity Shares,,776425740,778041131,781213033,786393251,789295571,790314474,790421473,790813372,791607223
New Bonus Shares,,646125652,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,-50.96,68.02,121.65,114.52,186.67,150.99,41.01,135.3,384.85
Cash from Investing Activity,,-150.11,-102.76,-229.19,-260.07,-289.46,-598.24,-65.59,-45.44,-283.17
Cash from Financing Activity,,158.72,18.5,111.33,148.97,113.16,456.67,111.22,-163.03,-132.28
Net Cash Flow,,-42.35,-16.23,3.79,3.42,10.37,9.42,86.64,-73.17,-30.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,80.65,22,37,63.4,77.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,77.65,77.81,78.13,78.64,79.22,79.22,79.22,79.22,79.22
