COMPANY NAME,ORIENT ELECTRIC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,214.7,,,,,,,,,
Market Capitalization,4578.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,216.44,1599.77,1864.4,2061.82,2032.6,2448.37,2529.17,2812.12
Raw Material Cost,,,124.81,1070.51,1309.36,1443.35,1386.27,1822.62,1791,1964.93
Change in Inventory,,,,27.09,38.07,34,-34.68,56.01,-33.18,7.93
Power and Fuel,,,,10.35,11.52,10.62,7.6,9.36,10.16,
Other Mfr. Exp,,,,92.75,13.4,12.68,9.04,10.6,10.67,
Employee Cost,,,,143.23,175.02,200.06,181.07,192.29,194.23,258.88
Selling and admin,,,0.87,150.99,241.02,277.56,229.42,285.52,425.09,
Other Expenses,,,66.93,19.9,8.95,-25.14,-35.27,-47.33,-86.14,451.92
Other Income,,,0.84,2.92,7.61,3.82,5.99,5.81,26.61,34.22
Depreciation,,,1.75,19.75,23.05,40.12,43.15,47.08,53.5,59.02
Interest,,,2.72,24.47,22.86,26.12,20.73,20.29,22.15,23.26
Profit before tax,,,20.2,97.83,104.9,114.27,161.9,169.76,101.94,96.26
Tax,,,8.37,33.8,35.59,35.65,42.16,43.12,26.09,20.99
Net profit,,,11.82,64.03,69.31,78.62,119.74,126.64,75.85,75.27
Dividend Amount,,,,21.22,21.22,24.4,42.44,42.44,31.92,32.01
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,678.35,753.32,621.63,510.59,739.04,657.91,705.63,566.9,751.93,787.66
Expenses,611.89,672.67,583.48,498.98,684.18,611.55,661.64,546.23,703.01,756.92
Other Income,0.89,2.68,5.19,6.47,8.61,6.34,2.86,22.04,4.28,5.04
Depreciation,11.84,11.91,12.79,13.11,13.86,13.74,14.32,14.18,15.04,15.48
Interest,4.58,5.95,5.16,4.84,6.03,6.12,5.93,5.16,5.36,6.81
Profit before tax,50.93,65.47,25.39,0.13,43.58,32.84,26.6,23.37,32.8,13.49
Tax,12.85,16.69,6.44,0.41,11.02,8.22,6.91,4.92,8.47,0.69
Net profit,38.08,48.78,18.95,-0.28,32.56,24.62,19.69,18.45,24.33,12.8
Operating Profit,66.46,80.65,38.15,11.61,54.86,46.36,43.99,20.67,48.92,30.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,0.05,21.22,21.22,21.22,21.22,21.22,21.28,21.34
Reserves,,,191.74,242.03,285.36,338.17,434.44,520.09,563.36,617.59
Borrowings,,,210.53,185.93,134.94,155.19,61.41,67.54,97.25,111.58
Other Liabilities,,,344.5,359.2,447.25,445.86,645.29,578.52,582.74,700.48
Total,,,746.82,808.38,888.77,960.44,1162.36,1187.37,1264.63,1450.99
Net Block,,,,105.69,116.57,190,185.89,211.89,225.8,238.3
Capital Work in Progress,,,,4.66,4.3,10.31,11.31,3.1,85.96,222.57
Investments,,,,,,,,,,37.33
Other Assets,,,746.82,698.03,767.9,760.13,965.16,972.38,952.87,952.79
Total,,,746.82,808.38,888.77,960.44,1162.36,1187.37,1264.63,1450.99
Receivables,,,361.26,386.36,392.35,363.73,355.18,390.36,355.98,461.96
Inventory,,,176.52,209.06,263.96,286.5,249.16,326.07,284.64,315.06
Cash & Bank,,,23.37,30.5,31.61,7.48,257.55,150.52,164.22,66.33
No. of Equity Shares,,,500000,212185502,212185502,212185502,212185502,212185502,212785578,
New Bonus Shares,,,,,,,,,,
Face value,,,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,58.7,91.3,131.96,129.24,427.28,11.37,189.73,
Cash from Investing Activity,,,4.35,-22.27,-31.18,-50.83,-150.63,78.2,-109.94,
Cash from Financing Activity,,,-39.72,-61.86,-99.77,-102.86,-143.65,-79.65,-66.13,
Net Cash Flow,,,23.33,7.17,1.01,-24.45,133,9.92,13.66,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,152.45,196.4,311.45,321.25,270.3,193.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,21.22,21.22,21.22,21.22,21.22,21.28,21.34
