COMPANY NAME,PB FINTECH LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1233.4,,,,,,,,,
Market Capitalization,55615.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,77.57,90.04,333.93,492.25,771.3,886.66,1424.89,2557.85,3437.68
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,1.77,2.71,3.44,6.12,7.55,4.22,6.87,12,
Other Mfr. Exp,,0.95,0.73,3.2,2.53,3.31,5.82,8.89,12.9,
Employee Cost,,74.32,94.96,178.2,397.62,520.85,554.05,1255.54,1539.6,1644.12
Selling and admin,,63.17,107.09,193,401.43,529.56,444.48,984.58,1557.2,1013.79
Other Expenses,,8.94,26.32,8.54,20.54,29.8,37.62,69.53,97.61,968.05
Other Income,,9.79,34.98,26.4,36.56,84.27,70.65,123.73,258.92,380.57
Depreciation,,1.97,3.36,7.41,30.42,47.3,41.38,42.84,63.82,88.72
Interest,,0.01,0.01,0.08,7.58,12.05,11.66,13.76,21.6,26.46
Profit before tax,,-63.77,-110.16,-33.54,-337.43,-294.85,-141.92,-833.39,-487.96,77.11
Tax,,0.02,,25.65,9.38,9.19,8.33,-0.48,-0.02,12.7
Net profit,,-63.79,-110.16,-59.19,-346.81,-304.03,-150.24,-832.91,-487.22,66.98
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,367.28,540.3,505.19,573.47,610.09,869.1,665.59,811.63,870.89,1089.57
Expenses,684.65,795.33,739.74,799.53,743.52,937.15,742.7,901.06,897.75,1084.62
Other Income,33.56,50.87,47.48,60.58,68.91,82.34,91.31,97.49,93.61,98.31
Depreciation,10.7,12.05,13.23,15.58,17.52,17.49,19.52,22.32,23.08,23.8
Interest,3.49,3.9,4.09,5.54,5.56,6.17,6.26,7.18,6.44,6.57
Profit before tax,-298,-220.11,-204.39,-186.6,-87.6,-9.37,-11.58,-21.44,37.23,72.89
Tax,0.02,-0.5,-0.06,0.03,0.02,-0.03,0.32,-0.32,,12.7
Net profit,-298.02,-219.61,-204.33,-186.64,-87.3,-8.95,-11.42,-20.24,38.05,60.59
Operating Profit,-317.37,-255.03,-234.55,-226.06,-133.43,-68.05,-77.11,-89.43,-26.86,4.95
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,0.04,0.04,0.04,0.04,0.04,0.05,89.9,90.02,90.24
Reserves,,96.69,300.95,786.92,489.42,1264.74,1990.5,5321.76,5386.28,5780.79
Borrowings,,,,,88.71,108.44,108.69,159.36,226.59,253.33
Other Liabilities,,29.13,43.87,92.76,173.28,202.78,231.49,344.46,551.14,604.15
Total,,125.86,344.86,879.72,751.45,1576,2330.73,5915.48,6254.03,6728.51
Net Block,,3.86,6.24,10.76,118.89,147.32,124.76,204.9,313.28,358.62
Capital Work in Progress,,,,,,,,,,
Investments,,18.72,236.9,649.76,125.25,1.99,137.76,373.08,622.09,1358.47
Other Assets,,103.28,101.72,219.2,507.31,1426.69,2068.21,5337.5,5318.66,5011.42
Total,,125.86,344.86,879.72,751.45,1576,2330.73,5915.48,6254.03,6728.51
Receivables,,25.49,38.45,96.06,131.29,178.77,172.9,360.87,677.31,650.52
Inventory,,,,,,,,,,
Cash & Bank,,60.86,34.33,48.02,267.36,1105.64,1810.18,3700.24,762.72,734.97
No. of Equity Shares,,35988,36018,36073,38027,38027,228195,449499806,450116349,
New Bonus Shares,,,,,,,,176735820,,
Face value,,10,10,10,10,10,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,-102.33,-96.96,-83.22,-282.12,-364,28.71,-1567.88,-298.97,8.65
Cash from Investing Activity,,-14.57,-244.22,-434.39,374.92,79.18,-1202.18,-2124.91,46.41,300.81
Cash from Financing Activity,,118.96,314.66,512.73,-23.39,1031.3,758.81,3621.42,-42.51,-56.83
Net Cash Flow,,2.06,-26.52,-4.89,69.42,746.49,-414.66,-71.37,-295.06,252.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,694.3,638.9,1124.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.02,44.95,45.01,45.12
