COMPANY NAME,WONDERLA HOLIDAYS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,920.45,,,,,,,,,
Market Capitalization,5211.53,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,153.63,181.87,205.36,262.82,270.59,282.04,270.87,38.42,128.6,429.22
Raw Material Cost,9.43,11.77,14.38,24.26,28.65,29.69,29,4.37,13.99,44.76
Change in Inventory,-0.03,0.58,0.85,0.66,-0.73,-0.26,0.36,-0.35,0.29,0.6
Power and Fuel,6.24,6.42,6.43,9.27,8.5,8.43,8.6,2.91,4.3,8.32
Other Mfr. Exp,19.54,25.57,29.72,41.04,44.64,46.78,51.65,19.56,37,68.1
Employee Cost,25.28,27.08,31.01,39.16,41.61,38.11,40.41,25.46,32.52,51.16
Selling and admin,21.61,28.05,37.81,78.96,52.82,39.63,33.12,11.07,17.21,40.55
Other Expenses,0.8,1.66,2.01,3,4.43,3.66,3.12,3.14,1.91,3.64
Other Income,2.34,9.42,18.07,11.35,7.75,9.57,30.93,6.29,4.37,22.65
Depreciation,13.2,16.19,13.92,29.28,36.51,39.51,41.77,43.66,38.41,35.23
Interest,1.92,2.19,1.97,1.33,1.21,1.5,1.9,0.62,0.68,1.6
Profit before tax,57.92,72.94,87.03,48.53,59.24,84.04,92.59,-66.43,-12.76,199.11
Tax,18.02,22.31,27.21,14.62,20.74,28.62,27.81,-16.49,-3.27,50.21
Net profit,39.89,50.63,59.82,33.91,38.5,55.41,64.78,-49.93,-9.48,148.9
Dividend Amount,6.3,8.48,11.3,5.65,8.48,10.17,10.17,,,14.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,17.21,48.31,58.14,149.42,66.04,113.2,98.6,184.64,75.16,123.56
Expenses,20.71,34.06,38.09,58.1,46.62,56.76,56.27,67.76,54.75,69.08
Other Income,1.12,1.8,1.3,2.88,3.69,4.56,14.04,5.63,6.24,5.96
Depreciation,9.58,9.49,9.52,9.05,8.65,8.54,8.98,10.14,8.02,9.93
Interest,0.08,0.07,0.07,0.06,0.05,0.07,0.16,0.15,0.14,0.18
Profit before tax,-12.04,6.49,11.76,85.09,14.41,52.39,47.23,112.22,18.49,50.33
Tax,-2.76,1.94,3.25,20.7,3.89,13.45,12.18,27.74,4.96,12.97
Net profit,-9.28,4.55,8.51,64.38,10.53,38.94,35.05,84.47,13.52,37.36
Operating Profit,-3.5,14.25,20.05,91.32,19.42,56.44,42.33,116.88,20.41,54.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,42,56.5,56.5,56.5,56.5,56.51,56.52,56.53,56.55,56.56
Reserves,107.93,299.94,346.5,684.15,716.12,762.02,802.41,752.98,744.12,893.06
Borrowings,23.88,15.13,7.49,19.23,3.78,0.99,6.17,3.94,2.64,6.94
Other Liabilities,26.4,26.06,44.77,137.32,152.36,154.79,116.02,97.66,102.36,119.71
Total,200.21,397.63,455.26,897.2,928.76,974.31,981.12,911.11,905.67,1076.27
Net Block,145.46,139.36,152.78,708.16,833.68,801.33,784.96,749.99,724.11,726.27
Capital Work in Progress,20.07,39.76,158.87,58.54,15.49,33.63,35.91,34.54,32.53,42.03
Investments,,194.28,84.4,75.05,12.16,50.09,70.04,53.45,65.07,120.27
Other Assets,34.68,24.23,59.21,55.45,67.43,89.26,90.21,73.13,83.96,187.7
Total,200.21,397.63,455.26,897.2,928.76,974.31,981.12,911.11,905.67,1076.27
Receivables,0.34,0.51,0.78,0.95,1.17,1.48,0.38,0.48,1.23,1.39
Inventory,3.34,4.1,6.59,8.95,7.13,6.24,6.96,7.16,7.56,9.44
Cash & Bank,20.04,8.31,28.04,8.53,24.86,42.8,53.78,39.48,40.21,135.72
No. of Equity Shares,42000000,56500670,56500670,56500670,56500670,56508850,56518926,56532438,56547184,56559167
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,50.23,55.62,72.9,67.77,84.09,90.69,72.72,-24.41,21.4,192.28
Cash from Investing Activity,-25.94,-222.85,-18.88,-99.73,-38.27,-98.92,-43.63,44.13,-36.11,-164.15
Cash from Financing Activity,-7.12,149.3,-28.89,7.12,-23.82,-13.37,-28.11,-2.12,-1.54,-7.74
Net Cash Flow,17.17,-17.94,25.14,-24.84,21.99,-21.61,0.98,17.61,-16.25,20.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,261.3,388.05,387.05,341.6,310.1,139.6,192.3,235.1,428.25
,,,,,,,,,,
DERIVED:,,,,,,,,,,
