COMPANY NAME,DEEPAK FERTILIZERS & PETROCHEMICALS CORP LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,539.75,,,,,,,,,
Market Capitalization,6803.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3904.63,3808.3,4309.21,4150.11,5994.86,6742.06,4685.38,5808.49,7663.29,11300.69
Raw Material Cost,2819.92,3017.09,3517.48,2824.2,4650.33,5354.66,3169.41,3735.63,5207.78,7955.57
Change in Inventory,47.75,72.2,174.29,-118.99,95.39,64.03,-140.17,-68.26,178.58,286.34
Power and Fuel,34.12,36.2,39.24,47.37,83.15,58.05,61.88,83.09,96.22,83.03
Other Mfr. Exp,131.85,115.18,88.4,109.96,124.4,149.22,152.13,189.73,230.53,247.65
Employee Cost,168.93,153.73,183.3,210.73,246.54,278.53,306.86,366.45,493,595.43
Selling and admin,186.11,220.1,248.38,295.96,360.88,408.17,300.31,333.38,357.58,405.9
Other Expenses,94.06,41.61,49.13,69.12,81.04,100.48,90.03,71.02,100.63,134.01
Other Income,34.82,36.75,71.35,13.16,22.97,53.6,94.95,27.05,43.75,84.02
Depreciation,114.28,124.43,121.8,135.02,163.23,171.46,213.53,211.95,232.53,239.21
Interest,100.98,111.09,130.01,121.47,173.16,229.33,242.93,187.71,154.82,194.73
Profit before tax,336.95,97.82,177.11,230.45,230.49,109.79,103.08,588.32,1012.53,1815.52
Tax,96.44,31.23,59.89,75.83,66.39,36.32,14.07,181.88,325.05,594.64
Net profit,240.5,67.99,116.27,154.31,162.67,70.67,87.26,400.31,678.27,1210.1
Dividend Amount,57.33,35.28,44.1,52.92,52.92,26.46,26.78,77.01,108.53,126.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1793.01,1955.7,2012.48,3031.07,2719.32,2754.76,2795.54,2313.01,2424.16,1852.64
Expenses,1580.98,1603.71,1510.88,2290.61,2224.66,2293.55,2326.43,2032.46,2138.09,1570.46
Other Income,10.92,17.09,10.05,11.21,27.07,30.55,15.19,20.37,18.99,11.12
Depreciation,51.32,65.8,52.91,58.69,56.45,55.09,68.98,59.49,81.17,91.17
Interest,36.74,36.19,38.6,43.52,43.26,53.1,54.85,79.2,107.12,105.53
Profit before tax,134.89,267.09,420.14,649.46,422.02,383.57,360.47,162.23,116.77,96.6
Tax,41.56,86.48,137.23,213.8,146.43,131.31,103.1,48.61,53.32,36.07
Net profit,90.82,179.73,279.7,433.89,271.89,249.44,254.88,110.03,60.13,57.56
Operating Profit,212.03,351.99,501.6,740.46,494.66,461.21,469.11,280.55,286.07,282.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,88.2,88.2,88.2,88.2,88.2,88.2,89.28,102.68,120.59,126.24
Reserves,1364.98,1383.88,1439.47,1927.97,1957.97,1959.65,2049.83,2599.91,3763.63,4940.76
Borrowings,963.58,1384.07,1969.64,2012.8,3532.09,3032.11,3015.17,2592.96,2656.32,3698.88
Other Liabilities,722.57,584.02,956.62,1019.16,1413.2,2037.65,1776.95,1864.96,2203.63,2655.33
Total,3139.33,3440.17,4453.93,5048.13,6991.46,7117.61,6931.23,7160.51,8744.17,11421.21
Net Block,1427.38,1383.97,1317.44,2056.23,2188.82,2208.9,2711.82,2620.85,2643.76,2678.24
Capital Work in Progress,95.3,151.82,396.2,385.27,653.84,1370.22,1309.56,1618.86,2427.66,3528.35
Investments,210.36,253.27,72.18,154.05,387.74,252.4,12.37,449.28,878.86,599.62
Other Assets,1406.29,1651.11,2668.11,2452.58,3761.06,3286.09,2897.48,2471.52,2793.89,4615
Total,3139.33,3440.17,4453.93,5048.13,6991.46,7117.61,6931.23,7160.51,8744.17,11421.21
Receivables,789.06,953.51,1548.05,1311.33,1965.37,1396.26,1275.8,923.41,620.04,1690.53
Inventory,346.22,409.41,605.92,504.53,768.49,827.9,683.69,637.22,1044.89,1258.9
Cash & Bank,95.69,60.35,232.56,98.02,100.31,116.23,259.26,246.31,288.75,498.65
No. of Equity Shares,88204943,88204943,88204943,88204943,88204943,88204943,89284425,102677088,120592948,126237825
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,414.79,-53.77,-110.38,796.24,-131.51,1310.01,578.27,1247.5,1211.02,493.14
Cash from Investing Activity,-63.87,-188.82,-62.23,-839.91,-1138.66,-575.67,-155.65,-633.82,-1429.57,-978.84
Cash from Financing Activity,-355.65,204.92,329.84,-81.28,1269.21,-737.44,-353.79,-613.07,221.46,603.86
Net Cash Flow,-4.73,-37.67,157.23,-124.95,-0.96,-3.1,68.83,0.61,2.91,118.16
