COMPANY NAME,BSE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2710.15,,,,,,,,,
Market Capitalization,36689.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,583.71,634.97,571.71,675.9,652.48,605.51,630.45,840.7,924.84,1592.5
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,14.12,20.91,17.73,13.31,12.2,10.77,9.14,9.26,12.16,
Other Mfr. Exp,6.96,9.43,10.62,19.95,10.49,9.42,8.73,9.5,12.91,
Employee Cost,100.65,108.37,117.49,121.28,140.5,151.71,149.36,177.8,181.56,204.71
Selling and admin,150.06,194.89,184.95,226.88,229.26,246.17,226.5,278.17,332.94,471.98
Other Expenses,21.68,58.25,50.47,19.99,41.23,60.25,35.15,14.27,32.81,313.64
Other Income,-9.89,22.82,136.54,529.41,55.78,61.71,19.17,52.01,42,503.84
Depreciation,58.77,53.67,50.28,45.45,51.08,51.04,57.87,48.29,60.34,95.44
Interest,0.66,0.33,0.96,1.03,0.87,2.37,10.3,28.16,36.86,15.05
Profit before tax,220.92,211.94,275.75,757.42,222.63,135.49,152.57,327.26,297.26,995.52
Tax,43.78,37.05,10.66,55.45,23.35,14.88,10.87,82.33,91.61,223.86
Net profit,155.53,132.93,220.57,688.72,199.28,122.27,144.9,254.33,220.67,778.39
Dividend Amount,51.95,80.55,150.64,191.7,155.4,76.5,94.5,182.59,162.54,203.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,213.24,228.3,192.85,234.32,238.71,258.96,259.61,362.02,426.1,544.77
Expenses,135.13,143.67,137.09,184.3,164.94,131.76,145.52,172.82,279.66,392.33
Other Income,22.27,21.17,15.8,20.51,20.32,21.7,430.08,23.98,21.79,27.99
Depreciation,12.27,12.74,10.43,12.23,16.97,20.71,21.41,22.67,24.86,26.5
Interest,5.18,7.61,7.62,7.41,6.47,5.98,6.51,8.54,,
Profit before tax,82.93,85.45,53.51,50.89,70.65,122.21,516.25,181.97,143.37,153.93
Tax,24.35,13.93,13.49,21.5,23.02,33.6,76.16,63.56,37.1,47.04
Net profit,61.29,74.48,44.04,33.81,51.64,91.18,442.66,120.5,108.19,107.04
Operating Profit,78.11,84.63,55.76,50.02,73.77,127.2,114.09,189.2,146.44,152.44
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.39,10.74,10.76,10.65,10.36,9,9,27.05,27.09,27.07
Reserves,2450.17,2512.19,2651.64,3069.9,2918.2,2416.1,2497.59,2627.47,2674.06,3275.52
Borrowings,4.1,0.66,3.48,,,,0.03,0.02,0.02,0.02
Other Liabilities,1730.02,1716.54,2517.13,1917.53,1575.32,2050.67,2120.46,3530.86,3292.64,6147.62
Total,4194.68,4240.13,5183.01,4998.08,4503.88,4475.77,4627.08,6185.4,5993.81,9450.23
Net Block,250.57,240.92,249.43,207.15,203.58,190.11,183.84,161.25,252.33,288.68
Capital Work in Progress,3.66,2.63,5.97,7.02,18.24,21.87,3.79,10.02,1.93,11.13
Investments,2276.18,2114.82,1996.19,2441.58,2379.65,2132,1843.97,1968.12,1453.45,2389.87
Other Assets,1664.27,1881.76,2931.42,2342.33,1902.41,2131.79,2595.48,4046.01,4286.1,6760.55
Total,4194.68,4240.13,5183.01,4998.08,4503.88,4475.77,4627.08,6185.4,5993.81,9450.23
Receivables,36,47.19,68.86,54.87,49.03,69.99,87.32,63.39,90.89,210.87
Inventory,,,,,,,,,,
Cash & Bank,1452.48,1299.33,2402.98,1982.64,1548.08,1609.18,1926.87,3511.66,3049.57,4462.85
No. of Equity Shares,103927772,107356344,53808172,53259532,51789002,45024297,45024297,135267891,135462891,
New Bonus Shares,120000,,120000,,,,,90178594,90178594,
Face value,1,1,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-152.82,-44.22,817.26,-238.76,-313.22,396.71,-67.55,1441.75,-137.11,
Cash from Investing Activity,371.38,163.85,94.73,-236.04,347.4,470.29,-189.56,-979.9,-111.33,
Cash from Financing Activity,-45.47,-119.68,-84.57,108.39,-352.01,-617.77,-55.25,8.94,-185.51,
Net Cash Flow,173.09,-0.05,827.42,-366.41,-317.83,249.23,-312.36,470.79,-433.95,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,325.88,252.07,203.72,98.93,190.37,944,430.95,2515.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,31.18,32.21,16.1,16.14,15.54,13.51,13.51,13.53,13.55,13.54
