COMPANY NAME,EPL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,190.95,,,,,,,,,
Market Capitalization,6074.64,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2124.66,2320.92,2127.5,2302.29,2423.88,2706.93,2761.4,3091.6,3432.8,3694.1
Raw Material Cost,1042.66,1136.83,929.11,1012.13,1053.41,1168.71,1181.4,1288.6,1574.4,1704.8
Change in Inventory,3.12,0.61,5.59,4.24,16.81,3.9,23.3,-4.8,56.8,31
Power and Fuel,64.26,69.16,63.73,68.84,65.95,71.44,72,74.4,81.7,98.7
Other Mfr. Exp,184.19,198.84,199.98,232.21,242.38,274.51,265.5,298,351.3,396.3
Employee Cost,336.13,362.96,374.48,405.35,433.89,500.7,531.9,607.3,650.9,690.4
Selling and admin,121.23,135.22,131.27,136.03,144.29,155.54,154.1,184.2,237.1,235.9
Other Expenses,24.55,26.91,30.24,30.08,36.95,40.75,22.3,23.7,25,23.7
Other Income,20.98,25.63,30.48,52,21.39,36.82,3.3,-2,11.3,40.6
Depreciation,125.76,131.79,123.16,141.48,167.07,186.11,229.8,234.6,251.4,280.5
Interest,81.37,79.36,60.91,58.12,55.02,61.31,55.6,42.9,40.3,67.4
Profit before tax,168.61,206.09,250.69,274.29,263.12,288.58,275.4,331.1,288.8,268
Tax,56.9,61.05,77.57,78.69,88.91,93.19,63.8,86.8,67.5,37.3
Net profit,107.83,140.63,170.1,190.32,171.6,192.53,207.3,239.1,214.4,226.7
Dividend Amount,19.63,25.14,34.56,37.72,37.74,39.41,104.12,129.36,135.88,136.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,870.1,883.4,880.2,831.8,948.1,944.9,969.3,910.2,1001.6,975.1
Expenses,717.4,745.3,747.1,708.4,800.3,796.4,814.7,751.2,820.6,791.7
Other Income,1.4,3.1,2.2,3.1,6.8,4.3,27.4,10.7,10.7,24.5
Depreciation,62.2,64.2,63.1,65.2,66.4,69.9,79,80,83.6,84.2
Interest,9.7,10.3,11.4,12.2,15.7,18.9,20.6,23.5,30.6,29.4
Profit before tax,82.2,66.7,60.8,49.1,72.5,64,82.4,66.2,77.5,94.3
Tax,29.7,8.2,10.7,14.1,24.9,1,-2.7,10.6,25.4,7
Net profit,50.7,57.1,48.7,33.4,46.2,62.8,84.3,54.3,50.5,86.1
Operating Profit,152.7,138.1,133.1,123.4,147.8,148.5,154.6,159,181,183.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,31.41,31.42,31.42,31.43,31.45,63.06,63.1,63.1,63.2,63.6
Reserves,674.44,751.55,933.36,1007.56,1219.14,1324.9,1469.5,1635,1761.3,1925.6
Borrowings,1024.42,961.86,709.28,798.35,734.04,632.5,736.7,642.3,768.8,889.5
Other Liabilities,362.37,365.11,334.03,412.32,452.05,492.27,526.5,654.1,670.2,720.9
Total,2092.64,2109.94,2008.09,2249.66,2436.68,2512.73,2795.8,2994.5,3263.5,3599.6
Net Block,898.15,887.23,924.17,1179.46,1184.16,1307.36,1363.9,1531.2,1473.4,1693.5
Capital Work in Progress,35.53,88.76,57.1,19.33,41.66,41.26,35.2,27.3,146.6,178
Investments,45.44,45.75,30.38,15.26,13.1,16.79,16,14.9,7.2,19.3
Other Assets,1113.52,1088.2,996.44,1035.61,1197.76,1147.32,1380.7,1421.1,1636.3,1708.8
Total,2092.64,2109.94,2008.09,2249.66,2436.68,2512.73,2795.8,2994.5,3263.5,3599.6
Receivables,367.51,375.76,331.22,376.62,459.04,493.4,490.3,589.1,636.7,643
Inventory,224.9,231.76,198.67,245.98,286.39,323.43,369.2,414.9,594.1,607.9
Cash & Bank,141.6,116.41,84.42,102.84,173.45,134.4,371.5,241.4,192.7,244.4
No. of Equity Shares,157101285,157101285,157101285,157158618,157238784,315300740,315508061,315622727,315927799,318266985
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,257.07,312.95,360.83,368.68,343.49,356.39,471.1,522.4,311.7,601.8
Cash from Investing Activity,-212.87,-144.87,-45.53,-279.15,-155.84,-187.87,-108,-278.4,-266,-411.5
Cash from Financing Activity,-32.93,-167.82,-319.96,-76.23,-153.94,-193.91,-141.9,-319.1,-95.4,-138.3
Net Cash Flow,11.27,0.26,-4.66,13.3,33.71,-25.39,221.2,-75.1,-49.7,52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,28.75,62.48,79.83,118.83,119.65,116.65,155.1,236.2,193.6,162.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
