COMPANY NAME,DCX SYSTEMS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,306.75,,,,,,,,,
Market Capitalization,3419.51,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,299.87,449.26,641.16,1102.27,1253.63
Raw Material Cost,,,,,,270.88,431.18,660.44,929.34,1263.05
Change in Inventory,,,,,,-9.6,23.25,41.97,-71.24,143.85
Power and Fuel,,,,,,0.21,0.19,0.27,0.31,0.33
Other Mfr. Exp,,,,,,0.97,1.16,0.7,0.85,0.81
Employee Cost,,,,,,5,5.6,5.48,8.7,10.63
Selling and admin,,,,,,2.1,3.21,4.41,6.18,7.69
Other Expenses,,,,,,6.45,24.96,1.75,18.66,31.3
Other Income,,,,,,9.2,15.97,42.08,22.06,29.55
Depreciation,,,,,,0.74,1.38,2.43,2.18,1.82
Interest,,,,,,5.82,7.94,9.92,11.32,25.63
Profit before tax,,,,,,7.3,12.86,39.81,75.55,85.77
Tax,,,,,,2.71,3.13,10.25,9.95,14.09
Net profit,,,,,,4.59,9.74,29.56,65.61,71.68
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,213.25,417.18,374.04,213.25,173.88,355.95,510.55,170.1,309.12,197.98
Expenses,208.14,397.05,337.55,208.14,163.98,332.89,464.7,162.22,290.09,187.13
Other Income,7,9.47,1.05,7,6.43,6.41,9.7,11.3,12.09,11.01
Depreciation,0.46,0.56,0.57,0.46,0.48,0.48,0.4,0.47,0.48,0.58
Interest,4.98,2.71,5.01,4.98,6.78,9.02,4.75,6.94,6.24,7.07
Profit before tax,6.67,26.33,31.96,6.67,9.07,19.97,50.4,11.77,24.4,14.21
Tax,0.9,8.11,-0.47,0.9,1.2,2.68,9.31,1.92,3.99,2.32
Net profit,5.77,18.21,32.42,5.76,7.87,17.29,41.09,9.85,20.41,11.89
Operating Profit,5.11,20.13,36.49,5.11,9.9,23.06,45.85,7.88,19.03,10.85
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,3.5,3.5,3.5,15.48,19.35
Reserves,,,,,,3.95,13.67,43.29,102.11,547.38
Borrowings,,,,,,110.48,133.98,136.38,502.62,509.48
Other Liabilities,,,,,,371.02,547.69,610,322.41,143.08
Total,,,,,,488.95,698.84,793.17,942.62,1219.29
Net Block,,,,,,5.85,16.6,15.6,14.65,15.18
Capital Work in Progress,,,,,,2.8,,,,5.29
Investments,,,,,,4.11,0.12,,,
Other Assets,,,,,,476.19,682.12,777.57,927.97,1198.82
Total,,,,,,488.95,698.84,793.17,942.62,1219.29
Receivables,,,,,,100.3,87.97,12.31,69.49,319.53
Inventory,,,,,,6.44,77.21,201.68,27.25,229.16
Cash & Bank,,,,,,259.22,416.62,549.33,800.32,595.85
No. of Equity Shares,,,,,,3500000,3500000,3500000,77400000,96723671
New Bonus Shares,,,,,,,,,58050000,
Face value,,,,,,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,121.14,130.03,113.98,-134.03,-590.16
Cash from Investing Activity,,,,,,6.71,8.4,21.07,20.8,21.9
Cash from Financing Activity,,,,,,38.32,18.97,-2.34,364.22,363.79
Net Cash Flow,,,,,,166.17,157.4,132.71,250.99,-204.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,145.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,0.35,0.35,0.35,7.74,9.67
