COMPANY NAME,SAREGAMA INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,429.4,,,,,,,,,
Market Capitalization,8310.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,177.49,186.53,221.68,218.5,356.59,544.72,521.47,441.96,576.2,736.62
Raw Material Cost,1.35,1.1,1.14,1.05,0.93,1,1.56,,,
Change in Inventory,-5.18,2.08,-3.83,8.93,39.12,47.03,-2.56,-24.51,-142.7,-225.04
Power and Fuel,1.34,1.33,1.72,1.72,1.42,1.14,1.22,0.96,0.91,1.09
Other Mfr. Exp,56.15,77.28,80.09,76.6,161.64,270.38,160.48,71.54,6.64,5.49
Employee Cost,37.58,37.47,58.83,49.43,60.07,56.51,66.62,69.53,61.96,75
Selling and admin,48.26,48.61,59.95,70.3,118.86,217.91,212.76,131.58,153.79,189.96
Other Expenses,10.22,20.56,3.57,18.89,16.53,6.66,15.78,13.72,11.3,19.06
Other Income,10.76,10.59,2.49,13.27,10.19,56.41,11.21,30.85,23.07,53.63
Depreciation,3.23,6.27,5.44,4.43,4.15,3.33,4.64,5.61,13.02,20.82
Interest,2.94,0.6,0.48,2.35,3.37,6.56,6.71,3.45,4.52,5.71
Profit before tax,22,5.98,9.12,15.93,38.93,84.67,60.35,151.91,204.43,248.08
Tax,5.07,-0.28,2.24,7.29,10.63,30.36,16.85,38.44,51.78,63.03
Net profit,18.91,6.77,6.83,8.41,28.51,54.11,43.94,112.55,152.6,185.34
Dividend Amount,2.61,2.61,2.61,2.61,5.22,5.22,2.61,34.86,57.84,57.84
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,145.09,150.34,180.24,166.04,184.98,181.94,203.66,163.34,172.35,204.26
Expenses,100.74,95.97,128.81,114.28,128.09,118.79,154.48,113.3,111.48,138.64
Other Income,5.15,8.12,18.84,9.84,11.38,15.14,17.28,17.52,13.2,14.96
Depreciation,2.76,3.54,4.5,3.99,4.46,5.87,6.5,7.04,8.25,9.29
Interest,1.41,0.94,1.49,1.38,1.29,1.36,1.69,1.44,0.22,1.21
Profit before tax,45.33,58.01,64.28,56.23,62.52,71.06,58.27,59.08,65.6,70.08
Tax,11.53,14.47,16.3,14.34,15.91,18.12,14.66,15.76,17.61,17.73
Net profit,33.8,43.4,48.21,41.87,46.57,53.18,43.72,43.48,48.1,52.22
Operating Profit,44.35,54.37,51.43,51.76,56.89,63.15,49.18,50.04,60.87,65.62
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,17.4,17.4,17.4,17.4,17.41,17.41,17.43,17.43,19.28,19.28
Reserves,148.34,150.39,156.61,322.35,364.3,410.67,381.36,488.36,1358.42,1322.83
Borrowings,12.62,7.79,3.62,2.96,15.88,63.77,9.7,1.1,1.3,0.71
Other Liabilities,65.17,71.57,89.42,137.03,180.8,216.95,211.27,277.11,308.87,361.29
Total,243.53,247.15,267.05,479.74,578.39,708.8,619.76,784,1687.87,1704.11
Net Block,102.36,83.79,84.66,198.92,197.33,215.19,219.21,225.86,277.73,337.72
Capital Work in Progress,,,,,,,,1.95,1.75,4.05
Investments,39.72,39.72,39.72,131.61,150.94,148.34,75.44,136.58,676.05,238.77
Other Assets,101.45,123.64,142.67,149.21,230.12,345.27,325.11,419.61,732.34,1123.57
Total,243.53,247.15,267.05,479.74,578.39,708.8,619.76,784,1687.87,1704.11
Receivables,37.38,54.19,46.05,52.27,73.03,109.75,108.46,87.35,107.8,147.97
Inventory,2.94,5.36,1.27,10.34,49.31,96.3,93.64,69.19,105.44,164.26
Cash & Bank,10.38,5.82,25.96,19.02,10.84,6.79,8.99,144.97,323.74,508.27
No. of Equity Shares,17402938,17402938,17402938,17402938,17410492,17410492,17426012,17428012,192809490,192809490
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,27.4,2.66,31.88,-3.61,-18.97,-35.73,79.34,189.71,94.43,93.43
Cash from Investing Activity,-4.32,-0.92,-4.01,0.46,0.13,-6.34,-4.83,-136.14,-630.05,-154.22
Cash from Financing Activity,-24.65,-6.22,-7.77,-3.39,9.11,37.86,-72.47,-49.48,677.22,-75.24
Net Cash Flow,-1.57,-4.48,20.1,-6.54,-9.73,-4.22,2.04,4.09,141.59,-136.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,6.07,11.63,25.64,22.2,62.3,56.05,18.55,151.58,458.7,314.67
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,17.4,17.4,17.4,17.4,17.4,17.4,17.4,17.4,19.3,19.3
