COMPANY NAME,HONASA CONSUMER LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,427.45,,,,,,,,,
Market Capitalization,13816.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,16.84,109.78,459.99,931.76,1394.8
Raw Material Cost,,,,,,6.93,49.04,160.78,304.5,483.08
Change in Inventory,,,,,,0.99,12.26,28.07,21.41,49.64
Power and Fuel,,,,,,0.02,0.03,0.08,0.16,0.53
Other Mfr. Exp,,,,,,0.14,2.63,14.67,92.47,143.25
Employee Cost,,,,,,2.09,8.9,27.76,72.03,126.09
Selling and admin,,,,,,12.95,69.18,256.84,456.92,615.74
Other Expenses,,,,,,0.16,423.97,1361.95,11.47,31.09
Other Income,,,,,,1.07,4.38,12.1,20.68,-132.1
Depreciation,,,,,,0.08,0.65,1.71,5.65,14.78
Interest,,,,,,0.04,0.05,0.98,2.85,5.06
Profit before tax,,,,,,-3.51,-428.03,-1324.61,27.8,-107.28
Tax,,,,,,,,7.61,7.93,13.27
Net profit,,,,,,-3.5,-428.03,-1332.22,19.87,-120.56
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,,386.67,354.86,426.14,460.19,450.89
Expenses,,,,,,356.33,335.76,394.67,414.56,416.74
Other Income,,,,,,4.55,5.18,11.07,7.84,10.96
Depreciation,,,,,,3.54,3.82,4.72,4.51,5.91
Interest,,,,,,1.51,1.37,1.02,1.39,2.14
Profit before tax,,,,,,29.84,19.09,36.8,47.57,37.06
Tax,,,,,,7.8,3.93,9.19,9.83,8.16
Net profit,,,,,,22.04,15.15,27.61,37.74,28.91
Operating Profit,,,,,,30.34,19.1,31.47,45.63,34.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,0.01,0.01,0.01,0.01,136.34
Reserves,,,,,,29.73,-437.18,-1765.16,712.12,490.54
Borrowings,,,,,,0.05,0.38,20.33,,3.61
Other Liabilities,,,,,,4.4,617.8,2047.85,239.81,298.57
Total,,,,,,34.19,181.01,303.03,951.94,929.06
Net Block,,,,,,0.26,1.01,21.09,97.75,126.41
Capital Work in Progress,,,,,,,,,1.88,
Investments,,,,,,26.25,124.33,164.43,531.51,391.88
Other Assets,,,,,,7.68,55.67,117.51,320.8,410.77
Total,,,,,,34.19,181.01,303.03,951.94,929.06
Receivables,,,,,,2.64,10.61,33.84,64.77,112.98
Inventory,,,,,,1.4,13.67,41.74,64.58,105.59
Cash & Bank,,,,,,2.68,26.42,20.75,78.52,53.42
No. of Equity Shares,,,,,,10490,10515,10546,13000,136336000
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,-4.27,-10.36,29.73,52.03,-22.9
Cash from Investing Activity,,,,,,-23.48,-116.92,-20.61,-518.16,2.96
Cash from Financing Activity,,,,,,28.17,128.69,-1.28,481,-6.63
Net Cash Flow,,,,,,0.42,1.41,7.84,14.87,-26.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,13.63
