COMPANY NAME,DATA PATTERNS (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,2848.65,,,,,,,,,
Market Capitalization,15958.15,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,63,49.96,42.15,49.47,56.72,131.06,156.1,223.95,310.85,453.45
Raw Material Cost,21.47,19.41,17.2,18.05,26.73,45.43,53.21,62.97,91.59,194.14
Change in Inventory,1.24,6.19,6.37,5.15,7.85,-3.52,-2.88,-7.44,5.52,23.23
Power and Fuel,1.85,1.91,2.04,1.97,1.94,2.35,2.52,2.37,2.5,3.19
Other Mfr. Exp,1.58,1.28,1.25,1.28,1.61,1.55,1.55,1.77,1.41,2.18
Employee Cost,19.79,20.08,19.33,22.49,23.6,37.65,42.27,48.42,62.35,79.49
Selling and admin,2.63,2.11,1.54,1.49,1.35,7.74,8.68,7.41,13.1,16.68
Other Expenses,0.22,0.13,0.29,0.29,0.45,7.27,1.83,1.58,4.38,9.19
Other Income,1.29,1.26,2.27,0.05,0.16,1.45,4.09,2.6,3.96,9.22
Depreciation,2.48,3.34,3.18,3.03,2.92,5.86,5.48,5.57,6.63,8.45
Interest,5.23,5.08,5.15,4.97,5.11,10.78,13.34,14.5,10.99,7.74
Profit before tax,10.28,4.07,0.81,1.1,1.02,10.36,28.43,74.52,127.38,164.84
Tax,3.41,1.47,0.01,0.39,-0.23,2.66,7.38,18.96,33.41,40.84
Net profit,6.86,2.6,0.8,0.71,1.25,7.7,21.05,55.56,93.97,124
Dividend Amount,0.34,0.34,0.34,0.34,,,,11.1,18.16,25.2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,59.22,43.84,170.54,68.38,88.16,111.81,185.1,89.69,108.31,139.51
Expenses,38.66,28.25,83.08,47.13,58,64.77,111.74,61.82,67.58,79.47
Other Income,0.3,0.7,2.53,1.7,1.85,1.85,3.81,11.61,10.84,11.3
Depreciation,1.52,1.73,1.89,1.98,2.13,2.11,2.22,2.88,3.04,3.3
Interest,2.6,2.65,3.53,1.55,1.22,2.14,2.81,1.72,2.26,2.32
Profit before tax,16.74,11.91,84.57,19.42,28.66,44.64,72.14,34.88,46.27,65.72
Tax,3.85,2.95,22.95,5.18,7.61,11.32,16.78,9.05,12.48,14.75
Net profit,12.89,8.96,61.62,14.24,21.05,33.32,55.36,25.83,33.79,50.97
Operating Profit,20.56,15.59,87.46,21.25,30.16,47.04,73.36,27.87,40.73,60.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,10.38,11.2
Reserves,99.84,101.76,102.15,102.86,103.7,131.19,151.8,206.23,564.13,1155.88
Borrowings,34.48,38.19,38.02,34.99,32,60.14,60.57,37.17,9.2,2.49
Other Liabilities,12.92,15.12,14.97,12.86,16.91,84.4,81.29,83.5,122.96,265.37
Total,148.94,156.77,156.84,152.41,154.31,277.43,295.36,328.6,706.67,1434.94
Net Block,32.21,29.25,26.26,23.61,22.97,36.44,33.35,33.21,47.48,112.04
Capital Work in Progress,,,,,,,,,17.3,1.35
Investments,7.31,7.31,7.31,7.31,7.31,,,,,55.68
Other Assets,109.42,120.21,123.27,121.49,124.03,240.99,262.01,295.39,641.89,1265.87
Total,148.94,156.77,156.84,152.41,154.31,277.43,295.36,328.6,706.67,1434.94
Receivables,42.61,47.09,48.96,54.27,65.03,102.94,115.63,155.94,198.31,382.48
Inventory,26.58,32.82,40.85,47.73,54.01,86.69,79.41,73.74,119.77,192.95
Cash & Bank,2.53,1.08,1.24,1.06,1.14,0.31,1.51,8.8,177.08,544.53
No. of Equity Shares,1699790,1699790,1699790,1699790,1699790,1699790,1699790,1699790,51886650,55983969
New Bonus Shares,,,,,,,,,34992115,
Face value,10,10,10,10,10,10,10,10,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,13.37,1.1,5.94,8.58,10.67,-4.5,13.41,43.38,52.19,-17.24
Cash from Investing Activity,-0.68,-0.78,-0.05,-0.27,-2.17,0.43,1.41,8.77,-119.77,-383.16
Cash from Financing Activity,-11.34,-1.77,-5.73,-8.49,-8.42,2.25,-13.63,-44.86,235.86,438.1
Net Cash Flow,1.35,-1.44,0.16,-0.18,0.08,-1.82,1.2,7.29,168.28,37.7
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,702.9,1375.7
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,5.19,5.6
