COMPANY NAME,AARTI DRUGS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,457.3,,,,,,,,,
Market Capitalization,4201.97,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1096.89,1139.84,1195.17,1243.63,1560.94,1806.09,2154.78,2488.65,2716.05,2528.58
Raw Material Cost,764.49,758.16,765.89,821.92,1026.31,1210.6,1310.66,1750.06,1863.71,1652.21
Change in Inventory,27.3,4.91,0.43,54.87,-16.82,51.28,11.72,86.08,1.75,-25.51
Power and Fuel,49.56,53.93,59.42,71.42,84.39,103.83,98.2,128.34,156.1,
Other Mfr. Exp,68.98,72.66,84.41,99.3,110.19,129.04,147.41,181.25,192.85,
Employee Cost,37.99,44.81,52.87,57.98,60.96,69.4,80.56,82.77,92.2,102.34
Selling and admin,29.75,33.3,36.82,41.76,48.25,72.11,83.75,90.77,92.83,
Other Expenses,1.05,2.07,5.7,4.24,3.1,6.88,5.53,8.95,10.65,432.05
Other Income,0.65,,4,1.05,6.18,5.95,4.74,11.32,2.19,4.03
Depreciation,31.02,36.53,38.46,40.06,42.56,48.75,49.88,50.05,50.32,51.45
Interest,42.28,48.02,40.02,38.36,43.51,37.42,26.23,23.91,37.14,33.52
Profit before tax,99.72,95.27,116.01,124.51,131.03,185.29,369.02,269.95,224.19,235.53
Tax,22.47,26.55,34.21,42.2,41.27,43.89,88.61,64.96,57.83,63.94
Net profit,77.25,68.72,81.8,82.31,89.75,141.4,280.41,205.04,166.31,171.42
Dividend Amount,31.49,16.35,2.39,2.36,2.36,4.66,23.3,9.26,9.26,9.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,634.8,694.27,621.96,687.72,663.96,742.41,661.11,641.54,605.94,619.99
Expenses,544.8,608.27,554.82,613.45,593.31,648.87,577.04,565.1,535.8,534.18
Other Income,6.66,2.96,0.26,0.05,1.01,0.87,0.6,0.69,1.67,1.08
Depreciation,12.6,12.55,12.54,12.66,12.62,12.5,12.6,12.61,12.66,13.58
Interest,5.37,5.91,6.83,8.47,9.36,8.63,8.54,8.25,7.6,9.13
Profit before tax,78.69,70.5,48.03,53.19,49.68,73.28,63.53,56.27,51.55,64.18
Tax,20.41,15.18,13.25,14.45,13.01,17.1,15.56,16.67,14.84,16.87
Net profit,58.29,55.34,34.79,38.75,36.68,56.09,47.85,39.59,36.67,47.37
Operating Profit,90,86,67.14,74.27,70.65,93.54,84.07,76.44,70.14,85.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,24.22,24.22,23.86,23.58,23.58,23.3,93.2,92.6,92.6,91.94
Reserves,283.94,333.18,376.28,431.85,519.86,629.19,820.22,943.76,1099.83,1189.61
Borrowings,447.91,483.4,479.5,546.25,507.21,388.64,350.76,542.82,608.91,564.28
Other Liabilities,247.53,261.39,311.4,387.74,404.84,535.37,501.83,628.78,620.06,586.53
Total,1003.6,1102.19,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.36
Net Block,448.46,493.42,581.09,602.39,624.86,643.81,665.4,689.93,676.23,846.74
Capital Work in Progress,16.06,34.04,14.28,28.45,32.75,12.21,19.26,76.74,210.35,225.23
Investments,4.63,4.63,11.94,10.76,12.44,13.36,17.3,19.48,18.8,19.97
Other Assets,534.45,570.1,583.73,747.82,785.44,907.12,1064.05,1421.81,1516.02,1340.42
Total,1003.6,1102.19,1191.04,1389.42,1455.49,1576.5,1766.01,2207.96,2421.4,2432.36
Receivables,314.27,331.69,296.81,374.94,458.54,488.63,555.23,749.9,864.84,704.55
Inventory,165.86,178.35,209.63,278.21,246.61,325.4,415,525.94,516.29,485.89
Cash & Bank,3.58,4.82,4.17,4.27,5.55,7.64,9.78,22.33,8.96,9.43
No. of Equity Shares,24217100,24217100,23857000,23582000,23582000,23300000,93200000,92600000,92600000,
New Bonus Shares,12108550,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,104.59,133.3,174.75,69.77,143.09,250.74,154.95,70.41,134.2,358.92
Cash from Investing Activity,-107.01,-98.79,-106.98,-73.54,-61.67,-33.21,-71.78,-149.64,-163.97,-223.65
Cash from Financing Activity,1.46,-33.26,-68.23,3.92,-80.07,-215.41,-81.13,92.03,16.54,-136.03
Net Cash Flow,-0.95,1.24,-0.45,0.15,1.35,2.13,2.04,12.8,-13.23,-0.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,162.49,113.06,143.98,126.5,159.33,125.58,694.3,429.1,337.75,434.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
