COMPANY NAME,JBM AUTO LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1802.6,,,,,,,,,
Market Capitalization,21450.25,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1556.95,1517.76,1500.92,1632.88,2206.96,1946.73,1982.04,3193.05,3857.38,5009.35
Raw Material Cost,1102.34,1086,1031.78,1138.4,1512.24,1396.18,1408.48,2277.65,2727.82,3768.44
Change in Inventory,-2.88,64.31,-20.61,-0.69,-33.84,40.5,26.48,-7.58,12.14,216.91
Power and Fuel,25.74,29.28,28.21,29.15,39.64,33.53,32.64,45.01,58.51,
Other Mfr. Exp,54.56,57.95,46.21,57.74,98.48,84.18,104.84,134.22,178.36,
Employee Cost,139.3,171.02,170.19,165.5,216.55,203.99,204.7,302.02,412.1,463.74
Selling and admin,18.69,16.73,38.87,37.69,47.31,38.56,49.87,79.22,127.56,
Other Expenses,22.51,30.95,0.26,,1,0.6,10.38,14.16,-33.09,410.17
Other Income,6.11,6.4,35.39,24.32,26.58,15.58,11.55,20.99,27.31,30.41
Depreciation,39.76,58.95,50.05,55.57,74.83,73.85,75.73,91.43,130.31,171.47
Interest,34.92,52.75,52.75,48.58,59.4,64.27,55.38,75.71,125.72,196.75
Profit before tax,122.36,84.84,97.38,123.88,150.25,107.65,78.05,187.04,169.54,246.1
Tax,29.73,21.91,25.46,42.74,52.16,38.43,28.76,30.66,44.4,52.37
Net profit,76.41,52.38,71.92,70.47,98.09,69.22,49.3,156.19,124.38,178.83
Dividend Amount,10.2,7.14,8.16,8.16,9.18,8.28,7.1,11.82,15.37,17.74
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,821.24,1072.29,865.03,1029.24,953.05,1010.06,946.22,1231.01,1346.17,1485.95
Expenses,736.73,956.81,782.2,929.23,847.37,902.88,832.6,1091.35,1189.65,1313.67
Other Income,8.64,4.93,4.5,10.74,11.92,2.69,3.83,9.72,6.37,12.32
Depreciation,23.61,25.53,28.95,31.19,32.1,38.07,39.88,41.22,42.7,47.67
Interest,18.85,20.74,23.37,29.34,37.94,35.06,39.23,47.93,54.28,55.31
Profit before tax,50.69,74.14,35.01,50.22,47.56,36.74,38.34,60.23,65.91,81.62
Tax,17.62,-11.68,9.08,13.96,13.02,8.33,8.06,11.34,13.85,19.12
Net profit,33.07,85.63,25.81,36.18,34.33,28.07,30.18,44.24,48.66,55.75
Operating Profit,84.51,115.48,82.83,100.01,105.68,107.18,113.62,139.66,156.52,172.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,20.4,20.4,20.4,20.4,20.4,23.65,23.65,23.65,23.65,23.65
Reserves,280.23,323.27,336.22,396.96,624.99,679.87,721.97,872.57,1006.11,1144.02
Borrowings,492.34,525.73,522.41,572.67,781.02,627.36,845.09,1388.31,1703.23,2126.84
Other Liabilities,461.4,649.15,470.73,444.76,579.52,678.11,873.24,944.26,804.82,1570.29
Total,1254.37,1518.55,1349.76,1434.79,2005.93,2008.99,2463.95,3228.79,3537.81,4864.8
Net Block,692.34,711.19,582.74,557.84,834.32,861.13,930.45,1212.68,1540.37,1798.12
Capital Work in Progress,11.97,27.1,34.76,63.3,69.78,89.99,300.46,179.5,268.27,61.8
Investments,16,16,76.05,90.7,48.06,53.81,54.29,48.68,74.42,79.37
Other Assets,534.06,764.26,656.21,722.95,1053.77,1004.06,1178.75,1787.93,1654.75,2925.51
Total,1254.37,1518.55,1349.76,1434.79,2005.93,2008.99,2463.95,3228.79,3537.81,4864.8
Receivables,230.27,291.28,307.98,354.97,609.61,494.59,495.96,579.95,469.13,670.4
Inventory,178.35,288.04,216.36,235.18,289.83,295.55,362.03,413.48,423.9,743.67
Cash & Bank,11.28,7.5,2.56,2.48,11.3,22.48,18.42,34.61,44.74,66.91
No. of Equity Shares,40795364,40795364,40795364,40795364,40795364,47298853,47298853,118247132,118247132,
New Bonus Shares,20397682,,,,,,,,,
Face value,5,5,5,5,5,5,5,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,66.36,145.27,118.9,69.24,152.02,369.81,215.94,-141.89,484.15,204.8
Cash from Investing Activity,-200.22,-115.67,-65.25,-61.48,-189.87,-122.99,-362.67,-295.42,-645.6,-442.67
Cash from Financing Activity,137.74,-34.05,-57.41,-7.92,46.46,-235.68,139.78,453.7,159.12,247.53
Net Cash Flow,3.89,-4.45,-3.75,-0.16,8.61,11.15,-6.96,16.39,-2.33,9.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,87.2,59.3,110.38,151.38,106.5,55.72,168.62,437.3,644,1804.15
,,,,,,,,,,
