COMPANY NAME,MANGALORE REFINERY AND PETROCHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,214.45,,,,,,,,,
Market Capitalization,37592.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,57398.47,39730.19,43766.53,49055,63446.09,50230.39,31959.03,69757.78,108856.1,90406.68
Raw Material Cost,55959.67,34062.79,37268.99,43179.06,59095.86,49518.7,30371.33,63637.66,97388.84,80795.36
Change in Inventory,-1864.18,-794.86,331.98,879.99,417.33,-1259.63,1384.81,1373.3,-1280.28,1075.49
Power and Fuel,93.74,625.61,470.91,468.26,148.4,185.97,213.08,498.72,412.02,
Other Mfr. Exp,368.65,537.68,399.92,778.26,748.87,552.69,1030.2,638.74,616.84,
Employee Cost,245.66,322.85,390.36,459.22,481.43,500.86,578.47,697.81,698.28,772.06
Selling and admin,232.56,277.82,294.57,241.28,143.8,150.69,281.52,189.71,227.19,
Other Expenses,800.62,1399.69,282.23,279.48,615.11,1199.27,161.73,524.19,1705.11,2219
Other Income,841.41,674.12,2015.12,223.13,130.5,70.27,89.69,66.87,213.18,197.91
Depreciation,521.65,1013.04,984.12,966.09,1047.52,1085.79,1158.04,1087.72,1186.7,1257.29
Interest,448.21,1083.46,968.68,915.07,1061.56,1250.67,558.09,1212.08,1298.13,1113.84
Profit before tax,-2295.06,286.51,5053.85,2871.4,651.37,-5403.61,-918.93,2711.32,4255.89,5522.53
Tax,-442.18,-219.26,1760.64,1097.84,300.1,-1361.09,-153.96,-246.94,1600.49,1925.48
Net profit,-1803.29,823.71,3472.64,1992.65,340.04,-3354.63,-764.97,2958.25,2655.41,3597.05
Dividend Amount,,,1051.6,525.8,175.27,,,,,350.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,20408.94,24815.35,32289.73,24608.03,26557.44,25365.43,21173.12,19229.65,24667.08,25328.67
Expenses,18691.78,21874.34,27575.77,26602.86,26270.09,21875.28,19104.78,17091.43,23507.6,22998.96
Other Income,45.75,-3.26,45.48,41.52,52.81,91.42,53.83,66.84,44.6,32.64
Depreciation,289.51,220.49,295.58,296.94,297.98,296.2,294.02,295.97,334.27,333.03
Interest,235.95,394.04,302.16,315.47,337.66,329.97,267.29,311.17,273.64,261.74
Profit before tax,1237.45,2323.22,4161.7,-2565.72,-295.48,2955.4,1560.86,1597.92,596.17,1767.58
Tax,648.36,-685.21,1445.44,-786.46,-100.53,1042.05,546.07,546.24,204.09,629.08
Net profit,589.09,3008.43,2716.26,-1779.26,-194.95,1913.35,1014.79,1051.68,392.08,1138.5
Operating Profit,1717.16,2941.01,4713.96,-1994.83,287.35,3490.15,2068.34,2138.22,1159.48,2329.71
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,1752.66,1752.66,1752.66,1752.66,1752.66,1752.66,1752.66,1752.66,1752.66,1752.66
Reserves,3478.1,4281.26,7749.57,8480.75,8193.11,4607.16,2495.44,5456.69,8111.87,11529.85
Borrowings,14701.56,14395.17,15476.89,14921.02,15617.68,18481.86,24062.41,21310.45,16939.04,12687.04
Other Liabilities,21293.95,23650.41,7869.76,6803.47,7202.81,5734.18,6424.82,11561.23,8355.17,9460.48
Total,41226.27,44079.5,32848.88,31957.9,32766.26,30575.86,34735.33,40081.03,35158.74,35430.03
Net Block,21640.56,21747.1,20618.42,20216.71,20002.38,20431.41,19596.44,21383.81,20395.76,20432.39
Capital Work in Progress,1388.69,198.13,219.92,682.14,995.27,1745.95,2343.06,169.77,474.81,721.41
Investments,0.48,37.58,41.85,30.63,28.76,29.3,25.49,28.52,45.96,48.33
Other Assets,18196.54,22096.69,11968.69,11028.42,11739.85,8369.2,12770.34,18498.93,14242.21,14227.9
Total,41226.27,44079.5,32848.88,31957.9,32766.26,30575.86,34735.33,40081.03,35158.74,35430.03
Receivables,2251.3,2074.09,2618.98,2576.79,2373.92,1017.17,2450.67,4327.67,4469.39,3860.14
Inventory,3793.37,3391.58,4423.19,5247.69,6308.68,4242.75,7108.71,10496.57,6789.93,8306.03
Cash & Bank,10306.65,13808.85,2143.83,833,489.62,28.02,52.08,43.86,38.92,38.61
No. of Equity Shares,1752663780,1752663780,1752663777,1752663777,1752663777,1752663777,1752663777,1752663777,1752663777,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-730.62,1428.51,-1108.29,3971.86,1640.36,288.77,-2818.2,4496.29,6364.38,7045.05
Cash from Investing Activity,-94.04,303.31,-265.42,-981.35,-1080.11,-1448.65,-2101.37,-594.75,-673.23,-1517.88
