COMPANY NAME,AVALON TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,516.05,,,,,,,,,
Market Capitalization,3425.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,641.87,690.47,840.72,944.72
Raw Material Cost,,,,,,,428.98,435.62,560.8,623.84
Change in Inventory,,,,,,,17.73,-20.38,6.67,17.11
Power and Fuel,,,,,,,5.14,4.48,5.07,6.15
Other Mfr. Exp,,,,,,,10.11,10.46,11.47,16.22
Employee Cost,,,,,,,116.21,119.21,131.35,160.66
Selling and admin,,,,,,,28.25,25.73,33.27,33.4
Other Expenses,,,,,,,6.41,8.45,7.85,8.77
Other Income,,,,,,,11.26,5.43,30.89,14.35
Depreciation,,,,,,,15.51,15.75,18,19.66
Interest,,,,,,,44.96,26.99,24.85,34.79
Profit before tax,,,,,,,15.29,28.83,85.62,72.69
Tax,,,,,,,2.97,5.75,18.17,20.19
Net profit,,,,,,,11.54,21.49,63.21,52.5
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,209.75,196.01,244.69,232.69,271.8,235.09,200.99,214.27
Expenses,,,186.16,176.48,216.1,212.49,230.69,218.88,188.38,197.72
Other Income,,,3.44,6.64,6.41,1.23,3.76,5.12,4.74,2.15
Depreciation,,,4.82,4.56,4.87,5.04,5.19,5.27,5.52,6
Interest,,,8.28,7.14,10.01,8.57,9.51,5.6,3.25,3.63
Profit before tax,,,13.93,14.47,20.12,7.82,30.17,10.46,8.58,9.07
Tax,,,3.28,5.18,5.34,2.09,7.47,3.39,1.31,2.49
Net profit,,,10.66,9.3,14.77,5.73,22.71,7.07,7.28,6.58
Operating Profit,,,23.59,19.53,28.59,20.2,41.11,16.21,12.61,16.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,1.53,1.6,1.6,11.59
Reserves,,,,,,,45.04,58.35,87.19,525.43
Borrowings,,,,,,,238.76,277.47,278.74,303.7
Other Liabilities,,,,,,,164.32,175.06,221.9,339.59
Total,,,,,,,449.65,512.48,589.43,1180.31
Net Block,,,,,,,98.67,104.09,114.22,127.53
Capital Work in Progress,,,,,,,2.67,,1.97,15.28
Investments,,,,,,,2.35,,,
Other Assets,,,,,,,345.96,408.39,473.24,1037.5
Total,,,,,,,449.65,512.48,589.43,1180.31
Receivables,,,,,,,113.79,181.89,177.37,206.2
Inventory,,,,,,,155.26,145.78,233.02,317.9
Cash & Bank,,,,,,,26.6,33.53,10.14,422.25
No. of Equity Shares,,,,,,,152997,159667,159667,57953128
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,100,100,100,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,65.73,5.52,15.66,-13.34
Cash from Investing Activity,,,,,,,-19.18,-26.74,-18.4,-26.76
Cash from Financing Activity,,,,,,,-42.34,27.96,-20.84,454.24
Net Cash Flow,,,,,,,4.2,6.75,-23.58,414.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.02,0.02,0.02,5.8
