COMPANY NAME,GAIL (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,193.3,,,,,,,,,
Market Capitalization,127065.09,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,61764.56,60557.37,52052.51,48551.72,54496.35,76189.89,72517.7,57371.91,92769.83,145668.3
Raw Material Cost,48604.32,47884.99,41757.9,36429.92,40862.1,59887.81,57290.1,43285.01,70369.96,130824.26
Change in Inventory,626.45,-231.63,-412.08,-42.29,34.08,547.61,427.99,-440.2,262.78,1992.93
Power and Fuel,1921.48,2073.51,2023.13,1912.39,2142.94,2661.7,2535.8,1761.05,2307.95,4117.97
Other Mfr. Exp,1336.97,2510.08,901.89,882.94,856.6,1004.72,1072,1004.25,1174.51,1280.07
Employee Cost,1042.56,1109.75,987.7,1398.11,1490.79,2001.93,1751.75,1874.69,2096.61,2185.21
Selling and admin,1121.8,1032.44,953.83,749.19,852.69,876.22,998.13,1024.7,1148.13,1342.05
Other Expenses,376.01,83.6,480.41,1115.82,523.71,367.54,275.67,736.95,774.1,409.51
Other Income,1247.48,945.39,730.74,1212.23,948.1,1719.45,3795.8,2833.48,2924.82,2822.37
Depreciation,1644.22,1432.57,1495.6,1541.07,1526.89,1666.64,2080.16,2173.82,2420.17,2701.57
Interest,668.71,651.83,821.83,508.94,294.91,159.2,308.94,179.27,202.48,366.58
Profit before tax,6922.42,4492.36,2948.88,5183.28,6927.9,9831.19,10428.94,7725.45,15463.52,7256.38
Tax,2194.83,1420.92,1091.34,1809.36,2122.85,3278.42,914.3,1582.63,3159.89,1660.49
Net profit,4786.22,3160.05,1869.22,3368.16,4799.07,6545.74,9422.05,6136.35,12256.07,5616
Dividend Amount,1319.22,761.09,697.66,1894.26,2050.76,1608.99,2886.49,2220.2,4440.39,3287.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,21758.05,26145.09,27327.71,37896.81,38680.36,35884.51,33206.62,32788.63,32985.69,34697.82
Expenses,18136.43,21518.31,23064.05,33350.27,36776.57,35402.6,32650.86,30128.09,29405.47,30489.48
Other Income,756.72,847.17,787.54,418.73,548.08,998.79,870.93,528.98,595.15,914.89
Depreciation,603.85,607.57,618.76,677.21,694.81,698.69,630.86,721.65,837.31,872.27
Interest,46.46,46.58,57,57.9,81.81,119.94,106.93,185.36,199.59,176.18
Profit before tax,3728.03,4819.8,4375.44,4230.16,1675.25,662.07,688.9,2282.51,3138.47,4074.78
Tax,855.41,1019.71,901.67,979.21,370.64,264.48,46.16,489.52,696.29,881.43
Net profit,2883.3,3780.78,3454.24,3252.95,1315.11,413.76,634.18,1791.85,2444.05,3194.62
Operating Profit,3621.62,4626.78,4263.66,4546.54,1903.79,481.91,555.76,2660.54,3580.22,4208.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,1268.48,1268.48,1268.48,1691.3,2255.07,2255.07,4510.14,4440.39,4440.39,6575.1
Reserves,31188.47,32754.19,35134.93,37613.59,39423.5,43749.03,44758.11,48741.95,59673.89,58352.33
Borrowings,18536.94,18291.35,9051.64,6553.35,3876.42,2223.73,6911.51,7872.61,9215.72,17816.18
Other Liabilities,15871.55,17355.36,13607.67,12432.7,15797.69,20198.54,18754.02,19975.45,23254.21,25061.68
Total,66865.44,69669.38,59062.72,58290.94,61352.68,68426.37,74933.78,81030.4,96584.21,107805.29
Net Block,25994.57,32143.31,29946.45,28302.48,28859.99,31474.82,37121.1,40188.47,43717.79,48406.7
Capital Work in Progress,18489.89,13805.93,3688.04,4126.04,5938.39,9737.5,11666.31,13399.66,15490.4,16646.5
Investments,1281.68,1272.17,9844.4,10125.09,10451.87,10721.5,9892.95,13057.74,16408.15,17248.32
Other Assets,21099.3,22447.97,15583.83,15737.33,16102.43,16492.55,16253.42,14384.53,20967.87,25503.77
Total,66865.44,69669.38,59062.72,58290.94,61352.68,68426.37,74933.78,81030.4,96584.21,107805.29
Receivables,3446.79,3209.94,2723.46,2750.73,3429.56,4363.39,4818.31,3501.5,7446.53,10679.61
Inventory,2610.56,2378.69,1643.43,1728.01,1951.05,2521.61,3202.61,3010.24,3601.42,5942.46
Cash & Bank,3211.11,1558.25,1845.73,1420.96,2858.54,1425.1,1250.17,2024.64,2804.03,1102.97
No. of Equity Shares,1268477400,1268477400,1268477400,1691300039,2255070933,2255070933,4510141866,4440385225,4440385225,6575099643
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,4615.18,4214.12,3960.36,6024.26,8768.71,7984.2,8345.36,8993.4,9419.91,3204.69
