COMPANY NAME,SHIVALIK BIMETAL CONTROLS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,558.4,,,,,,,,,
Market Capitalization,3223.24,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,80.7,95.22,98.85,118.66,157.86,193.39,187.22,203.72,323.99,420.23
Raw Material Cost,48.92,57.75,56.08,64.88,89.53,108.66,97.82,112.89,172.06,224.06
Change in Inventory,0.86,2.07,-1.94,2.84,7.9,12.78,-9.36,11.61,11,18.07
Power and Fuel,1.2,1.29,1.65,1.91,2.02,2.04,2.06,2.16,2.9,4.03
Other Mfr. Exp,4.01,4.01,4.58,8.42,8.23,8,7.19,13.5,15.14,19.38
Employee Cost,8.71,10.28,11.5,12.41,14.48,16.92,20.02,22.23,27.11,33.95
Selling and admin,7.81,8.47,8.86,14.71,25.51,33.55,28.96,27.43,43.03,50.41
Other Expenses,-0.09,0.14,0.72,0.19,0.35,1.42,1.04,0.99,1.28,1.7
Other Income,-1.35,-0.55,0.57,2.04,4.15,5.35,4.65,4.05,5.45,7.93
Depreciation,2.35,3.17,3.69,4.54,4.62,4.85,6.01,5.9,6.38,8.47
Interest,3.17,3.2,3.9,2.54,3.31,3.58,2.94,1.63,2.76,6.64
Profit before tax,4.13,8.43,6.5,13.94,21.86,32.5,16.47,32.65,69.78,97.59
Tax,0.61,3.49,2.38,5.33,5.87,9.42,3.71,8.5,17.81,24.56
Net profit,3.53,4.94,4.11,8.62,15.99,23.08,12.76,24.15,51.98,73.03
Dividend Amount,,,,0.96,2.3,2.3,1.15,2.3,3.84,6.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,76.23,88.13,89.32,97.69,104.87,107.54,110.13,113.07,112.39,112.17
Expenses,58.4,67.57,70.09,73.44,79.16,79.75,83.11,84.07,84.58,87.96
Other Income,1.22,1.85,1.53,2.24,3.37,0.7,1.62,1.34,2.31,1.38
Depreciation,1.49,1.6,1.86,1.95,2.07,2.22,2.24,2.44,2.45,2.62
Interest,0.37,0.76,1.2,1.52,1.72,1.81,1.59,1.13,1.11,1.12
Profit before tax,17.19,20.05,17.7,23.02,25.29,24.46,24.81,26.77,26.56,21.85
Tax,4.37,5.36,4.43,5.9,6.53,6.22,5.91,6.54,6.88,5.94
Net profit,12.83,14.7,13.27,17.11,18.76,18.25,18.9,20.23,19.68,15.92
Operating Profit,17.83,20.56,19.23,24.25,25.71,27.79,27.02,29,27.81,24.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,3.84,3.84,3.84,3.84,7.68,7.68,7.68,7.68,7.68,11.52
Reserves,52.36,57.04,61.15,67.4,77.59,97.86,107.64,130.55,179.5,243.49
Borrowings,38.68,44.06,42.48,28.64,35.89,44.77,24.85,29.24,57.94,52.65
Other Liabilities,18.57,22.18,19.13,17.95,27.29,25.76,21.42,50.68,56.44,54.03
Total,113.45,127.12,126.6,117.83,148.45,176.07,161.59,218.15,301.56,361.69
Net Block,20.08,34.74,32.7,43.1,45.2,45.3,45.41,45.64,78.97,102.11
Capital Work in Progress,17.85,3.97,4.24,4.47,4.72,5.99,17.54,24.79,7.55,2.99
Investments,17.53,17.75,17.88,9.31,9.31,10.27,10.28,10.29,10.29,23.59
Other Assets,57.99,70.66,71.78,60.95,89.22,114.51,88.36,137.43,204.75,233
Total,113.45,127.12,126.6,117.83,148.45,176.07,161.59,218.15,301.56,361.69
Receivables,21.74,24.08,24.08,26.42,33.59,34.58,30.95,42.82,59.28,79.98
Inventory,18.61,28.8,23.38,26.07,40.6,69.27,50.52,70.14,114.88,121.88
Cash & Bank,0.39,0.37,8.18,1.09,0.35,0.49,0.42,15.93,11.82,17.06
No. of Equity Shares,19201400,19201400,19201400,19201400,38402800,38402800,38402800,38402800,38402800,57604200
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,9.61,2.74,15.48,11.73,5.64,3.76,41.24,29.49,-3.48,61.22
Cash from Investing Activity,-4.51,-4.9,-2.11,-3.1,-7.09,-7.08,-14.45,-14.72,-24.18,-37.47
Cash from Financing Activity,-5.1,2.13,-5.55,-16.57,1.49,3.49,-26.91,0.62,22.87,-17.78
Net Cash Flow,,-0.03,7.81,-7.94,0.05,0.17,-0.12,15.39,-4.79,5.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,2.75,9.72,6.84,21.17,75.13,92.2,14.27,56.8,342.4,513.45
,,,,,,,,,,
DERIVED:,,,,,,,,,,
