COMPANY NAME,SONATA SOFTWARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,518.55,,,,,,,,,
Market Capitalization,14521.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1682.13,1940.5,2370.78,2453.94,2960.9,3743.26,4228.08,5553.37,7449.12,8613.06
Raw Material Cost,1023.81,1162.67,1488.33,1488.07,1780.36,2415.79,2991.58,4017.52,5481.63,5888.87
Change in Inventory,6.13,2.68,-10.01,,,,,-5.55,25.89,69.18
Power and Fuel,5.46,5.81,6.27,6.15,6.24,6.2,2.95,3.16,4.05,
Other Mfr. Exp,6.38,6.63,7.9,7.86,9.01,9.41,9.77,21.58,25.9,
Employee Cost,352.72,409.78,455.99,513.74,568.86,660.31,625.48,737.02,933.11,1334.56
Selling and admin,112.41,141.49,174.26,181.71,229.27,219.42,189.54,264.92,388.05,
Other Expenses,19.73,24.9,48.16,25.41,31.35,59.3,29.16,39.87,37.89,731.38
Other Income,22.98,47.46,66.52,46.59,29.81,58.38,27.5,101.98,70.57,-49.11
Depreciation,6.07,6.16,10.88,12.41,12.74,36.54,39.57,47.32,59.13,131.93
Interest,2.76,7.95,9.28,4.81,3.39,15.18,15.39,18.05,18.54,85.01
Profit before tax,181.9,225.25,226.22,260.37,349.49,379.49,352.14,500.36,597.28,461.38
Tax,48.61,66.66,69.3,68.24,100.61,102.56,108.18,123.93,145.38,152.88
Net profit,133.7,158.59,156.3,192.53,249.26,276.93,243.96,376.43,451.9,308.5
Dividend Amount,73.64,94.68,93.33,108.99,132.47,210.4,145.46,218.19,218.45,316.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1858.02,1463.63,1778.86,1495.98,2260.78,1913.5,2015.53,1912.57,2493.35,2191.61
Expenses,1726.35,1355.53,1637.22,1341.35,2104.52,1761.9,1837.26,1715.25,2285.64,2047.49
Other Income,15.27,45.03,18.19,11.11,16.55,24.97,28.13,23.2,-155.15,54.7
Depreciation,12.68,13.07,12.97,13.62,13.62,18.92,31.2,33.34,33.72,33.67
Interest,4.67,4.23,3.73,3.79,3.85,7.17,20.83,20.67,21.94,21.57
Profit before tax,129.59,135.83,143.13,148.33,155.34,150.48,154.37,166.51,-3.1,143.58
Tax,31.92,34.93,35.37,35.62,37.68,36.71,34.25,42.34,43.06,33.22
Net profit,97.67,100.9,107.76,112.71,117.66,113.77,120.12,124.17,-46.16,110.36
Operating Profit,131.67,108.1,141.64,154.63,156.26,151.6,178.27,197.32,207.71,144.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,10.52,10.52,10.37,10.38,10.39,10.39,10.39,10.39,13.87,27.75
Reserves,417.91,460.48,580.02,642.93,757.87,659.28,895.08,1088.82,1286.78,1378.54
Borrowings,24.43,176.03,55.22,33.73,15.62,86,185.01,159.41,590.5,765.46
Other Liabilities,355.29,344.94,552.08,545.37,744.2,860.79,856.44,1300.63,2465.73,2977.37
Total,808.15,991.97,1197.69,1232.41,1528.08,1616.46,1946.92,2559.25,4356.88,5149.12
Net Block,23.42,119.85,118.28,113.91,199.42,298.14,323.63,426.92,1732.27,1671
Capital Work in Progress,0.19,0.29,0.42,0.28,0.55,,0.12,0.01,0.82,
Investments,63.86,52.25,127.99,198.42,146.36,13.53,75.97,158.61,219.76,245.07
Other Assets,720.68,819.58,951,919.8,1181.75,1304.79,1547.2,1973.71,2404.03,3233.05
Total,808.15,991.97,1197.69,1232.41,1528.08,1616.46,1946.92,2559.25,4356.88,5149.12
Receivables,310.17,354.43,519.91,396.44,811.11,700,615.79,921.95,1236.22,1605.08
Inventory,7.33,10.01,,,,,,2.93,28.82,98
Cash & Bank,199.8,295.22,253.04,347.35,199.21,396.44,677.09,769.63,730.26,864.97
No. of Equity Shares,105159306,105159306,103674431,103779431,103859431,103859431,103859431,103859431,138704906,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,76.86,158.21,184.51,289.58,-6.2,368.56,442.63,450.18,268.42,280.54
Cash from Investing Activity,-125.77,-132.85,-3.02,103.91,12.5,139.14,-112.08,-86.55,-771.46,-54.31
Cash from Financing Activity,-51.34,-29.65,-172.75,-140.43,-166.04,-309.82,-62.1,-270.6,186.75,-108.5
Net Cash Flow,-100.25,-4.29,8.74,253.06,-159.74,197.88,268.45,93.03,-316.29,117.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,66.92,54.66,63.25,117.34,126.64,61.58,190.95,277.28,418.15,722.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
