COMPANY NAME,MAHINDRA LIFESPACE DEVELOPERS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,601,,,,,,,,,
Market Capitalization,9311.55,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,1086.1,593.17,762.15,566.19,592.83,610.94,166.25,393.55,606.61,212.09
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,1273.69
Power and Fuel,5.57,0.91,1.37,1.02,0.93,0.91,0.43,0.69,0.51,
Other Mfr. Exp,505.13,407.19,592.96,399.21,418.82,493.97,126.29,312.88,521.71,
Employee Cost,72.39,71.97,80.72,79.6,91.83,95.63,88.67,99.52,104.8,84.07
Selling and admin,42.37,30.93,33.49,34.36,60.03,64.55,37.64,47.06,66.85,
Other Expenses,36.33,-3.45,3.28,-5.43,-4.62,37.18,6.72,21.18,22.83,1572.81
Other Income,61.34,91.78,113.4,122.66,133.68,-99.61,33.68,200.08,238.87,246.51
Depreciation,13.23,4.18,4.62,4.26,3.77,7.71,6.99,6.51,12.2,13.73
Interest,51.4,35.7,20.21,41.29,12.49,7.63,10.97,6.51,10.91,7.39
Profit before tax,421.02,137.52,138.9,134.54,143.26,-196.25,-77.78,99.28,105.67,54.29
Tax,137.77,42.94,33.01,31.18,24.59,-1.69,-6.33,-62.43,2.83,-44.01
Net profit,266.2,91.7,102.24,101,119.71,-193.41,-71.74,154.49,101.41,98.24
Dividend Amount,49.21,24.62,24.63,30.8,30.81,,,30.9,35.57,41.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,24.34,161.76,94.55,69.79,186.9,255.37,98.04,17.77,81.99,14.29
Expenses,63.14,197.44,126.51,109.15,198.32,282.74,141.15,52.68,120.97,68.39
Other Income,58.75,117.41,119.43,30.83,50.87,37.75,36.68,8.5,82.22,119.11
Depreciation,1.38,2.25,2.44,3.23,3.43,3.1,2.98,3.11,3.82,3.82
Interest,1.69,1.53,1.77,2.49,3.29,3.36,4.21,0.24,0.33,2.61
Profit before tax,16.88,77.95,83.26,-14.25,32.73,3.92,-13.62,-29.76,39.09,58.58
Tax,-7.98,-59.71,7.56,-6.74,-1.37,3.38,-9.35,-10.83,-10.93,-12.9
Net profit,25.02,136.82,75.41,-7.74,33.21,0.53,-4.29,-18.95,49.98,71.5
Operating Profit,-38.8,-35.68,-31.96,-39.36,-11.42,-27.37,-43.11,-34.91,-38.98,-54.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,41.01,41.03,41.05,51.33,51.35,51.36,51.38,154.52,154.67,155.01
Reserves,1433.95,1588.54,1658.52,2007.52,1878.19,1649.91,1579.72,1634,1651.1,1717.76
Borrowings,1237.57,784.25,651.63,458.59,228.24,237.33,244.98,286.32,268.1,877.18
Other Liabilities,896.12,595.91,535.07,480.54,835.81,603.1,696.6,962.6,1536.87,2213.1
Total,3608.65,3009.73,2886.27,2997.98,2993.59,2541.7,2572.68,3037.44,3610.74,4963.05
Net Block,353.53,77.3,99.55,95.34,95.39,98.18,90.93,103.49,36.58,24.33
Capital Work in Progress,7.63,0.7,8.47,9.15,9.81,12.24,14.59,3.4,5.13,5.08
Investments,221.6,816.12,742.46,926.29,687.76,548.22,558.09,622.36,905.33,913.66
Other Assets,3025.89,2115.61,2035.79,1967.2,2200.63,1883.06,1909.07,2308.19,2663.7,4019.98
Total,3608.65,3009.73,2886.27,2997.98,2993.59,2541.7,2572.68,3037.44,3610.74,4963.05
Receivables,46.55,63.47,76.09,145.21,137.27,114.37,56.41,91.89,129.1,107.19
Inventory,1970.31,1305.96,1171.23,912.42,1345.08,1204.26,1344.7,1441.92,2097.58,3377.86
Cash & Bank,76.96,127.89,84.01,130.17,293.77,132.44,135.46,225.48,77.39,106.77
No. of Equity Shares,41012200,41033150,41053550,51328138,51349088,51361388,51383238,154517264,154667185,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,299.72,-173.54,69.59,194.44,167.53,-62.79,-68.02,-52,-148.38,-661.37
Cash from Investing Activity,42.45,106.19,140.87,-179.73,287.68,88.07,110.42,123.23,26.48,214.3
Cash from Financing Activity,-336.12,138.89,-254.82,-40,-370.43,-67.38,-19.84,12.16,-27.05,488.66
Net Cash Flow,6.05,71.54,-44.36,-25.3,84.79,-42.1,22.56,83.4,-148.95,41.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,146.13,131.21,129.17,146.98,120.15,64.13,189.78,395.2,352.1,586.9
,,,,,,,,,,
DERIVED:,,,,,,,,,,
