COMPANY NAME,CYIENT DLM LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,664.55,,,,,,,,,
Market Capitalization,5279.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,,480.47,457.09,628.03,720.53,832.03,1191.87
Raw Material Cost,,,,,373.79,388.18,477.85,555.29,634.15,948.74
Change in Inventory,,,,,-9.48,23.27,-17.44,11.33,-11.06,28.78
Power and Fuel,,,,,2.69,2.62,3.03,3.35,3.8,
Other Mfr. Exp,,,,,10.75,4.24,4.68,6.1,9.22,
Employee Cost,,,,,45.54,44.1,46.86,51.65,64.69,117.38
Selling and admin,,,,,14.55,14.31,21.76,26.6,14.86,
Other Expenses,,,,,5.14,13.19,10.46,4.82,6.46,43.52
Other Income,,,,,2.46,7.83,8.88,7.95,6.31,27.83
Depreciation,,,,,8.31,10.58,18.46,19.29,19.42,22.31
Interest,,,,,14.06,18.19,20.77,21.98,31.52,34.39
Profit before tax,,,,,-1.38,-7.22,15.6,50.73,43.16,82.14
Tax,,,,,-0.59,-0.52,3.78,10.94,11.43,20.94
Net profit,,,,,-0.79,-6.7,11.81,39.8,31.73,61.2
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,,,,170.16,214.4,277.36,217.15,291.84,321.04,361.84
Expenses,,,,146.5,193.77,245.45,197.16,268.29,291.6,323.79
Other Income,,,,-0.68,-0.21,-1.29,0.91,9.28,9.32,8.31
Depreciation,,,,4.96,4.7,4.83,4.83,5.48,5.76,6.25
Interest,,,,7.83,8.46,8.57,9.08,7.59,8.3,9.42
Profit before tax,,,,10.19,7.26,17.22,6.99,19.76,24.7,30.69
Tax,,,,3.1,1.55,4.63,1.63,5.11,6.25,7.95
Net profit,,,,7.1,5.72,12.59,5.36,14.65,18.44,22.74
Operating Profit,,,,23.66,20.63,31.91,19.99,23.55,29.44,38.05
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,,1.37,1.37,1.37,1.37,52.87,79.31
Reserves,,,,,33.56,24.34,36.29,75.75,145.01,829.67
Borrowings,,,,,160.35,307.95,279.02,336.88,356.05,192.12
Other Liabilities,,,,,270.85,259.83,328.35,362.92,550.78,502.18
Total,,,,,466.13,593.49,645.03,776.92,1104.71,1603.28
Net Block,,,,,48.27,106.19,185.62,172.21,160.95,192.14
Capital Work in Progress,,,,,1.03,77.4,2.32,3.39,1.33,0.95
Investments,,,,,,0.32,0.32,0.32,89.52,66.21
Other Assets,,,,,416.83,409.58,456.77,601,852.91,1343.98
Total,,,,,466.13,593.49,645.03,776.92,1104.71,1603.28
Receivables,,,,,119.67,54.59,226.38,152.33,161.75,225.87
Inventory,,,,,178.93,222.58,155.45,269.56,425.08,464.22
Cash & Bank,,,,,59.64,66.15,34.18,121.81,167.6,536.59
No. of Equity Shares,,,,,1367000,1367000,1367000,1367000,52866000,
New Bonus Shares,,,,,,,,,,
Face value,,,,,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,,28.87,16.23,34.93,48.54,52.11,-70.54
Cash from Investing Activity,,,,,-9.96,-88.35,-0.9,-32.41,-141.84,-427.73
Cash from Financing Activity,,,,,-1.59,72.28,-42.82,46.07,74.04,478.97
Net Cash Flow,,,,,17.32,0.16,-8.79,62.19,-15.7,-19.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,720.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,0.14,0.14,0.14,0.14,5.29,7.93
