COMPANY NAME,BHARAT HEAVY ELECTRICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,273.15,,,,,,,,,
Market Capitalization,95112.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,39561.15,31323.39,25505.19,28464.77,28827.48,30441.38,21463.14,17308.69,21211.09,23364.94
Raw Material Cost,17462.84,14198.83,13028.88,13125.88,12102.78,14982.73,11781.64,8158.56,9204.15,10532.61
Change in Inventory,-1053.39,339.5,-210.05,-992.94,-739,989.31,1042.43,-510.86,-525.64,57.15
Power and Fuel,605.54,556.46,499.47,451.55,463.62,496.94,459.41,319.57,415.08,487.67
Other Mfr. Exp,5553.17,4571.12,3665.51,3740.25,4329.32,4560.74,3522.22,3384.61,5229.76,6008.66
Employee Cost,5956.57,5475.48,5387.33,5402.71,6075.55,5509.25,5431.88,5378.36,5519.05,5700.63
Selling and admin,1650.44,1458.7,1032.5,1448.06,1365.75,1795.59,1542.87,1136.43,1047.14,1142.85
Other Expenses,2699.72,3261.47,3038.34,2208.37,2098.33,2053.19,-99.3,1468.98,-1557.77,-1257.81
Other Income,1617.02,1220.9,1492.27,753.19,679.24,661.52,590.02,392.56,404.67,544.49
Depreciation,985.36,1082.01,936.7,849.79,787.33,475.74,503.27,473.25,314.12,260.34
Interest,133.46,92.43,359.81,412.84,330.17,378.29,612.67,466.56,448.13,612.19
Profit before tax,5077.68,2187.29,-1161.13,585.57,1214.87,1839.74,-659.07,-3595.93,470.46,479.44
Tax,1575.34,736.85,-455.55,130.39,776.68,837.32,809.28,-896.23,25.75,2.05
Net profit,3502.86,1452.38,-704.13,457.26,441.16,1005.1,-1466.01,-2697.11,446.03,477.39
Dividend Amount,692.67,283.92,97.9,386.72,668.19,696.41,,,139.28,139.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,5112.19,5135.9,8061.68,4672,5202.57,5263.38,8226.99,5003.43,5125.29,5503.81
Expenses,5142.15,5046.69,6909.78,4841.93,5446.49,5119.12,7240.84,5367.52,5513,5566.67
Other Income,96.07,103.89,131.37,83.66,226.31,110.17,124.51,129.88,192.04,118.15
Depreciation,42.82,74.12,85.95,66.69,58.61,62.47,72.57,59.99,59.91,60.6
Interest,90.42,85.98,95.56,97.88,123.24,139.25,161.06,167.96,180.41,189.6
Profit before tax,-67.13,33,1101.76,-250.84,-199.46,52.71,877.03,-462.16,-435.99,-194.91
Tax,-20.55,5.98,189.29,-62.85,-211.56,10.43,266.03,-118.27,-197.87,-46.14
Net profit,-45.98,27.02,912.47,-187.99,12.1,42.28,611,-343.89,-238.12,-148.77
Operating Profit,-29.96,89.21,1151.9,-169.93,-243.92,144.26,986.15,-364.09,-387.71,-62.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,489.52,489.52,489.52,489.52,734.28,696.41,696.41,696.41,696.41,696.41
Reserves,32680.71,33717.08,31824.63,31899.47,31600.71,30207.93,27964.31,25287.25,25810.19,26131.62
Borrowings,4693.07,1889.47,211.4,155.89,109.73,2598.47,5079.96,4950.89,4829.93,5453.51
Other Liabilities,37467.92,34886.91,33051.48,29152.84,31495.34,30987.02,26550.33,25025.18,25654.31,27832.03
Total,75331.22,70982.98,65577.03,61697.72,63940.06,64489.83,60291.01,55959.73,56990.84,60113.57
Net Block,4729.4,4229.75,3968.71,3601.19,3073.21,2970.46,2817.12,2491.14,2398.46,2475.98
Capital Work in Progress,2930.82,2613.56,317.84,168.34,202.76,235.44,314,419.56,430.98,353.85
Investments,5.91,5.91,796.42,757.13,428.97,152.36,162.06,185.34,205.15,235.42
Other Assets,67665.09,64133.76,60494.06,57171.06,60235.12,61131.57,56997.83,52863.69,53956.25,57048.32
Total,75331.22,70982.98,65577.03,61697.72,63940.06,64489.83,60291.01,55959.73,56990.84,60113.57
Receivables,28198.55,26520.12,22438.89,22077.58,14064.68,11863.14,7108.6,4035.07,3024.75,3128.35
Inventory,9895.43,10253.86,9865.01,7729.94,6729.6,8355.56,9450.68,7913.97,7307.29,7499.69
Cash & Bank,12019.97,9948.9,10087.2,10493.55,11176.28,7503.54,6418.59,6701.45,7153.69,6642.58
No. of Equity Shares,2447600000,2447600000,2447600000,2447600000,3671400000,3482063355,3482063355,3482063355,3482063355,3482063355
New Bonus Shares,,,,,1223800000,1223800000,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,4512,821.19,374.44,560.41,989.07,-3860.15,-2891.5,559.95,660.25,-741.52
Cash from Investing Activity,-867.86,650.4,23.07,-565.16,961.21,1918.85,1877.06,-42.5,-1118.04,1480.46
