COMPANY NAME,RATNAMANI METALS & TUBES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3109.75,,,,,,,,,
Market Capitalization,21831.81,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,1688.49,1717.8,1411.84,1766.76,2754.9,2585.68,2298.13,3138.78,4474.4
Raw Material Cost,,1173.15,1066.23,918.91,1235.46,1937.29,1750.18,1359.84,2324.63,3086.08
Change in Inventory,,55.38,-64.2,38.42,94.77,33.26,53.87,-111.54,220.75,140.42
Power and Fuel,,27.36,27.1,21.92,34.32,40.21,39.88,42.78,57.7,82.6
Other Mfr. Exp,,110.14,134.72,125.34,179.83,233.83,224.28,194.82,262.56,387.26
Employee Cost,,91.67,100.18,98.31,109.25,129.2,145.71,141.97,159.67,209.95
Selling and admin,,28.67,22.96,16.18,22.45,22.92,29.89,22.26,33.09,41.24
Other Expenses,,12.53,15.22,12.54,14.31,18.17,23.07,25.11,27.07,32.01
Other Income,,25.5,15.96,13.92,32.42,41.2,59.3,43.41,37.7,32.39
Depreciation,,54.36,56.77,59.7,60.61,62.42,58.51,56.85,80.21,83.34
Interest,,9.37,5.99,6.07,9.86,14.77,20.96,22.9,21.36,31.19
Profit before tax,,262.12,240.39,205.21,227.86,370.55,406.37,363.47,430.94,693.54
Tax,,88.67,75.09,61.16,76.09,117.62,98.82,87.46,108.3,181.26
Net profit,,173.45,165.29,144.06,151.77,252.92,307.54,276,322.64,510.48
Dividend Amount,,25.71,25.71,25.71,28.05,42.08,56.1,65.45,65.45,84.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,711.7,927.01,974.06,976.8,899.82,1098.71,1499.08,1174.93,1131.21,1257.26
Expenses,600.36,796.4,805.53,845.89,754.95,899.66,1198.52,968.66,886.35,1056.93
Other Income,9.19,10.74,9.93,8.57,10.16,7.4,6.56,8.51,10.68,15.21
Depreciation,18.88,19.01,23.1,19.01,18.69,20.38,25.27,24.3,23.59,24.7
Interest,5.38,4.62,6.42,4.81,4.73,7.72,13.93,9.85,10.83,12.71
Profit before tax,96.27,117.72,148.94,115.66,131.61,178.35,267.92,180.63,221.12,178.13
Tax,24.75,28.63,37.31,28.82,32.84,44.26,75.34,45.77,56.79,45.34
Net profit,71.52,89.09,111.63,86.83,98.78,133.32,191.55,133.86,163.89,132.87
Operating Profit,111.34,130.61,168.53,130.91,144.87,199.05,300.56,206.27,244.86,200.33
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,9.35,9.35,9.35,9.35,9.35,9.35,9.35,9.35,14.02
Reserves,,900,1035.86,1178.44,1299.49,1513.41,1699.81,1978.21,2238.97,2589.89
Borrowings,,38.84,23.13,,78.91,65.4,251.54,207.28,157.46,237
Other Liabilities,,278.82,250.24,226.05,359.51,464.96,583.88,421.74,556.7,939.38
Total,,1227.01,1318.58,1413.84,1747.26,2053.12,2544.58,2616.58,2962.48,3780.29
Net Block,,424.75,445.99,448.11,445.38,440.02,499.92,865.11,874.63,1121.87
Capital Work in Progress,,41.8,47.66,38.31,46.91,178.6,371.46,76.32,106.79,101.08
Investments,,20.01,24.22,73.83,,203.13,154.84,636.51,108.54,135.12
Other Assets,,740.45,800.71,853.59,1254.97,1231.37,1518.36,1038.64,1872.52,2422.22
Total,,1227.01,1318.58,1413.84,1747.26,2053.12,2544.58,2616.58,2962.48,3780.29
Receivables,,222.5,389.92,425.43,558.19,462.07,370.18,402.57,600.76,1009.22
Inventory,,343.09,294.73,339.1,574,590.03,859.21,536.89,1111.97,1259.17
Cash & Bank,,78.02,12.3,15.41,5.47,142.59,174.1,55.04,43.78,34.13
No. of Equity Shares,,46728000,46728000,46728000,46728000,46728000,46728000,46728000,46728000,70092000
New Bonus Shares,,,,,,,,,,
Face value,,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,148.46,154.79,134.48,-72.73,553.52,215.21,545.55,-283,310.47
Cash from Investing Activity,,-52.14,-11.18,-103.76,21.17,-360.13,-357.83,-469.9,417.68,-207.73
Cash from Financing Activity,,-73.77,-178.8,-27.61,41.62,-56.27,46.81,-78.79,-134.54,-116.08
Net Cash Flow,,22.56,-35.19,3.11,-9.94,137.13,-95.81,-3.14,0.14,-13.34
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,458.13,309.17,504.6,567.47,605.63,604.93,1267.87,1728.9,1981.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01,7.01
