COMPANY NAME,SANDUR MANGANESE & IRON ORES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,488.55,,,,,,,,,
Market Capitalization,7921.68,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,300.05,294.7,222.41,433.71,608.1,702.15,591.61,746.59,2248.74,2125.81
Raw Material Cost,18.94,33.01,24.67,94.96,117.43,124.46,68.58,121.14,790.51,1181.6
Change in Inventory,2.85,19.79,-7.46,21.4,-16.19,-6.74,18.49,0.46,9.22,19.77
Power and Fuel,0.14,0.31,0.2,0.31,0.33,0.33,0.36,0.36,0.56,0.71
Other Mfr. Exp,137.84,139.5,79.9,104.14,104.09,120.58,115.79,108.58,154.3,167.31
Employee Cost,38.83,57.02,54.99,65.13,82.79,82.41,91.77,101.93,112.94,128.05
Selling and admin,40.27,45.86,48.89,93.25,110.91,107.63,107.69,106.15,197.77,198.71
Other Expenses,15.1,13.31,5.93,6.37,10.56,35.11,30.57,32.44,27.74,76.58
Other Income,15.42,2.94,-0.91,8.56,11.1,18.2,5.66,12.96,35.21,58.84
Depreciation,9.21,4.89,4.38,7.05,7.43,12.63,19.47,26.81,55.6,64.26
Interest,0.02,2.35,0.01,7.25,4.95,6.39,6.73,13.06,38.43,27.85
Profit before tax,57.97,21.18,-4.93,85.21,164.52,224.07,174.8,249.54,915.32,359.35
Tax,19.6,6.81,9.3,29.5,58,76.71,27.41,95.6,240.21,88.45
Net profit,38.37,14.36,-14.23,55.71,106.52,147.36,147.39,153.93,675.12,270.91
Dividend Amount,2.62,2.62,2.62,4.38,6.12,6.12,6.12,9,4.5,13.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,565.68,491.77,716.24,651.68,478.5,387.92,607.71,362.53,184.81,153.02
Expenses,258.51,300.98,494.21,595.78,443.62,321.35,372.43,304.63,147.28,135.91
Other Income,8.26,6.68,12.22,12.29,17.82,12.17,16.56,18.32,17.52,15.14
Depreciation,12.25,12.57,18.57,16.06,15.99,15.95,16.26,14.19,14.43,14.56
Interest,9.89,9.27,8.95,6.86,7.09,7,6.9,5.63,5.07,4.8
Profit before tax,293.29,175.63,206.73,45.27,29.62,55.79,228.68,56.4,35.55,12.89
Tax,111.35,66.77,-28.79,11.48,7.71,14.55,54.71,16.6,9.2,3.28
Net profit,181.94,108.86,235.52,33.79,21.91,41.24,173.97,39.8,26.35,9.61
Operating Profit,307.17,190.79,222.03,55.9,34.88,66.57,235.28,57.9,37.53,17.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,8.75,8.75,8.75,8.75,8.75,8.75,8.75,9,9,27.01
Reserves,368.06,379.03,361.7,423.05,520.96,695.3,830.94,984.11,1650.22,1906.81
Borrowings,,,,,,,399.87,368.92,309.78,206.07
Other Liabilities,109.43,114.81,105.65,135.78,127.25,158.35,222.41,361.84,732.6,391.74
Total,486.24,502.59,476.1,567.58,656.96,862.4,1461.97,1723.87,2701.6,2531.63
Net Block,67.21,74.17,77.69,82.74,122.77,260.19,306.4,807.75,844.01,877.66
Capital Work in Progress,3.54,3.75,1.39,2.83,11.86,202.06,557.19,82.25,42.32,66.99
Investments,195.9,208.93,175.39,246.73,302.58,64.91,57.14,290.69,376.01,489.28
Other Assets,219.59,215.74,221.63,235.28,219.75,335.24,541.24,543.18,1439.26,1097.7
Total,486.24,502.59,476.1,567.58,656.96,862.4,1461.97,1723.87,2701.6,2531.63
Receivables,56.64,2.97,8.47,6.31,4.26,20.92,30.8,76.43,202.94,144.24
Inventory,34.48,64.9,60.33,88.66,87.06,64.79,161.63,156.98,311.29,291.88
Cash & Bank,8,13.44,21.75,20.55,22.69,68.93,127.6,131.26,739.21,493.32
No. of Equity Shares,8750000,8750000,8750000,8750000,8750000,8750000,8750000,9001941,9001941,27005823
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,5.51,29.9,2.99,80.32,122.01,168.94,-13.3,340.01,836.92,142.62
Cash from Investing Activity,-6.46,-20.47,3,-68.26,-105.69,-146.77,-370.37,-249.26,-756.59,-11.77
Cash from Financing Activity,-0.01,-3.08,-3.17,-12.47,-13.38,-12.19,377.68,-58.26,-105.89,-147.08
Net Cash Flow,-0.96,6.35,2.81,-0.41,2.94,9.98,-5.99,32.5,-25.56,-16.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,30.59,32.86,25.94,38.82,62.57,53.21,20.77,56.59,197.28,171.3
,,,,,,,,,,
DERIVED:,,,,,,,,,,
