COMPANY NAME,JOHNSON CONTROLS-HITACHI AIR CONDITION. INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1179.2,,,,,,,,,
Market Capitalization,3192.08,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1099.72,1572.84,1640.53,1917.3,2185.39,2241.3,2197.37,1646.54,2159.04,2384.44
Raw Material Cost,700.21,1061.83,1074.38,1158.74,1400.07,1546.34,1564.38,959.26,1581.59,1760.71
Change in Inventory,3.26,102.22,61.55,-61.1,7.57,102.45,167.02,-72.39,75.63,-27.4
Power and Fuel,4.53,7.36,7.54,7.82,8.47,9.5,16.86,14.92,20.08,22.83
Other Mfr. Exp,14.27,18.64,49.18,57.7,58.16,83.23,86.28,66.75,81.67,87.03
Employee Cost,81.85,113.78,110.98,122.23,140.98,165.15,174.54,167.34,177.36,183.63
Selling and admin,183.06,281.47,266.21,285.15,319.32,337.72,306.32,207.73,240.17,283.36
Other Expenses,71.5,53.9,70.91,56.57,66.89,38.01,42.09,40.2,37.02,37.58
Other Income,5.75,7.12,1.63,6.55,7.19,15.42,5.7,14.52,7.06,-4.3
Depreciation,30.04,35.93,45.55,51.85,52.92,44.16,56.29,75.48,72.13,75.26
Interest,11.95,8.26,10.12,4.39,1.98,2.69,5.02,13.56,9.14,7.53
Profit before tax,11.32,101.01,68.84,118.3,151.36,132.37,118.31,43.43,22.57,-105.19
Tax,3.28,23.25,18.87,36.97,51.21,46.43,34.78,10.33,6.45,-23.05
Net profit,8.05,77.76,49.98,81.33,100.15,85.94,83.53,33.1,16.12,-82.14
Dividend Amount,4.08,4.08,4.08,4.08,4.08,4.08,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,397.24,575.64,694.19,1010.32,308.24,518.26,547.62,567.18,280.15,299.56
Expenses,391.56,529.04,654.68,996.67,362.13,520.21,524.26,603.16,323.73,302.71
Other Income,2.1,1.24,2.23,3.88,4.3,-11.68,-0.08,2.87,-10.2,-10.6
Depreciation,18.09,18.15,18.08,18.19,18.89,19.6,18.58,16.4,15.8,16.53
Interest,2.03,1.83,2.29,1.92,1.47,1.59,2.54,4.59,5.12,4.99
Profit before tax,-12.34,27.86,21.37,-2.58,-69.95,-34.82,2.16,-54.1,-74.7,-35.27
Tax,-3.07,7.24,5.69,-0.61,-17,-8.66,3.22,-13.08,-18.3,-8.16
Net profit,-9.27,20.62,15.68,-1.97,-52.95,-26.16,-1.06,-41.02,-56.4,-27.11
Operating Profit,5.68,46.6,39.51,13.65,-53.89,-1.95,23.36,-35.98,-43.58,-3.15
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19,27.19
Reserves,212.84,285.69,330.76,413.04,508.01,585.8,661.33,694.66,712.68,631.98
Borrowings,124.93,139.55,160.4,59.52,12.66,189.62,186.89,89.01,112.46,193.02
Other Liabilities,395.41,625.88,591.15,620.77,708.24,736.41,708.66,831.76,941.58,936.4
Total,760.37,1078.31,1109.5,1120.52,1256.1,1539.02,1584.07,1642.62,1793.91,1788.59
Net Block,195.47,243.03,265.39,257.36,244.27,232.23,400.74,428.48,391.11,382.32
Capital Work in Progress,2.17,2.61,0.76,4.13,1.58,94.13,6.5,9.49,8.79,11.5
Investments,,,,,,,,,,
Other Assets,562.73,832.67,843.35,859.03,1010.25,1212.66,1176.83,1204.65,1394.01,1394.77
Total,760.37,1078.31,1109.5,1120.52,1256.1,1539.02,1584.07,1642.62,1793.91,1788.59
Receivables,188.38,283.84,279.95,281.99,414.27,448.37,254.56,264.08,411.3,321.18
Inventory,290.48,490.31,494.35,459.96,442.1,555.47,727.45,704.2,821.84,868.55
Cash & Bank,21.99,5.74,4.16,23.62,35.81,29.85,17.93,122.27,30.67,22.12
No. of Equity Shares,27190884,27190884,27190884,27190884,27190884,27190884,27190884,27190884,27190884,27190884
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,58.02,54.66,61.55,171.55,97.21,-81.01,139.89,321.22,-54.93,-30.83
Cash from Investing Activity,-71.69,-51.21,-69.45,-41.42,-31.97,-95.03,-107.17,-26.08,-45.99,-43.13
Cash from Financing Activity,-55.85,0.32,6.19,-110.21,-53.05,170.1,-44.63,-190.75,9.34,65.48
Net Cash Flow,-69.52,3.78,-1.72,19.92,12.19,-5.94,-11.91,104.39,-91.58,-8.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
