COMPANY NAME,RAINBOW CHILDREN'S MEDICARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,1400.25,,,,,,,,,
Market Capitalization,14212.78,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,122.08,169.04,233.62,321.29,401.83,542.79,719.39,650.05,973.76,1173.57
Raw Material Cost,22.69,28.98,39.77,51.62,59.99,80.21,105.31,103.26,194.73,158.28
Change in Inventory,,,,,,,,,,
Power and Fuel,3.83,4.44,6.27,8.27,9.33,12.35,14.86,13.84,16.81,21.23
Other Mfr. Exp,5.8,6.82,7.59,10.95,14.71,45.83,65.58,56.7,65.6,86.85
Employee Cost,25.13,34.04,54.11,69.22,88.24,85.8,109.01,102.14,116.37,144.56
Selling and admin,35.9,48.64,82.49,35.55,46.36,163.36,216.75,202.75,266.44,350.18
Other Expenses,4.5,5.22,13.75,90.71,113.79,3.79,7.2,6.22,5.88,12.9
Other Income,2.71,9.68,15.5,11.07,9.6,8.35,10.35,10.26,18.85,30.87
Depreciation,13.37,9.15,18.39,21.89,28.08,60.32,69.41,73.34,83.26,90.27
Interest,2.79,3.13,3.13,2.9,4.27,41.96,48.26,46.37,56.17,58.39
Profit before tax,10.78,38.3,23.62,41.25,46.66,57.52,93.36,55.69,187.35,281.78
Tax,5.72,13.48,6.7,9.9,10.39,12.93,38.02,16.13,48.67,69.4
Net profit,7.94,24.81,16.91,31.35,36.27,44.59,55.73,40.02,138.27,210.83
Dividend Amount,1.86,1.86,1.86,2.32,4.4,4.4,8.79,,18.81,30.45
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,266.2,248.76,212.45,237.15,313.05,306.4,316.97,287.17,332.68,335.96
Expenses,176.99,159.49,164.32,155.05,203.52,199.64,218.97,199.47,215.11,217.88
Other Income,4.9,5.71,6.19,6.03,7.56,8.37,8.9,7.86,7.82,8.61
Depreciation,20.54,21.13,22.28,21.91,22.45,23.18,22.73,25.33,26.8,27.66
Interest,12.34,11.59,16.28,14.22,13.28,13.63,14.07,14.61,13.34,14.26
Profit before tax,61.23,62.26,15.76,52,81.36,78.32,70.1,55.62,85.25,84.77
Tax,15.9,17.07,3.5,13.23,19.86,20.07,16.23,14.13,22.09,22.19
Net profit,45.2,44.94,12.19,38.19,61.13,57.92,53.6,41,62.91,62.13
Operating Profit,89.21,89.27,48.13,82.1,109.53,106.76,98,87.7,117.57,118.08
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,9.28,9.28,9.28,9.28,43.96,43.96,43.96,43.96,94.05,101.5
Reserves,144.13,166.43,274.99,308.45,306.96,317.25,350.5,391.46,497.81,958.41
Borrowings,18.35,16.25,13.02,15.43,13.14,465.3,490.22,518.47,580.91,570.32
Other Liabilities,29.34,39.44,51.99,65.58,83.54,99.88,134.2,127.38,122.97,146.07
Total,201.1,231.4,349.28,398.74,447.6,926.39,1018.88,1081.27,1295.74,1776.3
Net Block,56.46,78.26,123.31,173.61,295.74,701.73,701.53,772.31,858.44,931.11
Capital Work in Progress,4.5,34.8,30.56,7.34,11.65,22.63,42.75,28.77,5.76,22.79
Investments,31.4,7.23,1.55,5.51,0.14,3.19,9.9,18.27,22.1,58.14
Other Assets,108.74,111.11,193.86,212.28,140.07,198.84,264.7,261.92,409.44,764.26
Total,201.1,231.4,349.28,398.74,447.6,926.39,1018.88,1081.27,1295.74,1776.3
Receivables,3.27,4.91,6.46,13.68,15.39,34.97,43.96,43.97,40.41,58.34
Inventory,1.56,3.07,3.79,6.74,5.98,7,15.98,10.1,14.82,18.76
Cash & Bank,84.3,71.23,150.24,88.22,36,76.53,97.24,94.67,185.22,45.51
No. of Equity Shares,9279671,9279671,9279671,9279671,43958924,43958924,43958924,43958924,94053928,101501687
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,14.87,25.52,17.2,35.53,47.91,127.24,170.41,142.71,223.73,327.23
Cash from Investing Activity,-112.92,-19.99,-106.87,-33.34,-42.36,-116.89,-117.03,-82.88,-175.35,-465.2
Cash from Financing Activity,97.95,-6.69,92.55,-1.11,-7.48,-8.69,-51.81,-60.87,-44.06,143.41
Net Cash Flow,-0.1,-1.16,2.88,1.08,-1.93,1.66,1.56,-1.04,4.32,5.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,730.5
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,0.93,0.93,0.93,0.93,4.4,4.4,4.4,4.4,9.41,10.15
