COMPANY NAME,HOUSING & URBAN DEVELOPMENT CORPORATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,214.3,,,,,,,,,
Market Capitalization,42910.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2977.6,3383.45,3269.91,3536.04,4228.36,5583.74,7567.3,7267.21,6986.44,7081.99
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,2.05,2.02,1.97,1.92,1.96,2.19,2.15,2.54,2.48,2.09
Other Mfr. Exp,8.49,8.09,10.42,9.14,18.39,41.94,34.18,14.37,15.57,15.44
Employee Cost,105.44,162.42,140.46,124.47,176.4,224.12,239.02,206.25,218.09,186.62
Selling and admin,37.15,19.47,20.96,20.55,27.99,26.84,22.04,16.07,14.51,17.45
Other Expenses,39.07,285.2,144.78,311.43,300.79,357.4,246.42,38.14,-139.17,56.97
Other Income,25.28,44.4,36.81,98.04,5.78,7.47,4.34,10.52,11.22,4.19
Depreciation,4.22,5.38,4.51,4.68,5.46,5.3,5.71,6.98,7.9,11.31
Interest,1701.65,1775.38,1907.52,1986.46,2294.79,3070.51,4847.81,4764.82,4532.53,4507.08
Profit before tax,1104.81,1169.89,1076.1,1175.43,1408.36,1862.91,2174.31,2228.56,2345.75,2289.22
Tax,370.84,401.57,293.31,333.19,398.45,683.06,466.11,650.06,629.34,587.79
Net profit,733.97,768.32,782.79,842.24,1009.91,1179.85,1708.2,1578.5,1716.41,1701.43
Dividend Amount,100.1,100.1,100.1,110.1,110.1,165.16,620.59,436.41,700.66,770.73
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1736.92,1699.92,1726.93,1749.27,1738.61,1709.58,1852.38,1842.61,1864.8,2012.66
Expenses,97.41,304.45,-398.76,85.04,103.42,245.29,-154.8,60,55.27,11.66
Other Income,8.7,9.49,17.35,8.05,8.26,10.38,10.03,8.66,16.05,10.32
Depreciation,1.54,1.57,3.32,2.76,2.85,2.89,2.81,2.48,2.44,2.46
Interest,1150.01,1141.29,1096.53,1116.79,1108.64,1131.51,1150.14,1191.03,1216.76,1312.73
Profit before tax,496.66,262.1,1043.19,552.73,531.96,340.27,864.26,597.76,606.38,696.13
Tax,126.26,67.51,296.34,141.02,135.65,86,225.12,152.11,154.73,176.9
Net profit,370.4,194.59,746.85,411.71,396.31,254.27,639.14,445.65,451.65,519.23
Operating Profit,1639.51,1395.47,2125.69,1664.23,1635.19,1464.29,2007.18,1782.61,1809.53,2001
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9,2001.9
Reserves,5130.04,5778.57,6443.81,7165.68,7940.38,8952.86,10340.36,11185.84,12464.92,13441.66
Borrowings,18888.21,18315.14,25449,28196.13,36276.64,59847.96,61436.61,60977.97,61503.04,62905.08
Other Liabilities,4204.25,7018.12,1999.28,1975.34,2695.25,2025.61,2346.89,2792.03,2923.81,2620.63
Total,30224.4,33113.73,35893.99,39339.05,48914.17,72828.33,76125.76,76957.74,78893.67,80969.27
Net Block,68.19,74.6,72.64,72.1,71.17,70.57,64.83,81.51,93.12,89.87
Capital Work in Progress,26.68,24.93,39.4,43.4,35.09,38.59,51.56,38.64,25.4,19.49
Investments,753.88,755.68,366.53,366.53,526.8,534.5,232.28,249.56,257.21,629.68
Other Assets,29375.65,32258.52,35415.42,38857.02,48281.11,72184.67,75777.09,76588.03,78517.94,80230.23
Total,30224.4,33113.73,35893.99,39339.05,48914.17,72828.33,76125.76,76957.74,78893.67,80969.27
Receivables,10.07,10.05,4.25,5.9,1.96,4.42,6.24,7.93,7.16,1.38
Inventory,,,,,,,,,,
Cash & Bank,271.89,284.92,590.11,332.89,334.98,340.04,422.81,1427.4,643.93,68.85
No. of Equity Shares,20019000,2001900000,2001900000,2001900000,2001900000,2001900000,2001900000,2001900000,2001900000,2001900000
New Bonus Shares,,,,,,,,,,
Face value,1000,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,-3663.16,-182.31,-4965.26,-2597.83,-7830.31,-23400.25,-1336.25,2160.91,-805.93,-850.48
Cash from Investing Activity,-80.25,-12.61,372.28,-4.86,-3.62,17.57,82.64,-14.41,-0.93,-352.6
Cash from Financing Activity,3375.3,204.36,4659.39,2509.49,7858.31,23421.89,1365.18,-1083.05,80.73,690.92
Net Cash Flow,-368.11,9.44,66.41,-93.2,24.38,39.21,111.57,1063.45,-726.13,-512.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
