COMPANY NAME,TRIVENI TURBINE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,550.7,,,,,,,,,
Market Capitalization,17502.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,517.95,650.76,712.92,744.61,751.1,839.99,817.87,702.58,852.24,1247.55
Raw Material Cost,313.12,390.4,426.67,386.54,378.27,510.33,423.23,358.24,432.98,675.12
Change in Inventory,29.32,7.49,25.43,-3.3,-6.99,41.23,-17.86,2.01,-37.28,27.98
Power and Fuel,1.83,2.23,2.36,2.23,3.49,4.05,3.41,3.35,3.95,4.86
Other Mfr. Exp,13.3,16.65,19.6,15.38,21.49,26.65,16.48,14.46,21.25,114.63
Employee Cost,58.45,63.03,69.9,82.76,88.86,99.96,102.52,87.8,104.04,130.03
Selling and admin,35.79,47.29,46.6,54.85,59.49,64.61,65.17,61.42,60.91,79.61
Other Expenses,16.75,13.45,13.53,31.5,35.03,22.19,31.47,30.03,31.15,35.97
Other Income,7.85,30.39,24.77,33.11,7.71,19.18,23.66,5.83,227.26,42.62
Depreciation,13.54,15.78,15.27,14.8,19.12,20.12,20.11,20.21,20.28,19.9
Interest,2.66,3.51,2.17,1.76,2.28,3.11,5.34,2.82,2.87,2.53
Profit before tax,99.68,136.3,167.02,184.6,143.79,149.38,155.94,132.09,364.79,255.5
Tax,32.91,43.09,54.05,61.05,47.81,49.15,34.16,29.63,94.59,62.63
Net profit,67.96,90.53,112.98,123.55,95.97,100.23,121.78,102.46,270.19,192.55
Dividend Amount,24.74,28.05,36.3,39.6,33,,16.16,38.8,63.04,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,206.46,225.15,236.57,259.04,292.97,325.78,369.76,376.42,387.77,431.7
Expenses,171.17,180.1,194.65,210.37,237.31,262.68,303.42,305.54,313.59,348.14
Other Income,206.01,8.37,7.75,7.45,10.77,11.92,12.48,13.35,14.55,17.22
Depreciation,5.05,5.13,5.12,5.13,4.87,4.91,4.99,4.88,5.11,5.48
Interest,0.14,0.17,0.5,0.24,0.18,0.07,0.5,0.74,0.59,0.59
Profit before tax,236.11,48.12,44.05,50.75,61.38,70.04,73.33,78.61,83.03,94.71
Tax,62.35,12.45,11.03,12.42,15.06,17.44,17.71,17.65,19,26.41
Net profit,173.76,35.67,33.01,38.25,46.21,52.57,55.51,60.75,64.23,68.19
Operating Profit,35.29,45.05,41.92,48.67,55.66,63.1,66.34,70.88,74.18,83.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,32.99,33,33,33,33,32.33,32.33,32.33,32.33,31.79
Reserves,141.77,195.63,266.41,370.46,419.13,401.06,497.85,605.25,824.24,728.56
Borrowings,19.15,13.26,0.76,0.42,0.11,0.05,1.17,3.6,2.18,3.72
Other Liabilities,301.78,333.33,277.67,241.92,303.21,310.85,294.96,307.04,492.82,592.9
Total,495.69,575.22,577.84,645.8,755.45,744.29,826.31,948.22,1351.57,1356.97
Net Block,111.24,155.07,131.63,231.9,225.66,254.46,246.5,247.93,246.8,269.25
Capital Work in Progress,19.21,6.1,32.88,10.3,38.51,5.04,7.24,0.95,3.33,5.43
Investments,,22.9,19.95,17.16,19.72,18.83,152.42,296.1,477.54,379.31
Other Assets,365.24,391.15,393.38,386.44,471.56,465.96,420.15,403.24,623.9,702.98
Total,495.69,575.22,577.84,645.8,755.45,744.29,826.31,948.22,1351.57,1356.97
Receivables,112.59,148.26,132.89,150.71,207.77,174.95,125.35,77.13,101.48,129.28
Inventory,111.62,134.89,156.75,147.82,183.44,220.23,176.89,166,178.43,217.12
Cash & Bank,9.22,10.81,29.05,17.81,12.62,27.16,68.37,116.44,273.08,284.95
No. of Equity Shares,329944550,329972150,329972150,329972150,329972150,323305484,323305484,323305484,323305484,317876913
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,37.47,70.59,139.69,82.03,91.27,147.93,187.67,187.26,433.44,195.7
Cash from Investing Activity,-44.68,-34.33,-45.6,-74.75,-48.96,-8.13,-127.98,-214.17,-363.35,89.17
Cash from Financing Activity,-13.6,-37.37,-69.61,-18.54,-48.48,-124.32,-20.9,-1.85,-74.61,-287.7
Net Cash Flow,-20.81,-1.11,24.48,-11.26,-6.16,15.48,38.79,-28.75,-4.52,-2.82
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,72.05,129.85,95.65,144.9,100.5,107.8,58.5,101.8,202.15,333.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
