COMPANY NAME,PIDILITE INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2837.35,,,,,,,,,
Market Capitalization,144230.85,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,4844.1,5361.17,5616.79,6078.41,7077.96,7294.47,7292.71,9920.96,11799.1,12382.99
Raw Material Cost,2680.8,2561.41,2670.29,2883.88,3661.79,3381.28,3494.99,5689.14,6821.12,5867.9
Change in Inventory,12.24,-23.27,30.73,-3.77,75.21,-21.22,118.32,244.96,61.72,-126.12
Power and Fuel,54.38,48.97,53.21,59.16,66.43,67.19,68.66,87.89,97.04,
Other Mfr. Exp,323.75,345.8,56.83,109.42,122.97,153.27,226.5,299.49,329.87,
Employee Cost,502.47,572.46,645.62,712.88,837.13,927.66,981.91,1113.24,1246.25,1465.07
Selling and admin,399.78,434.86,736.4,766.29,845.9,905.14,769.96,908.39,1142.26,
Other Expenses,123.99,200.92,223.28,201.79,248.31,262.69,182.66,211.36,238.19,2220.68
Other Income,40.16,81.03,115.45,153,129.79,97.27,74.03,39.06,54.53,67.98
Depreciation,117.76,100.47,115.14,119.88,132.74,169.92,200.66,239.61,269.74,340.66
Interest,15.64,13.27,13.93,15.54,26.07,33.6,37.23,42.08,47.64,51.19
Profit before tax,677.93,1140.77,1248.27,1358.8,1341.62,1469.77,1522.49,1613.78,1723.24,2379.35
Tax,169.41,333.54,385.05,392.71,413.23,347.72,396.36,407.02,434.37,631.93
Net profit,512.57,802.83,859.99,962.35,924.91,1116.42,1131.21,1207.56,1273.25,1729.38
Dividend Amount,148.68,212.77,243.53,304.68,330.2,355.67,431.97,508.3,559.13,813.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,2850.72,2507.1,3101.11,3011.15,2997.59,2689.25,3275.11,3076.04,3129.99,2901.85
Expenses,2301.69,2106.02,2571.63,2511.28,2501.73,2231.55,2569.11,2397.68,2387.54,2326.91
Other Income,8.9,16.33,14.1,14.06,6.73,22.82,23.43,31.59,37.22,-22.79
Depreciation,60.46,62.19,61.32,63.64,68.62,76.16,73.43,75.21,79.49,112.53
Interest,10.75,9.35,9.03,11.68,15.09,11.84,11.88,13.13,12.76,13.42
Profit before tax,486.72,345.87,473.23,438.61,418.88,392.52,644.12,621.61,687.42,426.2
Tax,127.48,91.52,115.71,100.86,111.14,106.66,170.43,163.08,176.5,121.91
Net profit,358.49,254.35,353.61,332.44,304.17,283.03,468.16,450.15,510.48,300.6
Operating Profit,549.03,401.08,529.48,499.87,495.86,457.7,706,678.36,742.45,574.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,51.27,51.27,51.27,50.78,50.8,50.81,50.82,50.83,50.83,50.86
Reserves,2219.31,2586.72,3419.64,3523.26,4097.29,4404.8,5542.14,6352.88,7161.45,8356.3
Borrowings,58.42,80.02,97.51,124.57,112.74,287.69,331,415.83,390.61,382.47
Other Liabilities,985.76,995.87,1202.01,1499.99,1642.96,1779.4,2889.87,2674.8,2901.98,3314.32
Total,3314.76,3713.88,4770.43,5198.6,5903.79,6522.7,8813.83,9494.34,10504.87,12103.95
Net Block,978.49,1137.46,1275.25,1342.19,1447.61,1806.71,4417.92,4703.26,4914.08,5450.63
Capital Work in Progress,461.82,158.07,147.71,227.73,242.13,259.33,293.87,225.42,405.94,148.09
Investments,369.9,705.54,1443.1,1245.94,1547.7,1186.19,515.97,458.61,880.85,2235.04
Other Assets,1504.55,1712.81,1904.37,2382.74,2666.35,3270.47,3586.07,4107.05,4304,4270.19
Total,3314.76,3713.88,4770.43,5198.6,5903.79,6522.7,8813.83,9494.34,10504.87,12103.95
Receivables,586.11,701.59,768.54,938.13,1056.01,1088.5,1321.02,1430.54,1535.27,1674.69
Inventory,641.04,627.43,720.86,804.33,934.45,929.47,1234.15,1695.09,1817.08,1414.9
Cash & Bank,76,131.76,99.94,163.58,190.43,703.25,451.46,355.17,326.65,533.29
No. of Equity Shares,512662830,512675330,512682730,507810330,507978280,508123780,508153380,508288415,508288415,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,552,907.47,793.75,796.43,844.78,1279.55,1392.13,955.37,1557.57,2724.03
Cash from Investing Activity,-435.9,-491.14,-878.97,39.26,-513.14,102.94,-1687.89,-558.14,-898.95,-1769.29
Cash from Financing Activity,-165.13,-371.06,40.66,-789.75,-360.56,-849.21,-76.24,-467.96,-656.43,-742.45
Net Cash Flow,-49.02,45.27,-44.56,45.94,-28.92,533.28,-372,-70.73,2.19,212.29
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
