COMPANY NAME,NUVAMA WEALTH MANAGEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,5035.2,,,,,,,,,
Market Capitalization,17779.3,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,780.26,1383.82,1778.09,2223.31
Raw Material Cost,,,,,,,56.39,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,0.74,1.89,4.15,4.72
Other Mfr. Exp,,,,,,,6.55,32.42,66.2,64
Employee Cost,,,,,,,109.66,501.82,600.74,729.65
Selling and admin,,,,,,,97.97,325.23,432.52,505.02
Other Expenses,,,,,,,10.03,77.96,28.29,36.92
Other Income,,,,,,,75.86,-564.84,638.41,8.09
Depreciation,,,,,,,14.57,50.11,71.32,88.58
Interest,,,,,,,200.35,246.33,277.91,396.41
Profit before tax,,,,,,,359.86,-416.78,935.37,406.1
Tax,,,,,,,73.9,58.21,77.98,101.02
Net profit,,,,,,,285.96,-474.98,857.39,305.09
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,460.68,562.71,578.54,612.79,647.71,735.26,840.64
Expenses,,,,297.23,331.47,335.66,377.64,357.43,375.17,396.09
Other Income,,,,2.29,3.58,5.64,6.85,3.65,2.6,1.82
Depreciation,,,,15.31,19.26,22.63,31.38,22.28,24.37,44.64
Interest,,,,81.78,102.08,113.96,98.59,119.04,146.9,171.05
Profit before tax,,,,68.65,113.48,111.93,112.03,152.61,191.42,230.68
Tax,,,,21.6,28.22,24.57,26.63,29.63,46.46,54.52
Net profit,,,,47.05,85.26,87.36,85.42,123.07,145.17,176.33
Operating Profit,,,,163.45,231.24,242.88,235.15,290.28,360.09,444.55
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,26.21,34.73,34.73,35.06
Reserves,,,,,,,1056.3,1592.31,1895.68,2219.18
Borrowings,,,,,,,1287.3,1427.62,3548.95,5413.15
Other Liabilities,,,,,,,2840.73,4396.52,5118.89,5048.29
Total,,,,,,,5210.54,7451.18,10598.25,12715.68
Net Block,,,,,,,107.53,162.02,218.76,283.97
Capital Work in Progress,,,,,,,4.45,22.39,17.76,25.09
Investments,,,,,,,665.02,24.66,70.2,169.67
Other Assets,,,,,,,4433.54,7242.11,10291.53,12236.95
Total,,,,,,,5210.54,7451.18,10598.25,12715.68
Receivables,,,,,,,349.18,272.03,892.44,890.03
Inventory,,,,,,,212.91,207.44,889.58,1309.96
Cash & Bank,,,,,,,2979.8,4553.62,4649.44,5327.85
No. of Equity Shares,,,,,,,26213876,34726823,34726823,35056255
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,-499.69,-1107.68,-1425.25,-1864.91
Cash from Investing Activity,,,,,,,-111.56,-123.74,-80.51,-172.55
Cash from Financing Activity,,,,,,,235.43,877.12,2138.52,1825.16
Net Cash Flow,,,,,,,-375.81,-354.3,632.76,-212.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,,,
