COMPANY NAME,JSW STEEL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,834.55,,,,,,,,,
Market Capitalization,204026.37,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,51219.62,52971.51,41546.17,55604,71933,84757,73326,79839,146371,165960
Raw Material Cost,30437.37,31140.42,21181.02,29749,38781,43796,39000,32856,62871,95970
Change in Inventory,192.18,1488.21,-1365.76,1486,-244,590,270,348,3601,2636
Power and Fuel,3813.31,4123.1,3657.88,4883,5697,7053,6272,5985,11289,17452
Other Mfr. Exp,5665.08,6764.77,5745.05,6887,8713,10158,10243,16247,29726,26224
Employee Cost,1298.24,1532.84,1518.67,1700,1843,2489,2839,2506,3493,3915
Selling and admin,268.86,372.65,332.82,323,277,602,450,404,557,1018
Other Expenses,760.35,1162.08,1322.66,1240,1462,2319,2979,2011,2922,5547
Other Income,-1630.07,102.77,-1966.23,18,-177,196,-289,473,1600,1561
Depreciation,3182.61,3434.49,3322.56,3430,3387,4041,4246,4679,6001,7474
Interest,3047.86,3493.03,3601.18,3768,3701,3917,4265,3957,4968,6902
Profit before tax,1308.05,2539.11,-2467.66,5128,7651,11168,3013,12015,29745,5655
Tax,920.08,819.41,-1966.21,1674,1538,3644,-906,4142,8807,1516
Net profit,451.95,1796.57,-335.43,3523,6214,7639,4030,7911,20665,4144
Dividend Amount,333.02,333.02,225.68,677.25,966.4,1234.1,602,1963,5222.35,1023.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,32503,38071,46895,38086,41778,39134,46962,42213,44584,41940
Expenses,22086,28939,37742,33794,40082,34643,39031,35201,36722,34776
Other Income,1549,176,-508,189,779,188,465,331,826,194
Depreciation,1239,1764,1815,1778,1805,1882,2009,1900,2019,2059
Interest,936,1283,1756,1422,1523,1819,2138,1963,2084,1996
Profit before tax,9791,6261,5074,1281,-853,978,4249,3480,4585,3303
Tax,2612,1745,1731,442,62,504,508,1052,1812,853
Net profit,7170,4357,3234,838,-848,490,3664,2338,2760,2415
Operating Profit,10417,9132,9153,4292,1696,4491,7931,7012,7862,7164
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,302.75,302.75,300.9,301,302,301,301,302,301,301
Reserves,20871.15,21986.89,18664.55,22346,27696,34494,36298,46462,66996,65394
Borrowings,34762.1,37989.82,42204.03,43334,39185,47376,61399,62366,72208,80820
Other Liabilities,21703.89,25374.42,20737.42,22024,24787,32626,33822,39187,56980,64024
Total,77639.89,85653.88,81906.9,88005,91970,114797,131820,148317,196485,210539
Net Block,47045.94,52176.28,56139.52,58730,57848,62644,62085,64917,99880,104452
Capital Work in Progress,9399.75,8265.27,7270.85,4363,5950,11889,27191,32566,16905,22166
Investments,662.74,599.25,1194.61,1366,1469,1894,1259,8581,4940,4806
Other Assets,20531.46,24613.08,17301.92,23546,26703,38370,41285,42253,74760,79115
Total,77639.89,85653.88,81906.9,88005,91970,114797,131820,148317,196485,210539
Receivables,2292.44,2499.75,2727.37,4149,4704,7160,4505,4486,7457,7134
Inventory,8155.12,11009.04,8321.18,11395,12594,14548,13773,14249,33787,33135
Cash & Bank,662.97,1913.25,1020.4,1485,1063,6187,12003,12813,17383,20714
No. of Equity Shares,302752044,302752000,300903227,3012984690,3016231580,3011711464,3011711464,3015766346,3016603583,3020456419
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,2593.52,7875.65,6897.32,7888,12379,14633,12785,18789,26270,23323
Cash from Investing Activity,-5617.77,-7372.25,-3857.37,-5094,-4529,-11387,-19589,-7702,-14748,-10730
Cash from Financing Activity,3300.46,-169.08,-3150.66,-2710,-8185,1753,5189,-3110,-14657,-5977
Net Cash Flow,276.21,334.32,-110.71,84,-335,4999,-1615,7977,-3135,6616
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,103.61,90.66,128.33,188.2,288.15,293.05,146.25,468.45,732.65,688.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,241.72,241.72,241.72,241.72,241.72,241.72,241.72,241.72,241.72,241.72
