COMPANY NAME,BAJAJ FINANCE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,6605.15,,,,,,,,,
Market Capitalization,408811.26,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,5392.27,7298.65,9970.04,12746.27,18487.14,26374.41,26672.87,31640.55,41398.35,54969.49
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,,,769.37,1154.25,1334.39,1878.31,2040.61,
Employee Cost,452.32,631.9,934.14,1437.07,1942.7,2553.62,2502.42,3597.4,5064.01,6396.01
Selling and admin,570.57,679.78,787.34,1405.75,959.41,1103.89,672.28,1237.19,1945.93,
Other Expenses,728.87,1041.84,1528.9,1272.03,1782.73,4347.17,6330.23,5167.34,3628.97,9876.56
Other Income,25.75,34.66,21.89,10.2,13.04,8.94,3.33,-17.34,-4.32,20.66
Depreciation,35.6,56.34,71.17,102.07,144.15,294.63,325.27,384.57,485.38,683.32
Interest,2273.71,2958.77,3852.97,4696.11,6722.66,9607.67,9519.35,9854.62,12701.27,18724.69
Profit before tax,1356.95,1964.68,2817.41,3843.44,6179.16,7322.12,5992.26,9503.78,15527.86,19309.57
Tax,459.07,686.05,981.03,1347.07,2184.17,2058.37,1572.44,2475.55,4020.17,4858.4
Net profit,897.88,1278.63,1836.38,2496.37,3994.99,5263.75,4419.82,7028.23,11507.69,14451.17
Dividend Amount,90,133.88,196.87,230.06,346.11,599.95,601.6,1206.6,1813.35,2224.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,8536.65,8626.06,9284.26,9970.13,10787.25,11364.01,12497.81,13378.26,14163.56,14926.21
Expenses,3040.03,2691.07,3026.24,3129.12,3307.81,3381.95,3693.55,3928.56,4229.25,4419.86
Other Income,2.48,3.29,1.6,4.12,1.74,5.14,5.56,3.64,4.98,8.78
Depreciation,96.58,104.44,111.41,120.87,118.99,134.11,156.09,158.52,175.75,192.96
Interest,2534.54,2568.35,2645.45,2971.97,3350.51,3591.96,4102.52,4537.06,4868.02,5217.09
Profit before tax,2867.98,3265.49,3502.76,3752.29,4011.68,4261.13,4551.21,4757.76,4895.52,5105.08
Tax,742.69,845.98,906.51,971.64,1038.68,1103.34,1114.32,1206.96,1256.57,1280.55
Net profit,2125.29,2419.51,2596.25,2780.65,2973,3157.79,3436.89,3550.8,3638.95,3824.53
Operating Profit,5496.62,5934.99,6258.02,6841.01,7479.44,7982.06,8804.26,9449.7,9934.31,10506.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,50,53.55,109.37,115.03,115.37,119.99,120.32,120.66,120.89,123.6
Reserves,4749.71,7271.18,9490.89,15732.81,19581.65,32207.64,36798.09,43592.03,54251.09,76571.75
Borrowings,26654.59,37024.59,49249.54,66557.22,101587.85,129806.43,131633.54,165231.53,216690.49,293345.83
Other Liabilities,1325.47,2623.75,4880.71,2393.21,2947.64,2257.07,2918.45,3561.64,4166.2,5700.44
Total,32779.77,46973.07,63730.51,84798.27,124232.51,164391.13,171470.4,212505.86,275228.67,375741.62
Net Block,252.45,290.27,366.01,470.26,694.84,1320.99,1315.7,1716.3,2307.62,3268.01
Capital Work in Progress,,,,,,,51.06,34.14,79.84,25.35
Investments,326.29,1029.1,4069.51,3139.43,8599.03,17543.9,18396.91,12245.54,22751.84,30880.65
Other Assets,32201.03,45653.7,59294.99,81188.58,114938.64,145526.24,151706.73,198509.88,250089.37,341567.61
Total,32779.77,46973.07,63730.51,84798.27,124232.51,164391.13,171470.4,212505.86,275228.67,375741.62
Receivables,,,,585.21,808.7,952.56,1096.86,1265.89,1299.72,1733.49
Inventory,,,,,,,,,,
Cash & Bank,229.83,1330.85,326.09,339.66,348.71,1382.72,2164.32,3680.3,4304.52,10624.01
No. of Equity Shares,50000398,53549516,546832590,575134188,576874665,599946491,601565625,603279841,604420832,
New Bonus Shares,,,269360950,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-7064.17,-9869.67,-10438.95,-20565.59,-29061.53,-24411.7,-807.27,-37089.9,-42140.4,-72760.14
Cash from Investing Activity,-360.06,-686.82,-3046.76,1075.43,-5378.93,-8757.61,-428.55,6346.79,-10365.25,-7171.18
Cash from Financing Activity,6867.08,11656.2,12513.43,19503.35,34449.31,34166.81,1740.63,32275.22,50674.96,82415.08
Net Cash Flow,-557.15,1099.71,-972.28,13.19,8.85,997.5,504.81,1532.11,-1830.69,2483.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
