COMPANY NAME,NATCO PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,969.6,,,,,,,,,
Market Capitalization,17376.19,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,738.89,825.28,1042.3,2020.2,2184.8,2094.5,1915,2052.1,1944.8,2707.1
Raw Material Cost,249,251.54,318.9,617.9,436.4,388.1,456.8,559.5,577.7,651
Change in Inventory,15.77,9.17,48.3,18.8,25.3,33.9,75.2,48.1,16.8,23.7
Power and Fuel,44.77,43.24,43.7,50.5,56.2,59.6,62.4,61.1,76.4,81.9
Other Mfr. Exp,56.29,53.59,77.6,101.4,120.5,120.2,135.2,114.4,149.9,151.6
Employee Cost,112.8,136.97,179.9,243.3,325.7,356,375.1,415.1,445.1,487
Selling and admin,99.54,119.22,180.8,299.5,304.4,351,311.5,300.7,367.4,388.5
Other Expenses,12.88,19.53,24.1,43,38.5,58.7,66.6,43.2,81.6,35.2
Other Income,16.66,0.36,11.8,13.9,40.4,130.2,107.4,103.6,99,104.6
Depreciation,30.44,47.27,50.8,54.4,66.2,81,99.8,116.9,142.6,163.8
Interest,36.62,31.68,22.9,18.5,15.4,19.3,21.5,13.3,17.7,14.5
Profit before tax,128.98,131.77,203.7,624.4,887.2,824.7,568.7,579.6,202.2,861.9
Tax,30.87,1.51,47.9,139.5,192,182.3,110.6,137.2,32.2,146.6
Net profit,102.73,134.62,157.1,486,696.2,644.4,460.8,440.9,170,715.3
Dividend Amount,16.54,16.62,21.75,117.79,152.21,114.06,122.85,95.81,82.12,100.38
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,377.2,560.5,596.8,884.6,432.1,492.5,897.9,1140.5,1031.4,758.6
Expenses,306.7,458.7,615.4,489.3,336.8,386.6,558.8,612.5,573.4,490.5
Other Income,38,30.2,13.8,34.3,20.5,20.8,29,19.7,29.4,37
Depreciation,34.7,36,38.1,39.6,41.7,41.5,41,43.5,43.6,44.2
Interest,4,5,6.7,4.2,3.8,3.8,2.7,4.2,4.2,4.6
Profit before tax,69.8,91,-49.6,385.8,70.3,81.4,324.4,500,439.6,256.3
Tax,4.7,10.6,0.9,65.4,13.5,19.1,48.6,79.7,70.6,43.6
Net profit,65.1,80.4,-50.5,320.4,56.8,62.3,275.8,420.3,369,212.7
Operating Profit,70.5,101.8,-18.6,395.3,95.3,105.9,339.1,528,458,268.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,33.07,33.23,34.8,34.9,36.9,36.5,36.4,36.5,36.5,36.5
Reserves,692.8,812.82,1260.9,1614.4,3035.3,3452.5,3737.1,4085.1,4227.1,4837.3
Borrowings,240.45,311.84,112.6,221.8,173.2,386.3,315.9,267.6,415.5,166.7
Other Liabilities,229.38,226.16,413.4,446.5,469.7,427.8,498.4,402.7,430,616.9
Total,1195.7,1384.05,1821.7,2317.6,3715.1,4303.1,4587.8,4791.9,5109.1,5657.4
Net Block,644.74,709.97,710.1,833,1018.6,1227.2,1584.4,2023.2,2311.8,2426.9
Capital Work in Progress,123.78,128.96,211.8,336.3,480,637.6,518,223.4,129.5,64.3
Investments,1.89,1.69,22.2,32.2,76.5,168.6,112.3,303.7,308.1,392.3
Other Assets,425.29,543.43,877.6,1116.1,2140,2269.7,2373.1,2241.6,2359.7,2773.9
Total,1195.7,1384.05,1821.7,2317.6,3715.1,4303.1,4587.8,4791.9,5109.1,5657.4
Receivables,118.8,192.43,261.6,475.2,637.5,506.2,551.3,412.9,620.6,856.1
Inventory,181.12,220,357.3,348.9,438.4,529,558,798.2,762,742.9
Cash & Bank,11.05,13.36,45.2,35.8,183.7,279.5,66,283.5,206.1,546.3
No. of Equity Shares,33073074,33234849,174174245,174307800,184493400,182746479,182067975,182337825,182337825,182470115
New Bonus Shares,,,,,,,,,,
Face value,10,10,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,144.03,92.67,112.2,345.8,463.6,668.8,417.3,298.8,46.5,849.1
Cash from Investing Activity,-108.5,-119.52,-176.3,-298.8,-1116.3,-611.3,-175,-107.1,4,-465.3
Cash from Financing Activity,-35.27,29.07,154,-47.7,650.9,-50.9,-250.8,-185.7,34.8,-363
Net Cash Flow,0.26,2.23,89.9,-0.7,-1.8,6.6,-8.5,6,85.3,20.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,159.71,421.79,412.7,849.2,753.65,573.45,505.55,825.55,756.15,563.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,16.54,16.62,17.42,17.43,18.45,18.29,18.21,18.23,18.25,18.26
