COMPANY NAME,CAPLIN POINT LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,1272.4,,,,,,,,,
Market Capitalization,9682.95,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,173.09,251.77,238.72,401.65,539.84,648.69,863.2,1061.29,1269.41,1466.73
Raw Material Cost,103.54,136.42,121.84,184.78,240.57,298.85,608.26,389.39,589.43,710.15
Change in Inventory,0.96,0.8,0.68,-0.15,2.39,10.07,195.1,-82.35,31.92,46.94
Power and Fuel,3.07,8.61,7.56,9.91,10.98,13.76,14.81,16.36,21.4,25.53
Other Mfr. Exp,5.34,10.16,9.89,17.31,15.38,16.22,16.81,17.55,24.73,31.79
Employee Cost,12.76,18.78,18.47,30.81,39.14,47.11,67.76,102.53,115.3,136.99
Selling and admin,8.67,14.41,12.6,32.04,38.39,48.63,86.26,108.3,133.4,140.1
Other Expenses,4.48,4.47,4.83,1.4,2.46,2.34,4.29,15.57,22.09,27.35
Other Income,3.72,3.02,3.66,9.52,12.67,19.03,41.29,22.94,38.44,55.36
Depreciation,3.54,8.38,7.48,13.3,19,23.43,31.62,36.97,46.9,44.99
Interest,0.68,0.97,0.34,0.52,0.61,0.58,0.32,1.59,0.7,0.78
Profit before tax,35.69,53.39,60.05,120.95,188.37,226.87,269.46,313.62,385.82,451.35
Tax,9.75,12.26,14.28,25.45,43.74,50.32,54.38,62.19,77.37,74.36
Net profit,25.85,41.04,45.76,95.61,144.79,176.57,215.01,242.27,299.84,376.26
Dividend Amount,6.04,7.56,9.07,11.34,15.12,16.64,18.91,22.7,30.32,34.16
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,303.53,326.2,339.24,346.33,359.05,372.07,389.28,395.32,410.06,435.5
Expenses,202.36,225.24,239.3,244.15,253.48,262.7,265.33,268.79,272.66,293.22
Other Income,8.49,9.54,11.51,13.94,16.48,14.16,11.48,12.12,20.54,17.2
Depreciation,11.72,11.7,11.45,10.97,11.46,11.43,11.13,11.38,11.76,13.9
Interest,0.21,0.14,0.08,0.06,0.14,0.36,0.23,0.28,0.18,0.17
Profit before tax,97.73,98.66,99.92,105.09,110.45,111.74,124.07,126.99,146,145.41
Tax,20.91,19.38,19.09,18.78,18.42,14.35,22.83,22.76,29.86,25.59
Net profit,74.98,74.95,79.06,84.99,91.67,97.48,102.11,103.43,114.87,117.2
Operating Profit,101.17,100.96,99.94,102.18,105.57,109.37,123.95,126.53,137.4,142.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,15.11,15.11,15.11,15.12,15.12,15.13,15.13,15.13,15.16,15.18
Reserves,46.63,78.08,113.03,209.65,348.71,581.86,858.2,954.13,1252.2,1648.73
Borrowings,3.33,2.08,2,0.73,0.53,0.54,38.61,18.39,2.13,5.48
Other Liabilities,114.85,133.56,137,132.88,136.09,144.99,213.81,375.96,466.83,522.01
Total,179.92,228.83,267.14,358.38,500.45,742.52,1125.75,1363.61,1736.32,2191.4
Net Block,102.24,113.13,144.23,151.83,169.48,226.84,272.5,305.34,286.57,279.81
Capital Work in Progress,24.96,30.63,0.23,3.42,15.29,9.7,20.12,13.88,17.73,220.71
Investments,0.44,0.45,0.44,17.44,46.67,69.96,60.79,11.2,88.98,229.69
Other Assets,52.28,84.62,122.24,185.69,269.01,436.02,772.34,1033.19,1343.04,1461.19
Total,179.92,228.83,267.14,358.38,500.45,742.52,1125.75,1363.61,1736.32,2191.4
Receivables,0.09,5.66,7.95,33.02,125.88,159.81,228.96,279.36,317.05,394.06
Inventory,9.79,13.66,18.81,22.29,28.46,37.45,238.23,179.01,227.31,288.22
Cash & Bank,26.82,45.37,68.1,93.07,79.28,152.99,223.43,438.33,462.99,493.48
No. of Equity Shares,15110000,15110000,15110000,75576750,75603500,75630250,75642750,75642750,75788876,75902746
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,59.83,49.88,42.4,67.61,66.49,83.42,44.68,268.61,336.73,271.37
Cash from Investing Activity,-43.89,-22.66,-5.72,-36.11,-69.03,-99.73,-54.33,-29.68,-376.86,-216.4
Cash from Financing Activity,-5.96,-8.67,-13.95,-6.74,-11.6,89.79,79.77,-23.98,-40.68,-28.17
Net Cash Flow,9.98,18.55,22.73,24.76,-14.14,73.48,70.11,214.95,-80.81,26.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,43.49,186.17,202.04,388.35,569.55,401.7,282.4,403.45,678.2,595.95
,,,,,,,,,,
DERIVED:,,,,,,,,,,
