COMPANY NAME,MOTILAL OSWAL FINANCIAL SERVICES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2151.15,,,,,,,,,
Market Capitalization,32053.02,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,771.64,1079.73,1922.84,2751.34,2449.92,2357.88,3625.93,4298.05,4177.76,7067.77
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,8.03,8.51,7.88,8.37,8.58,8.96,6.99,8.64,11.34,
Other Mfr. Exp,9.61,9.28,10.66,502.81,475.3,701.6,654.01,917.68,895.37,
Employee Cost,190.16,250.99,353.4,492.08,501.77,539.8,643.58,878.21,1008.38,1329.81
Selling and admin,276.5,344.49,344.62,169.36,159.61,159.87,169.69,234.08,289.39,
Other Expenses,31.22,34.12,198.46,184.72,397.78,135.81,135.53,138.96,96.18,1672.11
Other Income,1.09,0.91,-27.1,1,11.82,7.53,-79.91,18.36,19.36,62.75
Depreciation,30.67,34.94,32.84,37.49,23.95,39.71,47.52,48.26,58.38,82.58
Interest,30.94,173.77,442.26,528.43,516.85,494.47,430.28,474.77,595.83,1014.14
Profit before tax,195.6,224.54,505.62,829.08,377.9,285.19,1458.42,1615.81,1242.25,3031.88
Tax,52.33,61.22,141.09,205.86,92.65,69.79,255.46,305.08,309.43,586.26
Net profit,143.58,169.08,359.97,622.28,293.97,183.37,1260.44,1309.78,931.69,2441.06
Dividend Amount,42.06,49.77,79.48,123.34,123.84,59.24,148.5,149.1,147.9,208.6
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1024.97,1051.31,753.7,1320.53,1075.52,1027.37,1499.2,1646.68,1784.31,2141.29
Expenses,576.67,558.79,552.97,576.34,587.61,583.74,661.15,734.73,696.26,909.77
Other Income,9.38,0.82,4.42,4.43,4.98,6.17,31.15,4.01,6.99,16.86
Depreciation,12.72,11.15,13.36,15.57,16.7,12.75,17.35,17.26,24.03,23.94
Interest,144.34,111.97,110.87,125.94,169.44,189.57,215.89,241.13,262.39,294.73
Profit before tax,300.62,370.22,80.92,607.11,306.75,247.48,635.96,657.57,808.62,929.71
Tax,61.48,68.35,49.65,98.09,81.17,80.52,109.83,124.18,147.13,205.11
Net profit,239.7,299.56,31.26,509.27,226.45,164.72,526.93,531.19,659.88,723.05
Operating Profit,448.3,492.52,200.73,744.19,487.91,443.63,838.05,911.95,1088.05,1231.52
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,14.02,14.22,14.45,14.51,14.57,14.81,14.85,14.91,14.79,14.9
Reserves,1280.83,1422.3,1771.58,2871.39,3038.87,3071.49,4446.57,5659.46,6237.45,8716.87
Borrowings,795.07,2589.24,5066.83,5322.94,5157.77,4626.93,5693.29,6152.49,10277.62,13787.48
Other Liabilities,854.94,1063.89,1586.04,2202.41,2149.06,2370.38,3886.7,5032.95,6419.41,9309.96
Total,2944.86,5089.65,8438.9,10411.25,10360.27,10083.61,14041.41,16859.81,22949.27,31829.21
Net Block,300.13,292.14,293.67,299.57,302.1,333.35,350.33,356.66,465.81,603.25
Capital Work in Progress,,,,0.11,0.11,,,,,
Investments,814.01,1231.06,1766.9,2807.18,2685.91,3088.5,3922.35,4684.91,4786.96,6500.65
Other Assets,1830.72,3566.45,6378.33,7304.39,7372.15,6661.76,9768.73,11818.24,17696.5,24725.31
Total,2944.86,5089.65,8438.9,10411.25,10360.27,10083.61,14041.41,16859.81,22949.27,31829.21
Receivables,589.97,709.92,1260.18,1043.39,1517.33,745.53,911.23,1003.09,1029.09,1918.12
Inventory,,,0.18,,,,,,,
Cash & Bank,271.95,286.67,462.52,453.72,689.07,1377.95,3497.78,5315.25,8836.91,12071.31
No. of Equity Shares,140162675,142174075,144457476,145083558,145680358,148066718,148488819,149062919,147947126,
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,-97.78,-1241.65,-1980.49,247.6,194.72,951.72,-138.68,1010.66,-3057.9,-349.03
Cash from Investing Activity,-605.56,-380.08,-314.2,-156.69,14.44,-352.56,-273.38,-447.39,-287.48,-246.85
Cash from Financing Activity,747.15,1717.99,2419.97,-98.03,-141.28,-129.32,860.63,282.19,3784.15,3301.24
Net Cash Flow,43.82,96.26,125.28,-7.12,67.88,469.84,448.57,845.46,438.77,2705.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,283.3,273.25,726.4,1002.35,602.1,497.05,624.8,869.95,610.3,1666.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
