COMPANY NAME,JK LAKSHMI CEMENT LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,771.95,,,,,,,,,
Market Capitalization,9106.56,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2056.61,2315.54,2635.25,2921.56,3748.36,4316.31,4364.07,4727.44,5419.89,6451.5
Raw Material Cost,548.46,610.36,701.35,733.12,865.86,774.34,866.85,925,1114.05,1345.22
Change in Inventory,-2.69,41.56,18.36,-13.76,41.89,-95.76,86.85,-69.07,44.63,40.85
Power and Fuel,422.07,499.61,551.74,573.64,917.34,1074.73,984.23,923.29,1289.31,1893.46
Other Mfr. Exp,106.95,112.1,127.36,148.56,177.19,344.41,1194.33,1266.26,1507.49,1717
Employee Cost,123.52,149.59,197.84,212.75,263.23,300.07,343.99,363.38,364.97,391.96
Selling and admin,550.92,632.88,802.28,869.46,1134.86,1272.32,262.68,240.25,235.85,305.08
Other Expenses,0.2,,,0.58,0.04,1.11,0.82,1.63,2.18,0.94
Other Income,25.81,-34.02,63.98,129.13,71.75,59.05,15.76,34.79,41.33,57.52
Depreciation,135.27,114.59,165.59,175,207.29,211.02,219.82,225.33,223.47,228.33
Interest,77.19,94.48,222.16,244.35,263.7,252.77,224.97,191.96,142.19,133.4
Profit before tax,115.15,109.47,-50.73,79.47,32.49,48.83,368.99,556.06,626.34,534.48
Tax,22.37,4.05,-54.99,-7.79,-10.87,8.21,116.05,134.94,148.76,165.37
Net profit,93.88,102.94,1.34,85.76,55.24,51.25,248.04,405.38,463.56,358.62
Dividend Amount,23.54,23.54,2.94,8.83,8.83,8.83,29.42,44.14,58.85,44.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1208.8,1285.68,1599.83,1654.14,1373.55,1561.74,1862.07,1730.25,1574.53,1702.84
Expenses,1014.69,1112.06,1275.17,1397.3,1209.62,1376.48,1629.41,1534.02,1357.29,1400.7
Other Income,17.58,18.13,-11.16,6.91,19.6,14.32,16.69,11.13,13.98,25.66
Depreciation,55.26,55.08,59.33,55.95,56.8,56.77,58.81,55.72,56.65,65.71
Interest,35.51,36.68,33.21,35.86,33.41,35.4,28.73,33.1,33.6,39.11
Profit before tax,120.92,99.99,220.96,171.94,93.32,107.41,161.81,118.54,140.97,222.98
Tax,33.63,34.23,32.6,56.87,31.53,29.99,46.98,38.75,45.1,72.83
Net profit,84.34,64.12,183.73,111.18,61.03,76.38,110.03,78.47,92.67,143.67
Operating Profit,194.11,173.62,324.66,256.84,163.93,185.26,232.66,196.23,217.24,302.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,58.85,58.85,58.85,58.85,58.85,58.85,58.85,58.85,58.85,58.85
Reserves,1244.55,1279.01,1261.14,1342.12,1384.67,1425.73,1628.09,2035.7,2446.3,2745.01
Borrowings,1681.28,1949.21,2258.36,2686.75,2546.5,2134.78,1987.08,1671.94,1886.54,1879.73
Other Liabilities,666.43,936.14,912.5,1044.03,1111.06,1446.27,1488.78,1519.74,1534.48,1857.24
Total,3651.11,4223.21,4490.85,5131.75,5101.08,5065.63,5162.8,5286.23,5926.17,6540.83
Net Block,1700.71,2707.74,2851.2,3555.85,3627.29,3450.91,3585.32,3427.1,3535.73,3527.02
Capital Work in Progress,925.19,454.93,632.96,307.1,228.26,416.59,166.22,273.75,251.18,890.21
Investments,357.68,272.75,270.72,531.18,472.79,377.35,457.68,476.4,652.04,526.54
Other Assets,667.53,787.79,735.97,737.62,772.74,820.78,953.58,1108.98,1487.22,1597.06
Total,3651.11,4223.21,4490.85,5131.75,5101.08,5065.63,5162.8,5286.23,5926.17,6540.83
Receivables,56.55,57.11,96.78,90.41,101.51,109.8,95.92,54.5,35.2,65.42
Inventory,108.09,227.68,246.95,321.2,355.61,352.23,480.56,366.2,581,841.6
Cash & Bank,87.57,18.87,32.8,10.2,12.45,19.43,32.75,371.85,572.94,338.96
No. of Equity Shares,117690100,117690066,117690066,117690066,117690066,117690066,117690066,117690066,117690066,117690066
New Bonus Shares,,,,,,,,,,
Face value,5,5,5,5,5,5,5,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,354.39,330.35,266.77,396.4,493.2,760.21,649.51,1031.83,679.96,634.23
Cash from Investing Activity,-512.77,-430,-286.28,-600.07,-70.15,-77.14,-199.73,-433.9,-665.1,-299.49
Cash from Financing Activity,233.62,29.77,33.43,181.07,-420.8,-676.09,-449.58,-552.62,10.81,-265.83
Net Cash Flow,75.24,-69.88,13.92,-22.6,2.25,6.98,0.2,45.31,25.67,68.91
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
