COMPANY NAME,NAVNEET EDUCATION LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,149.7,,,,,,,,,
Market Capitalization,3382.17,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,891.6,973.57,956.31,1167.52,1202.54,1441.84,1495.75,832.33,1111.7,1693.68
Raw Material Cost,469.14,511.12,410.64,550.62,622.88,764.39,705.01,357.26,551.3,932.96
Change in Inventory,35.4,47.07,-49.05,5.95,38,62.34,-23.92,-39.81,19.61,87.02
Power and Fuel,2.5,2.88,2.47,3.17,2.99,4.22,4.97,3.28,4.39,5.86
Other Mfr. Exp,45.72,46.19,43.93,56.35,61.5,75.98,68.05,65.57,96.82,127.26
Employee Cost,73.59,87.48,99.44,118.66,146.81,171.25,180.12,164.18,183.91,232.15
Selling and admin,108.49,126.35,124.03,129.71,140.38,166.82,157.3,67.13,92.47,132.85
Other Expenses,17.78,7.79,19.33,39.67,42.59,49.23,41.05,46.76,108.02,59.08
Other Income,3.51,2.78,16.68,22.34,26,22.53,22.42,58.98,97.61,78.83
Depreciation,25.8,30.76,29.65,28.35,30.66,32.7,46.88,47.12,49.67,58.07
Interest,11.78,11.25,4.57,5.51,8.7,16.81,19.01,11.45,7.31,13.33
Profit before tax,175.71,199.6,189.88,263.77,210.03,245.31,271.86,88.75,135.03,297.97
Tax,60.49,69.25,69.72,82.69,82.53,92.49,74.62,32.84,60.68,94.21
Net profit,115.15,130.34,107.49,170.61,127.36,152.83,197.24,55.93,75.56,204.54
Dividend Amount,47.64,52.4,52.4,58.39,35.03,22.88,68.66,22.88,33.93,58.81
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,231.17,233.18,322.1,693.74,329.8,264.27,409.02,791.45,265.78,258.76
Expenses,213.8,223.25,267.04,498.43,307.35,264.8,355.97,582.57,270.08,260.48
Other Income,8.03,81.01,1.86,22.79,3.36,66.99,4.25,10.71,74.45,3.08
Depreciation,10.65,10.72,16.02,11.17,14.14,13.07,19.69,12.97,14.6,16.42
Interest,1.57,1.34,1.52,2.76,1.88,2.59,4.41,7.51,3.87,3.62
Profit before tax,13.18,78.88,39.38,204.17,9.79,50.8,33.2,199.11,51.68,-18.68
Tax,8.14,28.53,9.13,51.85,11.98,20.11,10.26,54.17,16.08,3.81
Net profit,5.04,50.62,30.63,153.11,-2.2,30.67,22.96,144.92,35.59,-22.53
Operating Profit,17.37,9.93,55.06,195.31,22.45,-0.53,53.05,208.88,-4.3,-1.72
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,47.64,47.64,47.64,46.71,46.71,45.77,45.77,45.77,45.24,45.24
Reserves,430.67,495.62,535.44,647.1,705.01,745.13,817.02,884.7,902.65,1105.07
Borrowings,233.68,143.58,103.45,159.4,243.83,337.49,278.4,74.14,135.13,287.83
Other Liabilities,131.61,135.79,82.91,166.69,158,189.55,148.51,175.92,186.12,218.4
Total,843.6,822.63,769.44,1019.9,1153.55,1317.94,1289.7,1180.53,1269.14,1656.54
Net Block,187.44,169.92,180.89,252.29,254.6,251.56,298.2,260.56,248.54,240.49
Capital Work in Progress,4.51,4,0.83,2.76,4.15,16.69,5.65,22.41,3.94,7.38
Investments,47.46,49.23,32.15,24.47,45.83,65.73,87.86,142.5,167.05,299.58
Other Assets,604.19,599.48,555.57,740.38,848.97,983.96,897.99,755.06,849.61,1109.09
Total,843.6,822.63,769.44,1019.9,1153.55,1317.94,1289.7,1180.53,1269.14,1656.54
Receivables,196.11,188.56,186.76,277.8,318.1,292.36,267.89,184.5,242.18,331.38
Inventory,333.69,348.36,307.43,384.29,428.14,551.27,471.04,415.62,462.82,624.71
Cash & Bank,6.92,5.51,5.92,9.72,6.84,20.74,10.12,24.42,29.27,27.51
No. of Equity Shares,238215000,238215000,238215000,233558000,233558000,228870500,228870500,228870500,226213181,226213181
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,59.13,162.2,167.89,78.78,47.95,95.26,285.52,267.86,29.12,-21.59
Cash from Investing Activity,-61.68,-8.11,-3.97,-78.65,-53.57,-43.34,-61.19,-40.12,-24.13,-85.95
Cash from Financing Activity,5.94,-155.49,-169.85,-6.3,-78.95,-11.26,-200.86,-214.09,-2.09,101.11
Net Cash Flow,3.39,-1.4,-5.93,-6.17,-84.57,40.66,23.47,13.65,2.9,-6.43
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,57.15,99.8,84.4,162.45,142.8,108.7,64.55,80.1,89.4,95.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
