COMPANY NAME,TARC LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,143.3,,,,,,,,,
Market Capitalization,4225.88,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,137.33,190.96,250.61,368.66
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,116.2
Power and Fuel,,,,,,,0.97,1.04,2.98,2.94
Other Mfr. Exp,,,,,,,92.59,167.03,281.57,169.6
Employee Cost,,,,,,,11.06,10.71,9.14,11.12
Selling and admin,,,,,,,11,11.95,35.39,19.23
Other Expenses,,,,,,,-3.75,0.45,105.97,122.41
Other Income,,,,,,,72.02,29.91,50.08,6
Depreciation,,,,,,,7.55,8.16,8.66,7.19
Interest,,,,,,,25.22,20.6,86.3,117.22
Profit before tax,,,,,,,64.71,0.93,-229.32,41.15
Tax,,,,,,,11.61,-5.24,3.42,20.78
Net profit,,,,,,,53.1,6.18,-232.74,20.34
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,159.75,53.12,11.44,67.91,41.67,94.21,134.99,62.94,29.72,9.3
Expenses,98.82,30.88,282.09,13.26,18.82,80.11,96.99,21.83,25.71,3.76
Other Income,1.27,16.82,31,3.37,16.55,15.43,0.55,1.63,4.96,2.49
Depreciation,1.63,1.87,3.11,2.42,2.06,1.21,1.5,1.19,1.88,1.51
Interest,15.42,24.99,40.17,37.29,26.99,24.19,28.69,34.06,25.2,34.89
Profit before tax,45.15,12.2,-282.93,18.31,10.35,4.13,8.36,7.49,-18.11,-28.37
Tax,39.84,3.68,-40.2,8.99,2.17,2.78,6.82,0.38,-19.19,5.12
Net profit,5.3,8.51,-242.73,9.31,8.17,1.31,1.54,7.11,1.08,-33.49
Operating Profit,60.93,22.24,-270.65,54.65,22.85,14.1,38,41.11,4.01,5.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,59.02,59.02,59.02,59.02
Reserves,,,,,,,1498.61,1505.25,1272.74,1292.63
Borrowings,,,,,,,1298.01,1321.02,1179.39,1386.46
Other Liabilities,,,,,,,471.2,521.33,468.01,418.95
Total,,,,,,,3326.84,3406.62,2979.16,3157.06
Net Block,,,,,,,1563.63,1662.26,1052.85,1065.95
Capital Work in Progress,,,,,,,73.28,0.06,0.13,
Investments,,,,,,,137.69,137.76,68.38,67.86
Other Assets,,,,,,,1552.24,1606.54,1857.8,2023.25
Total,,,,,,,3326.84,3406.62,2979.16,3157.06
Receivables,,,,,,,3.01,16.87,4.81,9.57
Inventory,,,,,,,829.23,847.84,1065.23,1106.2
Cash & Bank,,,,,,,9.05,14.96,27.69,114.89
No. of Equity Shares,,,,,,,295096335,295096335,295096335,295096335
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,116.4,144.33,-81.17,-81.01
Cash from Investing Activity,,,,,,,17.46,22.97,366.97,74.52
Cash from Financing Activity,,,,,,,-143.14,-160.81,-278.96,95.89
Net Cash Flow,,,,,,,-9.28,6.48,6.84,89.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,29.05,36.6,34.1
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,,29.51,29.51,29.51
