COMPANY NAME,BANDHAN BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,182.8,,,,,,,,,
Market Capitalization,29473.05,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,1581.36,3908.71,4802.3,6643.37,10885.49,12524.21,13871.57,15904.7
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,,,0.13,0.94,1.37,2.55,9.72,10.28,56.75,65.83
Employee Cost,,1.42,325.55,546.37,689.16,1010.8,1369.51,1667.82,2138.22,2720.94
Selling and admin,,3.21,135.29,179.72,237.09,300.62,410.66,459.07,492.12,620.01
Other Expenses,,1.01,172.47,316.56,668.98,1153.28,1949.55,4396.71,8611.22,5285.77
Other Income,,7.95,149.89,411.41,706.18,1063.05,1549.2,2022.25,2822.5,2468.55
Depreciation,,0.01,35.77,66.85,85.92,78.17,80.26,103.06,110.04,142.65
Interest,,,648.53,1505.21,1770.06,2147.95,4561.58,4960.86,5157.1,6645.08
Profit before tax,,2.3,413.51,1704.47,2055.9,3013.05,4053.41,2948.66,128.62,2892.97
Tax,,1.73,138.26,592.52,710.34,1061.55,1029.68,743.2,2.83,698.34
Net profit,,0.58,275.25,1111.95,1345.56,1951.5,3023.74,2205.46,125.79,2194.64
Dividend Amount,,,,,119.28,357.92,,161.06,,241.63
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,3180.89,3408.76,3871.57,4055.39,3773.45,3807.64,4268.25,4522.91,4491.93,4665.43
Expenses,6491.3,1689.36,987.57,1666,2396.18,2733.06,2040.03,1915.53,2036.36,2099.22
Other Income,527.19,709,964.4,329.75,476.41,1033.31,629.14,385.12,540.25,545.16
Depreciation,,,,,,,,,,
Interest,1245.47,1283.96,1331.73,1540.94,1580.46,1727.21,1796.48,2032.29,2048.57,2140.07
Profit before tax,-4028.69,1144.44,2516.67,1178.2,273.22,380.68,1060.88,960.21,947.25,971.3
Tax,-1020.09,285.47,614.33,291.7,63.95,90.11,252.59,239.16,226.08,238.58
Net profit,-3008.6,858.97,1902.34,886.5,209.27,290.57,808.29,721.05,721.17,732.72
Operating Profit,-3310.41,1719.4,2884,2389.39,1377.27,1074.58,2228.22,2607.38,2455.57,2566.21
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,501.05,1095.14,1095.14,1192.8,1193.08,1610.25,1610.6,1610.77,1610.84
Reserves,,0.58,2239.36,3351.31,8189.14,10008.66,13585.21,15797.58,15770.38,17973.32
Borrowings,,,15140.4,24257.6,34154,43752.97,73460.68,94932.58,116251.84,132780.13
Other Liabilities,,25.26,1281.6,1532.04,774.12,1487,3061.66,2675.42,5362.18,3405.68
Total,,526.89,19756.5,30236.09,44310.06,56441.71,91717.8,115016.18,138995.17,155769.97
Net Block,,0.13,236.75,251.79,238.13,222.23,347.27,431.96,414.58,508.92
Capital Work in Progress,,108.48,0.48,,,108.97,21.5,54.75,173.3,345.68
Investments,,,3758.03,5516.49,8371.94,10037.48,15351.77,25155.39,29078.71,32365.89
Other Assets,,418.28,15761.24,24467.81,35699.99,46073.03,75997.26,89374.08,109328.58,122549.48
Total,,526.89,19756.5,30236.09,44310.06,56441.71,91717.8,115016.18,138995.17,155769.97
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,,401.26,3173.4,7365,5510.58,5802.66,8352.9,6228.32,9321.35,8249.72
No. of Equity Shares,,501050000,1095141034,1095141034,1192804944,1193082855,1610247843,1610599201,1610765867,1610836480
New Bonus Shares,,,,,,,,,,
Face value,,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,8885.19,-2598.8,2695.4,6583.01,-909.18,902.19,-4244.62
Cash from Investing Activity,,,,-2670.9,-2236.6,-2373.19,-4186.98,-1803.87,-611.83,-1617.94
Cash from Financing Activity,,,,-2022.71,2846,104.65,154.2,588.45,2802.8,4791.25
Net Cash Flow,,,,4191.59,-1989.41,426.86,2550.23,-2124.61,3093.16,-1071.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,469.05,526.25,203.75,338.9,307.4,195.75
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,50.1,109.51,109.51,119.28,119.31,161.02,161.06,161.08,161.08
