COMPANY NAME,BLUE JET HEALTHCARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2.0,,,,,,,,,
Current Price,380.0,,,,,,,,,
Market Capitalization,6602.13,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,538.2,498.93,683.47,720.98
Raw Material Cost,,,,,,,186.76,214.27,283.65,350.29
Change in Inventory,,,,,,,-23.82,,-3.8,14.33
Power and Fuel,,,,,,,19.3,19.91,27.25,32.99
Other Mfr. Exp,,,,,,,24.99,31.31,36.18,35.44
Employee Cost,,,,,,,23.88,28.96,33.03,42.38
Selling and admin,,,,,,,34.4,31.91,37.69,39.27
Other Expenses,,,,,,,11.48,-34.29,12.6,15.85
Other Income,,,,,,,5.72,8.59,19.41,23.96
Depreciation,,,,,,,18.04,19.67,22.15,25.07
Interest,,,,,,,7.37,5.31,3.3,1.36
Profit before tax,,,,,,,193.88,190.47,243.23,216.62
Tax,,,,,,,49.17,48.87,61.64,56.58
Net profit,,,,,,,144.71,141.6,181.59,160.03
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,,,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,,,144.52,190.22,168.96,179.54,181.35,166.76
Expenses,,,,,106.2,131.51,117.22,120.58,118.73,112.17
Other Income,,,,,4.36,6.88,6.5,5.06,8.21,-2.99
Depreciation,,,,,5.9,6.18,6.68,6.05,6.47,7.86
Interest,,,,,0.33,0.35,0.35,0.05,0.04,0.04
Profit before tax,,,,,36.45,59.06,51.21,57.92,64.32,43.7
Tax,,,,,8.6,15.1,13.68,13.8,16.46,11.59
Net profit,,,,,27.85,43.95,37.53,44.12,47.87,32.11
Operating Profit,,,,,38.32,58.71,51.74,58.96,62.62,54.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,0.6,9.91,34.69,34.69
Reserves,,,,,,,197.61,329.9,486.85,646.79
Borrowings,,,,,,,74.07,51.62,18.82,4.94
Other Liabilities,,,,,,,91.96,144.85,173.01,175.65
Total,,,,,,,364.24,536.28,713.37,862.07
Net Block,,,,,,,107.16,,156.48,151.04
Capital Work in Progress,,,,,,,2.04,2.58,3.43,30.46
Investments,,,,,,,26.05,36.84,93.77,189.28
Other Assets,,,,,,,228.99,496.86,459.69,491.29
Total,,,,,,,364.24,536.28,713.37,862.07
Receivables,,,,,,,118.49,144,227.44,239.38
Inventory,,,,,,,69.01,117.71,105.03,125.66
Cash & Bank,,,,,,,15.2,70.46,87.66,65.63
No. of Equity Shares,,,,,,,60000,991231,173465425,173465425
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,100,40,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,122.4,136.78,146.42,141.56
Cash from Investing Activity,,,,,,,-45.24,-60.98,-76.03,-147.25
Cash from Financing Activity,,,,,,,-72.5,-20.55,-56.15,-4.24
Net Cash Flow,,,,,,,4.66,55.25,14.25,-9.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.01,0.1,17.35,17.35
