COMPANY NAME,BANCO PRODUCTS (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,582.65,,,,,,,,,
Market Capitalization,4165.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1115.82,1128.76,1148.04,1239.36,1335.64,1566.73,1422.08,1532.57,1957.85,2331.82
Raw Material Cost,602.81,609.22,677.76,696.8,792.26,970.32,833.5,936.33,1301.09,1558.66
Change in Inventory,19.35,-3.38,49.44,8.4,55.01,54.09,13.78,57.59,132.07,220.91
Power and Fuel,21.51,23.76,23.21,21.77,20.59,28.16,26.99,25.5,32.97,48.58
Other Mfr. Exp,104.55,94.31,101.16,114.76,171.71,194.26,184.12,193.37,223.98,249.16
Employee Cost,157.56,162.08,156.26,162.23,167.9,183.59,191.96,185.83,196.35,229.5
Selling and admin,121.49,123.95,139.07,94.88,42.18,47.47,53.47,48.29,42.3,79.54
Other Expenses,-37.56,9.89,-46.32,13.69,17.21,35.69,23.65,22.61,21.42,21.74
Other Income,8.59,52.88,11.04,32.47,17.65,10.43,25.17,8.9,5.08,14.2
Depreciation,32.37,33.83,34.67,33.33,27.7,29.22,32.77,33.68,47.87,56.35
Interest,19.34,8.38,3.24,1.96,1.77,4.26,3.1,3.62,5.26,12.58
Profit before tax,121.69,112.84,119.47,140.81,166.98,138.28,111.47,149.83,223.76,310.82
Tax,31.88,25.19,29.57,43.6,50.21,69.2,34.9,36.11,71.34,75.25
Net profit,89.82,87.65,89.89,97.2,116.77,69.08,76.58,113.72,152.42,235.58
Dividend Amount,14.3,21.45,32.89,64.35,71.5,57.2,143,14.3,143,157.3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,548.89,402.37,506.67,585.52,627.92,509.08,609.3,749.36,724.56,570.64
Expenses,468.21,362.68,426.92,518.91,568.78,369.01,511.04,652.62,602.1,481.57
Other Income,0.43,-2.63,-0.7,1.3,10.15,1.21,3.02,16.37,3.08,11.84
Depreciation,8.1,8.13,23.77,11.67,11.74,12.96,19.98,15.34,15.66,16.66
Interest,1.22,0.66,2.77,1.61,1.25,2.51,7.21,5.24,5.81,3.74
Profit before tax,71.79,28.27,52.51,54.63,56.3,125.81,74.09,92.53,104.07,80.51
Tax,22.56,11.17,12.32,20.04,4.57,27.58,23.06,23.72,37.96,12.19
Net profit,49.23,17.1,40.19,34.59,51.73,98.23,51.03,68.81,66.11,68.32
Operating Profit,80.68,39.69,79.75,66.61,59.14,140.07,98.26,96.74,122.46,89.07
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3,14.3
Reserves,574.41,605.45,673.57,705.21,793.4,818.38,695.73,814.13,967.42,987.2
Borrowings,172.29,35.62,36.28,38.37,33.66,39.88,91.65,14.23,115.22,417.57
Other Liabilities,183.28,163.61,232.22,211.28,356.13,322.12,286.86,344.01,404.68,435.47
Total,944.28,818.98,956.37,969.16,1197.49,1194.68,1088.54,1186.67,1501.62,1854.54
Net Block,243.37,226.62,221.27,192.47,191.45,184.25,193.42,189.78,296.51,359.05
Capital Work in Progress,12.46,10.6,2.71,3.56,12.71,12.62,2.62,1.03,14.92,18.47
Investments,70.81,0.62,1.46,91.29,24.12,68.53,9.21,0.81,0.51,
Other Assets,617.64,581.14,730.93,681.84,969.21,929.28,883.29,995.05,1189.68,1477.02
Total,944.28,818.98,956.37,969.16,1197.49,1194.68,1088.54,1186.67,1501.62,1854.54
Receivables,213.52,175.58,220.06,204.81,256.55,271.6,293.58,270.29,324.25,413.49
Inventory,274.68,255.87,327.35,322.01,439,479.44,476.2,563.91,720.49,994.9
Cash & Bank,26.56,63,108.08,85.21,199.97,127.12,70.43,122.61,81.57,18.33
No. of Equity Shares,71519000,71518650,71518650,71518650,71518650,71518650,71518650,71518650,71518650,71518650
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,130.65,84.84,68.5,90.3,99.04,62.41,52.12,156.81,57.24,-41.46
Cash from Investing Activity,-42.1,88.06,-16.52,-58.68,-22.21,-51.59,149.48,-58.72,-104.28,-23.37
Cash from Financing Activity,-81.84,-136.45,-6.25,-61.45,-67.94,-49.38,-152.54,-78.19,-11.24,58.71
Net Cash Flow,6.71,36.45,45.73,-29.83,8.89,-38.56,49.06,19.9,-58.29,-6.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,71.9,103.8,110.05,222.9,212,153.5,65.05,140.55,136.15,223.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
