COMPANY NAME,DIVI'S LABORATORIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3789.95,,,,,,,,,
Market Capitalization,100571.57,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2532.14,3114.94,3776.36,4064.34,3891.49,4946.26,5394.42,6969.4,8959.83,7767.51
Raw Material Cost,1036.87,1452.84,1478.71,1608.36,1567.94,2169.72,2256.99,2455.4,3552.07,3088.18
Change in Inventory,122.72,239.6,-25.37,40.82,-3.33,304.59,105.98,78.67,523.83,-23.03
Power and Fuel,147.4,170.82,180.34,198.8,228.73,248.78,280.73,319.15,392.33,496.61
Other Mfr. Exp,93.41,116.78,128.01,120.99,134.6,160.96,203.73,228.83,282.94,311.71
Employee Cost,232.51,290.67,361.4,500.06,456.45,542.78,622.36,827.85,948.33,977.13
Selling and admin,103.2,129.07,133.97,154.1,200.09,175.19,226.92,285.75,343.03,396.25
Other Expenses,23.62,21.01,45.99,73.19,31.34,79.01,83.21,63.96,79.77,104.36
Other Income,68.14,37.61,93.2,72.37,107.18,154.24,186.38,56.6,111.82,343.53
Depreciation,92.12,136,118.18,123.33,142.49,168.9,186.24,255.59,311.51,343.18
Interest,2.96,2.88,4.74,3.36,2.37,4.68,7.14,2.1,2,1.96
Profit before tax,990.91,1072.08,1392.85,1395.34,1231.33,1855.07,1819.46,2666.04,3683.5,2368.63
Tax,217.58,220.55,267.06,334.92,354.32,502.33,442.92,681.75,723.05,545.25
Net profit,773.34,851.52,1125.78,1060.42,877.01,1352.74,1376.54,1984.29,2960.45,1823.38
Dividend Amount,265.5,265.5,265.45,265.45,265.45,424.72,424.72,530.9,796.35,796.35
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1987.51,2493.24,2518.44,2255,1855,1708,1951,1778,1909,1855
Expenses,1169.44,1396.06,1414.02,1406,1234,1299,1464,1274,1430,1366
Other Income,19.11,16.62,52.39,88,80,113,66,81,86,95
Depreciation,77.35,79.91,80.99,85,86,87,87,93,95,95
Interest,0.21,0.23,0.08,,,,,,1,
Profit before tax,759.62,1033.66,1075.74,852,615,435,466,492,469,489
Tax,153.16,131.42,181.1,150,122,129,145,136,121,131
Net profit,606.46,902.24,894.64,702,493,306,321,356,348,358
Operating Profit,818.07,1097.18,1104.42,849,621,409,487,504,479,489
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,26.55,26.55,53.09,53.09,53.09,53.09,53.09,53.09,53.09,53.09
Reserves,2936.8,3468.81,4240.21,5304.3,5871.71,6904.06,7256.83,9241.52,11675.09,12714
Borrowings,18.42,26.62,42.47,35.74,63.11,105.6,38.85,4.83,3.69,3.26
Other Liabilities,728.73,883.16,562.2,761.84,796.91,973.16,1182.55,1471.4,1628.37,1654.18
Total,3710.5,4405.14,4897.97,6154.97,6784.82,8035.91,8531.32,10770.84,13360.24,14424.53
Net Block,1221.84,1308.89,1438.77,1559.19,1996.19,2087.77,2781.85,3703.87,4325.05,4722.6
Capital Work in Progress,144.48,218.18,263.91,443.57,119.76,491.91,919.69,710.62,469.93,211.88
Investments,501.88,733,802.86,1630.73,1889.29,1945.6,971.36,0.01,72.01,77.05
Other Assets,1842.3,2145.07,2392.43,2521.48,2779.58,3510.63,3858.42,6356.34,8493.25,9413
Total,3710.5,4405.14,4897.97,6154.97,6784.82,8035.91,8531.32,10770.84,13360.24,14424.53
Receivables,723.7,741.64,880.92,900.92,1014.36,1163.37,1413.35,1676.52,2423.88,1792.53
Inventory,932.42,1162.64,1207.83,1319.91,1350.67,1772.34,1863.86,2145.23,2828.62,3000.41
Cash & Bank,40.51,65.22,73.43,78.7,112.46,115.26,122.63,2156.03,2818.88,4213.09
No. of Equity Shares,132734290,132734290,265468580,265468580,265468580,265468580,265468580,265468580,265468580,265468580
New Bonus Shares,,,132734290,132734290,132734290,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,556.75,826.33,1037.86,1150.37,775.86,954.3,1215.94,1946.93,1911.8,2459.73
Cash from Investing Activity,-305.15,-520.84,-406.41,-1139.6,-478.3,-685.4,-83.47,75.13,-2194.92,-2707.62
Cash from Financing Activity,-248.5,-302.95,-631.12,2.38,-314.16,-245.94,-1091.42,-34.89,-532.44,-797.17
Net Cash Flow,3.1,2.54,0.33,13.15,-16.6,22.96,41.05,1987.17,-815.56,-1045.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,682.95,892.73,987.25,623.85,1090.2,1703.1,1989.05,3622.8,4402.05,2823.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
