COMPANY NAME,JAIPRAKASH ASSOCIATES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,16.7,,,,,,,,,
Market Capitalization,4094.52,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,19832.35,19665.81,18396.51,13759.03,7644.52,9210.25,7035.49,6405.66,5751.79,7263.12
Raw Material Cost,4369.65,4533.44,5415.6,3033.43,1863.92,2259.63,2071.26,1450.63,1836,2369.13
Change in Inventory,-62.6,105.61,-191.61,-158.21,83.41,-259.31,32.36,-76.88,-13.05,18.51
Power and Fuel,1155.22,1359.93,,1279.05,917.4,933.6,908.79,839.13,687.02,561.96
Other Mfr. Exp,3963.94,4111.69,4533.68,4844.88,3097.92,3509.18,2359.64,1810.51,2144.11,2971.58
Employee Cost,894.34,879.77,888.34,908.63,657.25,560.02,622.14,492.87,403.06,406.77
Selling and admin,2655.18,2464.35,2148.38,1699.04,872.98,762.8,626.73,611.94,299.7,281.73
Other Expenses,193.64,112.7,347.42,135.81,909.46,1565.92,474.6,420.64,458.75,45.22
Other Income,529.64,609.23,75.47,-2945.78,1261.94,-261.14,2701.82,207.22,-4.7,-520.06
Depreciation,1708.02,1694.06,1820.26,1888.3,782.07,592.38,602.56,568.18,395.31,381.35
Interest,6233.48,7338.15,7847.28,7468.58,2486.28,987.7,1158.96,1000.74,997.55,1056.24
Profit before tax,-874.08,-2113.44,-4720.59,-10602.68,-2597.41,-2481.43,944.99,-658.64,-1487.46,-1312.41
Tax,-171.49,-562.32,-1556.23,-1190.09,-0.79,162.71,384.23,8.67,10.86,39.19
Net profit,-824.84,-1735.1,-2950.82,-8706.08,-1937.3,-2044.99,1095.69,-661.53,-1478.02,-1341.83
Dividend Amount,20.77,9.73,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1689.6,1888.58,1639.25,1659.59,1953.96,1876.26,1907.74,1429.06,1895.51,1502.59
Expenses,1707.58,1837.35,1906.08,1586.62,1916.86,1740.59,1657.51,1350.85,1805.69,1405.67
Other Income,112.89,35.17,71.65,-42.61,71.46,-52.54,-307.96,68.12,14.66,-189.38
Depreciation,143.19,134.2,110.18,100.2,144.67,101.47,77.11,97.05,96.08,96.31
Interest,260.66,288.1,246.51,285.69,312.77,280.91,173.91,225.51,253.27,270.5
Profit before tax,-308.94,-335.9,-551.87,-355.53,-348.88,-299.25,-308.75,-176.23,-244.87,-459.27
Tax,1.98,12.44,-5.96,25.84,-8.83,15.26,6.92,7.26,3.22,16.85
Net profit,-304.3,-343.72,-540.31,-376.07,-334.7,-309.28,-321.78,-180.8,-245.92,-473.83
Operating Profit,-17.98,51.23,-266.83,72.97,37.1,135.67,250.23,78.21,89.82,96.92
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,443.82,486.49,486.49,486.49,486.49,486.49,486.49,488.85,490.92,490.92
Reserves,9826.39,14468.62,12030.3,3323.82,4192.25,606.41,1695.4,1073.31,-406.26,-1742.31
Borrowings,72598.84,75274.16,66246.32,38953.2,28859.05,28677.89,19692.46,19145.51,19096.92,16458.43
Other Liabilities,19807.02,19272,21424.16,18590.1,16088.06,26818.74,14415.14,15654.02,18209.25,22560.6
Total,102676.07,109501.27,100187.27,61353.61,49625.85,56589.53,36289.49,36361.69,37390.83,37767.64
Net Block,45434.22,53775.39,42784.58,18588.97,19713.91,19845.48,9588.9,8988.43,8617.6,4958.37
Capital Work in Progress,27124.27,19419.8,11320.63,2865.58,1465.45,673.3,679.19,713.54,246.51,192.63
Investments,3041.82,3025.68,2712.69,2127,1317.75,1210.47,1670.86,1462.02,1462.45,1491.77
Other Assets,27075.76,33280.4,43369.37,37772.06,27128.74,34860.28,24350.54,25197.7,27064.27,31124.87
Total,102676.07,109501.27,100187.27,61353.61,49625.85,56589.53,36289.49,36361.69,37390.83,37767.64
Receivables,2121.81,3473.95,4236.83,1863.03,1940.75,2138.6,2306.14,2128.71,3055.33,2412.8
Inventory,9628.64,13928.69,13458.91,12299.97,13734.79,21896.76,11845.68,12902.51,13993.49,15208.24
Cash & Bank,2189.65,2084.58,668.84,427.25,656.26,410.36,356.14,664.77,481.28,496.88
No. of Equity Shares,2219083559,2432456975,2432456975,2432456975,2432456975,2432456975,2432456975,2444237715,2454595640,2454595640
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,4553,3695.76,6675.68,5793.15,-855.28,769.6,826.56,1075.83,20.52,760.79
Cash from Investing Activity,-7315.8,-3607.62,7000.26,-1426.02,15121.98,-3.32,-266.28,-3.01,59.63,-116.24
