COMPANY NAME,CHEMPLAST SANMAR LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,5,,,,,,,,,
Current Price,457.45,,,,,,,,,
Market Capitalization,7238.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,1254.34,1257.66,3798.73,5891.99,4941.08
Raw Material Cost,,,,,,408.15,436.52,2095.92,3731.96,3205.58
Change in Inventory,,,,,,8.01,15.15,-26.28,16.94,-6.12
Power and Fuel,,,,,,328.57,287.79,299.53,476.78,669.9
Other Mfr. Exp,,,,,,62.66,70.56,116.86,163.05,187.94
Employee Cost,,,,,,77.8,82.81,113.58,120.05,147.21
Selling and admin,,,,,,36.14,49.59,81.5,115.63,145.49
Other Expenses,,,,,,63.41,98.87,437.17,104.65,110.7
Other Income,,,,,,12.44,7.85,483.53,57.48,-0.61
Depreciation,,,,,,56.38,87.36,131.09,137.13,142
Interest,,,,,,48.28,95.46,433.36,321.61,154.02
Profit before tax,,,,,,193.4,71.7,546.97,795.55,171.51
Tax,,,,,,74.94,25.57,136.9,146.9,19.16
Net profit,,,,,,118.46,46.13,410.09,648.65,152.35
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1672.99,1451.68,1806.95,1411.3,1194.37,1188.58,1146.83,996.41,987.75,888.1
Expenses,1326.59,1098.92,1460.49,1217.16,1095.94,1110.43,1049.41,1030.93,941.8,894.67
Other Income,21.81,13.05,8.75,-64.75,16.69,16.52,30.93,17.97,37.23,12.65
Depreciation,33.08,33.03,40.21,40.55,33.35,34.64,33.46,32.45,35.33,37.61
Interest,148.92,37.37,34.9,36.19,39.97,39.46,38.4,44.16,38.6,46.81
Profit before tax,186.21,295.41,280.1,52.65,41.8,20.57,56.49,-93.16,9.25,-78.34
Tax,34.87,58.55,48.46,12.06,3.26,-6.57,10.41,-29.19,-16.8,11.04
Net profit,151.34,236.86,231.64,40.59,38.54,27.14,46.08,-63.97,26.05,-89.38
Operating Profit,346.4,352.76,346.46,194.14,98.43,78.15,97.42,-34.52,45.95,-6.57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,67.04,67.04,67.04,79.06,79.06
Reserves,,,,,,2432.74,1845.48,-416.53,1625.98,1779.4
Borrowings,,,,,,252.99,82.07,943.31,881.53,1019.26
Other Liabilities,,,,,,1048.79,2112.95,3892.7,3015.49,2959.05
Total,,,,,,3801.56,4107.54,4486.52,5602.06,5836.77
Net Block,,,,,,2107.99,2174.22,3147.92,3259,3185.92
Capital Work in Progress,,,,,,117.24,8.38,25.08,33.65,401.82
Investments,,,,,,1158.79,1457.54,0.04,0.04,0.04
Other Assets,,,,,,417.54,467.4,1313.48,2309.37,2248.99
Total,,,,,,3801.56,4107.54,4486.52,5602.06,5836.77
Receivables,,,,,,66.9,48.2,73.93,189.85,142.64
Inventory,,,,,,200.32,181.83,407.09,711.05,643.1
Cash & Bank,,,,,,52.24,112.71,651.26,1229.19,1191.89
No. of Equity Shares,,,,,,67040000,67040000,134080000,158109574,158109574
New Bonus Shares,,,,,,,,,,
Face value,,,,,,10,10,5,5,5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,166.06,1076.39,900.95,355.43
Cash from Investing Activity,,,,,,,-437.67,2151.59,108.18,-217.21
Cash from Financing Activity,,,,,,,298.11,-3016.66,-312.87,-26.99
Net Cash Flow,,,,,,,26.5,211.32,696.26,111.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,14.87,14.87,14.87,665.15,347.85
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,8,6.7,13.41,15.81,15.81
