COMPANY NAME,TATA ELXSI LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,7150.7,,,,,,,,,
Market Capitalization,44548.29,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,849.4,1075.21,1237.31,1386.3,1596.93,1609.86,1826.16,2470.8,3144.72,3552.15
Raw Material Cost,24.64,25.65,22.85,77.29,100.56,81.13,85.39,126.7,186.12,194.07
Change in Inventory,0.29,-0.29,,,1.66,0.05,-1.65,0.5,-0.18,0.72
Power and Fuel,8.2,8.86,8.65,8.83,8.71,8.96,7.06,7.65,10.25,
Other Mfr. Exp,59.27,55.69,67.57,17.96,21.49,23.57,23.61,34.44,75.79,
Employee Cost,462.14,578.72,665.68,748.74,842.58,953.99,1028.52,1293.41,1603.77,1909.6
Selling and admin,114.96,151.64,170.41,182.07,201.45,188.56,137.86,223.26,296.61,
Other Expenses,3.22,6.64,28.56,4.6,7.72,9.45,18.54,19.08,9.63,402.76
Other Income,4.11,11.86,18.35,43.25,43.46,58.41,39.77,44.53,73.81,121.95
Depreciation,24.73,22.6,26.92,25.35,25.1,43.41,44.38,55.34,81.39,99.45
Interest,0.66,0.63,0.76,0.8,1.04,6.81,7.05,10.47,17.29,20.26
Profit before tax,155.98,236.35,264.26,363.91,433.4,352.44,511.87,745.48,937.5,1048.68
Tax,53.08,81.53,89.47,123.87,143.43,96.34,143.74,195.82,182.31,256.44
Net profit,102.9,154.81,174.78,240.04,289.97,256.1,368.12,549.67,755.19,792.24
Dividend Amount,34.25,43.6,49.82,68.51,84.08,102.76,298.94,264.69,377.42,435.96
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,635.41,681.74,725.89,763.17,817.74,837.92,850.27,881.7,914.23,905.94
Expenses,424.56,460.49,487.74,536.63,570.87,588.2,598.81,617.94,644.09,644.66
Other Income,6.51,18.09,10.32,18.67,19.13,25.69,22.21,31.13,34.93,33.68
Depreciation,14.04,15.88,17.09,21.79,21.43,21.08,21.41,25.01,25.45,27.58
Interest,3.01,3.19,3.36,4.26,4.47,4.12,3.92,5.81,5.55,4.97
Profit before tax,200.31,220.27,228.02,219.16,240.1,250.21,248.34,264.07,274.07,262.41
Tax,49.35,60.26,43.3,44.89,45.42,48.7,59.49,63.84,67.64,65.47
Net profit,150.96,160.01,184.72,174.28,194.68,201.52,188.85,200.23,206.43,196.93
Operating Profit,210.85,221.25,238.15,226.54,246.87,249.72,251.46,263.76,270.14,261.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,31.14,31.14,31.14,62.28,62.28,62.28,62.28,62.28,62.28,62.28
Reserves,252.21,354.55,526.53,676.07,880.48,1027.76,1289.9,1538.63,2023.49,2443.38
Borrowings,,,,,,58.27,73.21,138.5,184.62,223.98
Other Liabilities,182.01,213.96,157.73,206.54,200.62,240.68,291.3,429.77,493.11,457.34
Total,465.36,599.65,715.4,944.89,1143.38,1388.99,1716.69,2169.18,2763.5,3186.98
Net Block,98.49,106.97,107.8,94.28,101.19,147.06,169.65,271.51,333.59,395.98
Capital Work in Progress,2.59,1.88,1.03,2.13,0.45,0.91,7.27,22.09,6.98,2.15
Investments,0.29,,,,,,,,,
Other Assets,363.99,490.8,606.57,848.48,1041.74,1241.02,1539.77,1875.58,2422.93,2788.85
Total,465.36,599.65,715.4,944.89,1143.38,1388.99,1716.69,2169.18,2763.5,3186.98
Receivables,154.08,215.21,244.81,306.67,356.54,392.38,489.37,672.79,976.38,971.59
Inventory,0.29,,,,1.66,1.71,0.06,0.57,0.39,1.11
Cash & Bank,132.8,182.45,251.52,394.34,515.81,664.22,859.62,965.21,1191.55,1357.1
No. of Equity Shares,31138220,31138220,31138220,62276440,62276440,62276440,62276440,62276440,62276440,
New Bonus Shares,,,,31138220,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,143.39,121.06,144.33,197.06,214.95,255.76,437.39,483.03,486.86,701.23
Cash from Investing Activity,-28.53,-30.65,27.73,-244.82,-161.86,42.66,-438.93,-106.24,-200.95,-270.14
Cash from Financing Activity,-32.14,-41.07,-52.47,-59.96,-82.59,-123.71,-126.46,-326.1,-303.12,-427.83
Net Cash Flow,82.71,49.34,119.59,-107.72,-29.5,174.71,-128.01,50.69,-17.21,3.26
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,578.63,941.93,732.45,985.35,963.1,629.1,2692.9,8840.15,5959.1,7785.15
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23,6.23
