COMPANY NAME,BOMBAY DYEING & MANUFACTURING COMPANY LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,164.75,,,,,,,,,
Market Capitalization,3405.66,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2376.38,1843.09,1923.71,2662.32,4429.76,1894.62,1193.42,2000.92,2673.73,1688.48
Raw Material Cost,1458.46,1110.7,1119.58,1132.79,1397.93,1071.9,547.08,1175.95,1324.1,1183.32
Change in Inventory,400.59,152.08,87.34,-50.9,-1.97,-4.73,-48.5,-176.13,-741.66,-115.67
Power and Fuel,116.57,86.79,85.67,89.13,97.44,94.3,70.94,118.27,138.06,
Other Mfr. Exp,665.28,338.72,271.98,575.93,893.51,128.43,313.35,75.85,79.95,
Employee Cost,90.02,100.2,107.4,87.31,94.66,89.85,60.33,62.72,69.04,66.67
Selling and admin,106.35,118.41,112.26,96.92,120.08,111.05,79.57,186.8,200.25,
Other Expenses,86.22,48.42,81.72,44.2,114.12,66.04,47.46,53.8,155.36,372.04
Other Income,54.91,39.38,49,-105.56,44.97,49.54,89.38,-128.99,102.4,4056.81
Depreciation,46.82,33.91,31.66,29.88,29.79,33.11,33.72,32.78,33.28,31.34
Interest,227.22,282.64,368.45,412.51,489.46,553.82,588.39,524,522.95,326.35
Profit before tax,34.94,-85.24,-118.67,37.19,1235.77,-209.07,-506.54,-534.37,-488.52,3649.9
Tax,10.38,,29.57,2.78,5.79,-536.94,-37.44,-73.92,28.08,701.48
Net profit,24.56,-85.24,-148.24,34.41,1229.98,327.87,-469.1,-460.45,-516.6,2948.42
Dividend Amount,16.52,10.33,14.46,20.66,30.98,4.13,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,526.5,598.01,606.37,745.22,651.97,670.17,498.01,440.6,369.22,380.65
Expenses,475.85,528.02,593.65,737.08,612.19,765.5,494.65,425.11,393.43,424.51
Other Income,-166.28,9.7,39.96,35.57,6.29,20.58,6.29,81.85,3897.74,70.93
Depreciation,8.32,7.92,7.91,7.99,7.98,9.4,7.87,7.89,7.79,7.79
Interest,140.16,109.14,120.79,128.6,138.64,134.92,114.64,148.11,58.41,5.19
Profit before tax,-264.11,-37.37,-76.02,-92.88,-100.55,-219.07,-112.86,-58.66,3807.33,14.09
Tax,-46.76,4.36,0.83,0.19,,27.06,6.98,-6.61,753.41,-52.3
Net profit,-217.35,-41.73,-76.85,-93.07,-100.55,-246.13,-119.84,-52.05,3053.92,66.39
Operating Profit,50.65,69.99,12.72,8.14,39.78,-95.33,3.36,15.49,-24.21,-43.86
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,41.31,41.31,41.31,41.31,41.31,41.31,41.31,41.31,41.31,41.31
Reserves,1530.97,1270.81,293.57,595.34,139.31,17.85,-237.24,-799.75,-1314.95,1804.92
Borrowings,1725.82,2431.49,2541.6,2803.33,3967.52,4152.75,4172.19,4441.75,3642.04,2.75
Other Liabilities,694.59,649.84,761.21,706.6,1029.74,586.39,660.94,545.29,623.68,709.41
Total,3992.69,4393.45,3637.69,4146.58,5177.88,4798.3,4637.2,4228.6,2992.08,2558.39
Net Block,837.96,590.31,572.12,555.96,527.59,520.79,488.24,466.45,442.22,574.56
Capital Work in Progress,74.59,72.41,74.67,74.04,4.81,1.23,0.8,0.16,0.31,13.86
Investments,55.96,55.96,773.33,950.24,1061.61,376.43,472.67,366.3,193.27,746.12
Other Assets,3024.18,3674.77,2217.57,2566.34,3583.87,3899.85,3675.49,3395.69,2356.28,1223.85
Total,3992.69,4393.45,3637.69,4146.58,5177.88,4798.3,4637.2,4228.6,2992.08,2558.39
Receivables,264.79,238.15,137.87,212.36,1092.22,713.77,654.17,294.9,266.65,52.07
Inventory,710.27,679.87,420.82,409,2200.52,2423.77,2043.14,1814.53,1098.07,244.88
Cash & Bank,68.42,113.77,162.3,133.38,74.46,45.53,234.09,467,184.52,478.2
No. of Equity Shares,206534900,206534900,206534900,206534900,206534900,206534900,206534900,206534900,206534900,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,44.99,-435.23,169.04,-451.41,-737.59,100.11,603.94,522.37,861.05,354.9
Cash from Investing Activity,-87.05,42.07,120.5,558.63,97.61,270.55,140.56,5.98,177.11,3532.02
Cash from Financing Activity,30.01,403.85,-253.88,-153.91,654.32,-397.79,-591.11,-268.24,-1320.42,-3964.56
Net Cash Flow,-12.05,10.69,35.66,-46.69,14.34,-27.13,153.39,260.11,-282.26,-77.64
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
