COMPANY NAME,KEI INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,3843.5,,,,,,,,,
Market Capitalization,34666.84,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,2030.95,2325.58,2628.46,3458.8,4226.96,4884.27,4181.49,5726.99,6912.33,8104.08
Raw Material Cost,1516.43,1569.19,1636.66,2115.35,2779.78,3191.51,2614.68,4408.78,5056.14,6165.41
Change in Inventory,39.47,-45.53,42.68,32.62,104.61,136.24,-113.12,325.87,-7.51,88.03
Power and Fuel,32.44,35.38,38.87,44,54.23,63.2,51.43,61.95,74.67,
Other Mfr. Exp,107.05,148.5,445.47,608.22,575.15,721.27,529.71,500.49,518.97,
Employee Cost,62.19,83.01,111.9,147.17,173.39,227.59,184.94,200.64,231.99,267.15
Selling and admin,125.55,156.49,128.22,172.86,214.08,240.7,179.61,233.81,252.81,
Other Expenses,33.73,45.23,40.96,65.29,92.61,80.1,52.43,58.5,64.02,922.02
Other Income,4.84,5.35,10.03,9.16,7.07,16.37,19.96,14.89,27.62,49.02
Depreciation,24.59,25.29,28.4,32.23,33.95,56.69,57.81,55.45,57.08,61.36
Interest,120.4,126.97,124.43,111.3,136.15,129.15,57.31,40.39,34.71,43.91
Profit before tax,52.88,95.34,126.26,204.16,279.3,326.67,360.41,507.74,642.05,781.28
Tax,18.63,33.14,32.42,59.6,97.44,71.56,90.86,131.52,164.66,200.24
Net profit,34.25,62.2,93.83,144.56,181.87,255.1,269.55,376.22,477.38,581.05
Dividend Amount,3.09,3.86,4.67,7.84,9.47,13.42,17.97,22.52,27.06,31.59
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1563.85,1792.15,1565.41,1608.07,1784.32,1952.93,1782.57,1946.58,2059.37,2319.28
Expenses,1407.01,1620.26,1405.77,1447.49,1602.14,1750.71,1604.3,1742.72,1844.81,2074.72
Other Income,1.71,7.82,3.53,5.27,13.77,6.66,8.33,7.66,14.16,15.16
Depreciation,13.74,13.86,13.88,14.46,14.42,14.32,14.66,15.56,15.37,15.76
Interest,8.99,10.05,9.23,7.62,7.77,10.09,8.94,7.53,10.92,16.52
Profit before tax,135.82,155.8,140.06,143.77,173.76,184.47,163,188.43,202.43,227.44
Tax,34.57,39.92,36.29,36.87,45.15,46.36,41.62,48.22,51.75,58.65
Net profit,101.25,115.88,103.77,106.9,128.61,138.11,121.39,140.21,150.67,168.79
Operating Profit,156.84,171.89,159.64,160.58,182.18,202.22,178.27,203.86,214.56,244.56
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,15.45,15.45,15.56,15.67,15.79,17.9,17.97,18.02,18.04,18.05
Reserves,288.4,351.18,445.35,588.86,763.11,1488.86,1755.58,2117.3,2570.97,3130.22
Borrowings,452.5,498.18,812.85,842.12,599.44,366.65,332.59,355.38,161.83,166.23
Other Liabilities,585.39,598.13,621.85,769.96,1386.63,1395.24,902.07,1036.35,1019.3,1341.95
Total,1341.74,1462.94,1895.61,2216.61,2764.97,3268.65,3008.21,3527.05,3770.14,4656.45
Net Block,298.08,327.94,405.2,406.98,488.66,553.62,537.12,530.91,567.32,770.34
Capital Work in Progress,4.39,29.34,3.15,22.98,31.61,11.21,7.13,16.51,14.56,120.89
Investments,3.14,3.11,2.73,2.83,1.57,0.6,0.91,2.01,1.27,1.59
Other Assets,1036.13,1102.55,1484.53,1783.82,2243.13,2703.22,2463.05,2977.62,3186.99,3763.63
Total,1341.74,1462.94,1895.61,2216.61,2764.97,3268.65,3008.21,3527.05,3770.14,4656.45
Receivables,479.84,567.39,824.58,1020.59,1094.62,1367.59,1349.57,1395.53,1387.79,1517.87
Inventory,440.32,422.47,498.92,555.59,689.64,863.78,762.75,1079.41,1102.29,1342.75
Cash & Bank,4.69,5.77,33.31,76.33,195.34,214.3,221.21,360.03,537.16,700.37
No. of Equity Shares,77237438,77237438,77797438,78361438,78925438,89504438,89855438,90105438,90192438,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,197.87,185.17,-28.85,189.36,623.98,-13.1,153.94,228.57,513.91,610.63
Cash from Investing Activity,-16.62,-97.5,-62.74,-76.34,-275.05,11.03,75.38,-58.33,-137.11,-352.6
Cash from Financing Activity,-181.12,-86.58,228.65,-68.39,-386.31,99.41,-128.59,-31.35,-255.93,-71.88
Net Cash Flow,0.13,1.08,137.07,44.63,-37.38,97.34,100.72,138.88,120.87,186.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
