COMPANY NAME,J K CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,3863.7,,,,,,,,,
Market Capitalization,29856.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,2790.43,3400.63,4361.94,4010.5,4853.52,5258.68,5801.64,6606.1,7990.82,9720.2
Raw Material Cost,463.22,583.54,711,687.4,782.71,872.11,953.15,1060.7,1310.8,1618.13
Change in Inventory,38.57,10.7,14.18,-14.52,-18.69,-12.3,77.78,-12.54,22.99,25.29
Power and Fuel,673.9,814.17,828.64,664.51,952.13,1106.62,1096.87,1167.99,1652,2563.41
Other Mfr. Exp,276.79,327.44,944.21,395.58,430.67,448.2,447.19,481.28,646.8,726.32
Employee Cost,169.59,210.26,268.75,315.54,368.28,401.09,455.22,462.27,558.95,637.76
Selling and admin,792.51,933.99,973.33,1052.14,1363.62,1571.29,1526.63,1671.44,2114.63,2591.07
Other Expenses,99.64,89.13,103.86,154.42,148.33,8.48,154.64,165.34,218,282.06
Other Income,47.65,66.53,49.64,78.84,109.54,76.25,53.05,67.1,112.44,74.97
Depreciation,134.21,146.07,197.4,216.95,231.32,241.28,287.96,306.19,342.47,458.24
Interest,152.62,229.11,304.93,302.66,284.09,261.12,276.36,252.77,269.69,312.18
Profit before tax,114.17,144.15,93.64,285.62,383.22,412.44,734.45,1092.68,1012.91,631.29
Tax,39.23,2.23,38.81,113.64,97.63,148.8,251.06,389.58,333.71,212.22
Net profit,77.15,143.64,57.85,177.74,289.58,270.34,492.4,709.72,687.12,426.33
Dividend Amount,20.98,27.97,27.97,55.94,69.93,77.27,57.95,115.9,115.9,115.9
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1895.02,2030.49,2351.16,2272.38,2227.95,2436.09,2777.88,2762.63,2752.77,2934.83
Expenses,1565.26,1664.96,1967.17,1866.03,1923.03,2188.82,2428.35,2354.84,2285.81,2309.71
Other Income,47.94,25.78,41.82,14.92,21.69,18.71,38.32,16.59,29.33,38.45
Depreciation,83.9,87.14,90.78,105.53,106.07,118.1,128.53,134.76,140.74,140.44
Interest,64.1,70.61,72.58,65.36,66.99,78.69,101.15,109.04,115.01,114.14
Profit before tax,229.7,233.56,262.45,250.38,153.55,69.19,158.17,180.58,240.54,408.99
Tax,80.2,93.38,63.02,89.59,42.51,32.03,48.08,67.11,64.81,125.19
Net profit,151.34,142.71,201.13,162.69,112.38,38.99,112.27,114.66,175.35,283.82
Operating Profit,329.76,365.53,383.99,406.35,304.92,247.27,349.53,407.79,466.96,625.12
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,69.93,69.93,69.93,69.93,69.93,77.27,77.27,77.27,77.27,77.27
Reserves,1676.23,1547.04,1517.1,1640.76,1904.94,2624.94,2950.42,3659.48,4247.62,4609.48
Borrowings,2783.12,3229,3322.8,3317.12,2940.55,2973.1,3502.96,3625.89,4115.28,5292.18
Other Liabilities,1234.45,1204.54,1275.04,1383.07,1540.6,1737.35,2011.39,2509.36,2962.81,3306.12
Total,5763.73,6050.51,6184.87,6410.88,6456.02,7412.66,8542.04,9872,11402.98,13285.05
Net Block,2326.87,4073.62,4253.54,4541.71,4443.34,4536.75,5554.49,5937.36,6543.72,8209.73
Capital Work in Progress,1787.54,337.31,321.09,126.75,104.27,574.42,529.54,509.33,1032.07,827.85
Investments,67.51,36.51,78.63,80.27,118.93,438.26,45.84,142.24,215.68,92.29
Other Assets,1581.81,1603.07,1531.61,1662.15,1789.48,1863.23,2412.17,3283.07,3611.51,4155.18
Total,5763.73,6050.51,6184.87,6410.88,6456.02,7412.66,8542.04,9872,11402.98,13285.05
Receivables,111.71,177.08,211.35,201.93,235.79,257.24,267.67,361.53,426.8,480.08
Inventory,542.34,541.87,493.11,560.89,589.81,623.88,690.4,756.59,1208.71,982.12
Cash & Bank,408.64,417.14,373.12,435.31,572.5,455.63,634.48,1224.65,325.16,833.27
No. of Equity Shares,69927250,69927250,69927250,69927250,69927250,77268251,77268251,77268251,77268251,77268251
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,364.27,256.2,580.02,771.81,883.11,703.87,1371.75,1593.47,878.46,1377.08
Cash from Investing Activity,-1557.51,-478.01,-407.61,-668.12,-79.01,-824.97,-1483.2,-1347.78,-983.84,-1964.3
Cash from Financing Activity,1226.55,230.31,-193.23,-345.6,-722.79,172.83,-113.11,-137.46,61.68,741.32
Net Cash Flow,33.31,8.49,-20.82,-241.91,81.32,51.73,-224.56,108.23,-43.69,154.1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
