COMPANY NAME,FORTIS HEALTHCARE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,452.1,,,,,,,,,
Market Capitalization,34146.42,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3491.88,3965.86,4198.89,4573.72,4560.81,4469.35,4632.32,4030.12,5717.62,6297.63
Raw Material Cost,880.66,934.51,941.67,999.86,1004.08,918.14,985.49,974.48,1403.37,1454.65
Change in Inventory,,,,2.3,5.06,-10.09,21.65,-1.42,46.14,-0.06
Power and Fuel,94.5,103.16,107.61,100.74,95.36,100.11,104.47,102.17,111.07,119.06
Other Mfr. Exp,202.73,893.18,1610.09,1393.53,1587.54,1551.02,1417.09,1196.95,1552.07,1807.84
Employee Cost,695.43,773.97,831.93,1234.9,906.04,924.99,923.62,856.01,980.28,1053.92
Selling and admin,1503.93,1137.45,593.9,502.07,598.13,713.04,674.72,540.76,787.59,907.28
Other Expenses,52.76,14.31,21.28,-9.14,100.66,20.55,-61.81,-46.12,-139.58,-146.52
Other Income,152.49,92.05,299.49,649.25,-689.09,228.24,125.76,95.33,366.52,157.17
Depreciation,182.84,234.56,225.1,222.18,238.96,232.92,291.73,290.6,300.84,315.74
Interest,250.16,151.78,133.05,229.44,257.79,336.83,205.06,165.88,146.85,129.09
Profit before tax,-218.64,-185.01,33.75,551.69,-911.78,-110.1,239.36,43.3,987.79,813.68
Tax,10.67,4.53,-8.01,72.4,22.65,113.61,147.87,99.46,197.84,180.7
Net profit,-218.81,-143.7,18.42,421.66,-1009.22,-298.94,57.94,-109.76,555.12,588.73
Dividend Amount,0.32,0.93,,,,,,,,75.5
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1462.54,1466.65,1378.1,1487.85,1607.2,1559.88,1642.7,1657.41,1769.95,1679.68
Expenses,1178.19,1179.72,1156.87,1236.75,1304.27,1283.44,1371.83,1385.57,1439.78,1395.71
Other Income,12.56,20.16,12.52,30.72,74.63,25.78,26.04,9.62,18.47,19.05
Depreciation,74.54,76.11,77.28,74.29,76.92,82.75,81.78,79.24,84.12,86.91
Interest,40.34,38.06,30.02,31.2,32.8,33.37,31.72,31.49,31.81,32.96
Profit before tax,182.03,192.92,126.45,176.33,267.84,186.1,183.41,170.73,232.71,183.15
Tax,51.43,51.21,39.42,42.02,49.6,43.97,45.11,46.78,48.81,48.92
Net profit,106.86,116.74,67.97,122.25,204.37,129.56,132.55,111.76,173.72,134.67
Operating Profit,284.35,286.93,221.23,251.1,302.93,276.44,270.87,271.84,330.17,283.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,462.79,462.81,463.13,517.73,518.66,754.95,754.96,754.96,754.96,754.96
Reserves,3819.58,3584.82,3998.03,4625.76,3543.07,5845.85,5906.13,5364.85,5423.28,6487.3
Borrowings,1880.32,1784.27,1513.43,2217.34,1962.19,2010.27,1594.28,1530.55,1254.93,925.73
Other Liabilities,1688.01,1759.8,1257.27,2227.27,2454.65,2874.87,2780.84,3215.6,4082.47,3921.34
Total,7850.7,7591.7,7231.86,9588.1,8478.57,11485.94,11036.21,10865.96,11515.64,12089.33
Net Block,4146.78,4217.69,3641.52,5419.04,4992.05,8476.72,8802.35,8799.08,9415.7,9426.39
Capital Work in Progress,147.11,228.17,225.77,268.12,226.08,449.78,203.75,164.92,193.48,227.83
Investments,1817.38,1463.5,1451.92,1877.87,1731.92,269.59,174.54,186.03,103.6,210.3
Other Assets,1739.43,1682.34,1912.65,2023.07,1528.52,2289.85,1855.57,1715.93,1802.86,2224.81
Total,7850.7,7591.7,7231.86,9588.1,8478.57,11485.94,11036.21,10865.96,11515.64,12089.33
Receivables,440.74,409.38,444.06,472.94,470.19,542.42,458.78,457.76,512.17,581.61
Inventory,61.98,63.97,60.04,61.57,66.63,56.53,78.18,76.76,122.9,122.84
Cash & Bank,258.54,189.65,167.23,546.5,219.67,855.85,265.95,416.58,412.7,362.73
No. of Equity Shares,462786314,462805400,463129994,517727631,518657231,754954948,754958148,754958148,754958148,754958148
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,479.1,24.14,194.67,966.45,492.9,-178.53,171.54,485.49,865.39,822.25
Cash from Investing Activity,2502.77,212.97,122.13,-1001.28,-333.44,-3279.32,63.48,-130.55,-500.61,-372.48
Cash from Financing Activity,-3217.23,-303.53,-354.29,259.37,-672.05,4256.61,-861.61,-142.93,-517.31,-471.22
Net Cash Flow,-235.36,-66.42,-37.49,224.54,-512.6,798.76,-626.59,212.01,-152.52,-21.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
