COMPANY NAME,HIKAL LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,286.6,,,,,,,,,
Market Capitalization,3534.4,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,871.85,925.65,1013.94,1296.09,1589.61,1507.26,1720.44,1942.72,2023.03,1784.6
Raw Material Cost,431.89,447.77,494.83,715.32,868.8,781.9,906.71,1032.21,1121.59,805.15
Change in Inventory,4.87,-16.49,-14.55,16.34,14.98,5.58,-1.67,35.82,14.56,-19.51
Power and Fuel,93.85,83.7,85.63,108.41,132.04,129.99,147.83,175.46,186.91,
Other Mfr. Exp,27.1,33.33,42.99,55.36,90.24,93.71,91.27,110.43,117.12,
Employee Cost,91.05,109.91,117.07,128.59,137.09,157.8,166.01,205.3,223.56,246.53
Selling and admin,41.37,41.37,43.36,45.37,51.1,54.34,62.36,93.29,104.31,
Other Expenses,9.05,12.24,14.67,17.63,27.17,21.8,21.7,21.29,26.34,446.38
Other Income,1.58,1.84,-3.16,4.46,2.24,-11.84,4.98,4.89,4.72,2.45
Depreciation,64.19,67.28,69.14,85.59,92.88,82.46,85.25,95.67,109.01,117.61
Interest,60.05,62.21,48.27,49.12,58.43,52.42,36.2,31.22,48.1,56.37
Profit before tax,59.75,53.19,80.27,111.5,149.08,126.58,206.42,218.56,105.37,95.5
Tax,19.35,11.99,12.54,34.27,46.01,42.14,73.28,58.06,26.99,25.9
Net profit,40.41,41.2,67.72,77.23,103.08,84.44,133.14,160.5,78.38,69.6
Dividend Amount,8.22,8.22,9.86,9.86,14.8,14.8,24.66,19.73,14.8,7.4
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,514.53,502.35,378.79,558.75,540.2,545.29,388.05,434.88,447.57,514.1
Expenses,421.62,441.36,356.04,489.02,465.62,457.28,337.76,377.36,382.81,419.64
Other Income,0.57,0.27,3.27,1.25,2.51,0.38,0.94,0.99,0.06,0.46
Depreciation,24.68,24.23,26.5,27.41,28.27,26.83,27.73,28.57,28.97,32.34
Interest,7.18,8.08,11.29,10.8,13.03,12.98,13.79,13.08,14.24,15.26
Profit before tax,61.62,28.95,-11.77,32.77,35.79,48.58,9.71,16.86,21.61,47.32
Tax,16.42,8.24,-2.91,7.93,9.38,12.58,2.79,4.29,5.47,13.35
Net profit,45.2,20.71,-8.86,24.84,26.41,36,6.92,12.57,16.14,33.97
Operating Profit,92.91,60.99,22.75,69.73,74.58,88.01,50.29,57.52,64.76,94.46
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,16.44,16.44,16.44,16.44,24.66,24.66,24.66,24.66,24.66,24.66
Reserves,516.04,547.34,588.54,652.95,731.55,791.84,908.74,1043.32,1108.81,1162.93
Borrowings,547.14,504.97,597.85,635.09,660.91,645.86,610.25,675.02,748.18,817.57
Other Liabilities,212.41,206.27,176.63,237.22,268.38,305.62,369.57,470.11,503.83,481.9
Total,1292.03,1275.02,1379.46,1541.7,1685.5,1767.98,1913.22,2213.11,2385.48,2487.06
Net Block,639.35,623.18,668.33,633.59,712.96,735.22,712.55,879.46,948.31,1070.63
Capital Work in Progress,61.66,66.13,62.76,117.88,78.69,160.82,254.24,294.78,412.15,414.34
Investments,3.12,3.12,3.62,2.6,1.02,0.68,0.61,10.91,5.3,5.36
Other Assets,587.9,582.59,644.75,787.63,892.83,871.26,945.82,1027.96,1019.72,996.73
Total,1292.03,1275.02,1379.46,1541.7,1685.5,1767.98,1913.22,2213.11,2385.48,2487.06
Receivables,127.97,112.31,256.47,287.37,349.72,340.44,485.53,437.72,441.78,550.34
Inventory,313.95,291.11,263.58,303.05,364.23,312.46,266.7,328.98,316.74,303.72
Cash & Bank,13.7,19.16,16.47,27.22,31.74,63.57,36.81,49.09,59.55,20.77
No. of Equity Shares,82200500,82200500,82200500,82200500,123300750,123300750,123300750,123300750,123300750,
New Bonus Shares,,,,,41100000,41100000,41100000,41100000,41100000,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,102.18,185.61,163.48,138.81,185.59,284.93,229.02,293.73,315.31,
Cash from Investing Activity,-42.89,-63.91,-102.17,-110.12,-124.59,-163.8,-156.2,-284.37,-292.34,
Cash from Financing Activity,-68.82,-123.63,-63.28,-24.79,-55.4,-100.86,-96.87,-5.56,-7.68,
Net Cash Flow,-9.53,-1.93,-1.96,3.9,5.59,20.27,-24.05,3.8,15.29,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,93.37,78.23,142.5,137.17,173.65,69.65,143.55,402.3,281.65,265.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
