COMPANY NAME,COLGATE-PALMOLIVE (INDIA) LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,2765.9,,,,,,,,,
Market Capitalization,75078.33,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,3578.81,3981.94,3868.19,3981.82,4187.97,4462.43,4525.08,4841.22,5099.78,5226.2
Raw Material Cost,1428.79,1484.07,1480.51,1470.75,1472.05,1583.06,1594.44,1573.17,1664.09,1790.26
Change in Inventory,26.77,16.35,4.25,-5.58,-16.68,24.48,21.56,23.8,-3.43,-3.92
Power and Fuel,22.76,32.68,37.84,44.04,44.16,46.45,45.35,40.96,43.54,47.44
Other Mfr. Exp,121.29,140.01,154.29,167.06,179.77,201.48,220.48,206.96,217.05,225.88
Employee Cost,212.15,259.52,263.29,289.37,306.98,296.96,333.76,367.29,386.67,378.75
Selling and admin,1081.1,1163,904.71,950.47,949.76,1017.13,1034.09,1039.32,1076.72,1089.1
Other Expenses,75.48,96.07,92.28,111,104.68,105.77,116.84,127,142.18,143.83
Other Income,114.7,32.47,7.17,41.12,25.65,68.16,49.24,29.66,26.1,42.37
Depreciation,50.75,75.02,111.41,133.24,156.51,159.17,197.94,182.5,177.3,174.8
Interest,,,,,,2.5,9.62,7.26,5.89,4.91
Profit before tax,727.96,780.39,835.28,851.43,983.03,1142.55,1043.36,1350.22,1409.01,1409.68
Tax,188.09,221.41,254.11,274,309.66,366.99,226.89,314.83,330.69,362.53
Net profit,539.87,558.98,581.17,577.43,673.37,775.57,816.47,1035.39,1078.32,1047.15
Dividend Amount,367.2,326.4,272,272,652.8,625.6,761.6,1033.6,1088,1060.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,1352.42,1280.12,1301.27,1196.81,1387.48,1291.27,1350.63,1323.67,1471.09,1395.65
Expenses,951.66,899.57,871.85,871.14,979.49,929.82,898.73,905.55,988.96,927.26
Other Income,6.51,5.68,8.86,2.2,11.28,10.41,18.48,-4.53,21.01,17.89
Depreciation,44.89,43.92,43.81,44.16,43.86,43.67,43.11,43.76,44.28,41.37
Interest,1.5,1.51,1.35,1.3,1.27,1.26,1.08,1.07,1.05,1.51
Profit before tax,360.88,340.8,393.12,282.41,374.14,326.93,426.19,368.76,457.81,443.4
Tax,91.71,88.47,69.55,72.74,96.12,83.69,109.97,95.08,117.76,113.29
Net profit,269.17,252.33,323.57,209.67,278.02,243.24,316.22,273.68,340.05,330.11
Operating Profit,400.76,380.55,429.42,325.67,407.99,361.45,451.9,418.12,482.13,468.39
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,13.6,13.6,27.2,27.2,27.2,27.2,27.2,27.2,27.2,27.2
Reserves,586.28,756.72,1003.84,1246.6,1497.41,1419.55,1566.96,1138.66,1707.48,1689.19
Borrowings,,,,,,83.14,101.5,91.18,83.05,68.96
Other Liabilities,893.61,931.57,971.85,1036.85,1039.25,1096.59,908.31,1636.97,1084.1,1097.64
Total,1493.49,1701.89,2002.89,2310.65,2563.86,2626.48,2603.97,2894.01,2901.83,2882.99
Net Block,555.91,781.58,1008.14,1108.11,1145.91,1190.85,1122.86,1064.72,962.97,861.8
Capital Work in Progress,141.51,141.18,78.37,166.59,158.58,198.7,190.03,144.85,121.84,114.08
Investments,37.13,37.13,31.16,31.16,31.16,31.15,18.62,18.61,,
Other Assets,758.94,742,885.22,1004.79,1228.21,1205.78,1272.46,1665.83,1817.02,1907.11
Total,1493.49,1701.89,2002.89,2310.65,2563.86,2626.48,2603.97,2894.01,2901.83,2882.99
Receivables,54.73,69.64,101.54,129.9,201.03,209.79,132.56,117.08,224.68,157.37
Inventory,225.74,252.23,291.53,292.55,226.71,248.57,296.92,335.82,357.19,335.45
Cash & Bank,285.38,254.45,288.66,294.3,456.16,399.35,421.27,867.64,754.71,923
No. of Equity Shares,135992817,135992817,271985634,271985634,271985634,271985634,271985634,271985634,271985634,271985634
New Bonus Shares,,,135992817,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,457.38,638.15,688.73,688,693.93,983,929.58,783.86,1625.73,1176.26
Cash from Investing Activity,-180.37,-271.63,-236.61,-342.1,-207.34,-95.71,-18.66,71.35,-107.64,-7.55
Cash from Financing Activity,-422.07,-384.79,-391.45,-340.58,-379.77,-814.68,-891.1,-956.46,-1090.6,-1086.73
Net Cash Flow,-145.06,-18.27,60.67,5.32,106.83,72.61,19.82,-101.24,427.49,81.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
