COMPANY NAME,THIRUMALAI CHEMICALS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,253.35,,,,,,,,,
Market Capitalization,2596.45,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1275.05,1069.64,940.24,1028.46,1311.96,1261.04,1084.79,1085.74,1998.19,2132.24
Raw Material Cost,1019.63,803.53,649.45,701.61,760.55,844.98,773.09,646.34,1227.9,1518.56
Change in Inventory,-5.07,-47,-7.73,27.07,-21.81,16.72,-4.16,-3.02,29.87,-12.61
Power and Fuel,39.74,35.57,28.99,36.74,36.46,53.74,49.11,29.98,65.34,93.75
Other Mfr. Exp,31.01,31.74,33.36,39.65,47.91,44.5,41.44,35.22,62.29,89.04
Employee Cost,37.78,36.26,42.51,46.53,55.27,47.05,50.95,55.13,76.04,80.5
Selling and admin,52.27,58.52,68.59,62.05,80.55,71.35,69.06,75.82,140.65,135.28
Other Expenses,6.42,18.96,11.78,11.24,19.8,10.27,18.9,19.54,15.06,16.31
Other Income,3.28,7.67,5.19,4.14,6.77,11.51,20.96,6.87,11.59,30.15
Depreciation,22.99,17.83,25.13,35.85,30.55,36.35,44.07,49.52,56.63,55.68
Interest,48.54,34.71,23.05,16.72,12.83,12.17,16.81,20.91,20.37,31.25
Profit before tax,14.88,-6.81,54.84,109.28,253,168.86,38.16,157.13,375.37,129.41
Tax,3.01,6.92,22.68,38.61,82.56,55.29,14.99,39.44,94.14,39.58
Net profit,11.87,-13.72,32.15,70.67,170.44,113.57,23.17,117.69,281.23,89.83
Dividend Amount,,4.1,16.38,19.2,20.48,20.48,,22.53,25.6,15.36
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,477.1,541.16,582.83,621.05,572.05,508.21,430.93,522.66,542.05,491.9
Expenses,393.86,425.24,444.43,524.51,511.42,479.38,431.64,484.88,526.62,497.89
Other Income,4.48,3.19,2.79,3.2,6.17,10.52,11.16,4.55,6.45,4.44
Depreciation,14.68,13.87,14.99,12.62,13.28,13.81,15.97,15.5,15.78,15.39
Interest,5.15,4.76,5.97,6.05,6.54,11.38,7.28,9.98,10.18,11.69
Profit before tax,67.89,100.48,120.23,81.07,46.98,14.16,-12.8,16.85,-4.08,-28.63
Tax,17.29,25.02,30.17,21.02,12.66,5.86,0.04,6.2,1.92,-5.66
Net profit,50.6,75.46,90.06,60.05,34.32,8.3,-12.84,10.65,-6,-22.97
Operating Profit,83.24,115.92,138.4,96.54,60.63,28.83,-0.71,37.78,15.43,-5.99
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24,10.24
Reserves,204.85,182.86,208.49,387.99,562.72,657.61,627.9,792.65,1074.77,1181.68
Borrowings,221.52,141.57,90.8,61.6,50.05,103.13,197.09,182.7,165.07,514
Other Liabilities,320.88,212.14,210.83,326.63,202.15,369.86,364.79,357.63,611.51,654.32
Total,757.49,546.81,520.36,786.46,825.16,1140.84,1200.02,1343.22,1861.59,2360.24
Net Block,230.46,243.33,255.73,316.57,309.96,382.67,549.92,512.58,595.88,671.12
Capital Work in Progress,18.11,6.56,17.71,9.38,44.32,159.33,82.09,125.7,63.64,406.39
Investments,5.46,5.43,5.43,77.19,103.96,150.25,49.42,136,180.48,132.34
Other Assets,503.46,291.49,241.49,383.32,366.92,448.59,518.59,568.94,1021.59,1150.39
Total,757.49,546.81,520.36,786.46,825.16,1140.84,1200.02,1343.22,1861.59,2360.24
Receivables,230.76,151.81,129.35,138,119.44,112.72,90.28,87.2,156.2,101.93
Inventory,208.1,97.97,69.09,151.68,125.94,191.12,146.54,131.5,241.96,319.17
Cash & Bank,21.44,10.59,14.02,35.72,47.34,58.43,214.05,308.66,549.89,544.53
No. of Equity Shares,10241062,10241062,10241062,10242812,10242812,102428120,102388120,102388120,102388120,102428120
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,133.09,153.6,125.7,108.13,80.82,233.93,139.67,220.77,402.34,54.13
Cash from Investing Activity,-14.71,-19.23,-32.18,-44.22,-53.96,-220.61,-35.64,-158.55,-134.06,-335.24
Cash from Financing Activity,-115.51,-142.22,-93.27,-51.85,-16.44,15.78,45.69,-37.97,-69.98,205.8
Net Cash Flow,2.87,-7.85,0.24,12.06,10.42,29.1,149.72,24.25,198.3,-75.31
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,8.87,8.28,18,88.34,170.26,88.3,35.4,85.55,266,171.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
