COMPANY NAME,HINDALCO INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,619.4,,,,,,,,,
Market Capitalization,139082.82,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,87695.49,104281.1,98758.91,100183.78,115182.8,130542,118144,131985,195059,223202
Raw Material Cost,54114.04,66214.57,58269.19,58486.74,70876.04,78301,68286,78728,127293,137529
Change in Inventory,521.88,1237.89,-1283.05,2828.83,1991.42,-386,17,2146,9753,-3241
Power and Fuel,6724.99,8463.97,9221.66,8523.07,8614.11,9618,9696,8647,11148,17351
Other Mfr. Exp,5540.64,5817.56,4695.6,4610.48,4528.22,4954,5049,6016,7701,8848
Employee Cost,7547.13,8126.05,8117.08,8568.96,8669.79,9087,8892,10935,11751,12767
Selling and admin,4029.09,4305.16,4185.48,4372.01,4550.26,5665,5285,6054,8347,9918
Other Expenses,2237.31,3747.22,5209.15,6134.59,6240.52,7020,6647,6215,10225,10882
Other Income,677.37,-832.43,1499.83,1197.81,2878.73,1127,906,-964,1253,1307
Depreciation,3346.83,3493.38,4346.8,4457.24,4506.24,4777,5091,6628,6729,7086
Interest,2701.59,4178.42,5133.8,5742.44,3910.73,3778,4197,3738,3768,3646
Profit before tax,2653.12,340.23,-203.07,3314.89,8157.04,8083,5924,6206,19103,13241
Tax,524.92,256.38,498.43,1432.59,2074.17,2588,2157,2723,5373,3144
Net profit,2175.01,854.21,-250.74,1899.74,6082.92,5496,3767,3483,13730,10097
Dividend Amount,206.48,206.52,206.52,244.99,267.47,279.72,222,666,888,666
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,47665,50272,55764,58018,56176,53151,55857,52991,54169,52808
Expenses,40107,42960,48460,49589,50814,49603,50530,47277,48557,46943
Other Income,405,436,34,255,330,368,354,381,496,281
Depreciation,1640,1683,1761,1749,1713,1768,1856,1786,1843,1874
Interest,1291,852,805,847,879,934,986,992,1034,944
Profit before tax,5032,5213,4772,6088,3100,1214,2839,3317,3231,3328
Tax,1615,1538,921,1969,895,-148,428,863,1035,997
Net profit,3417,3675,3851,4119,2205,1362,2411,2454,2196,2331
Operating Profit,7558,7312,7304,8429,5362,3548,5327,5714,5612,5865
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,206.48,206.52,206.52,222.72,222.89,222,222,222,222,222
Reserves,40398.35,38122.02,40401.69,45836.08,54628.88,57279,58095,66311,77969,94584
Borrowings,64755.76,68467.55,67551.85,63817.45,52074.02,52415,68399,67206,64486,60291
Other Liabilities,32621.24,34949.82,32985.91,36268.14,40088.03,42056,41902,55073,79178,68392
Total,137981.83,141745.91,141145.97,146144.39,147013.82,151972,168618,188812,221855,223489
Net Block,61163.48,71958.76,85648.13,84686.8,85088.43,85860,89195,100269,106874,110626
Capital Work in Progress,23059.25,14111.27,4213.77,1813.86,2062.94,4097,7721,10202,4945,7700
Investments,12961.08,12346.34,12462.59,15157.48,10781.31,9012,9411,17133,14119,14116
Other Assets,40798.02,43329.54,38821.48,44486.25,49081.14,53003,62291,61208,95917,91047
Total,137981.83,141745.91,141145.97,146144.39,147013.82,151972,168618,188812,221855,223489
Receivables,9234.76,9186.43,7918.4,8274.8,9959.81,11389,9345,12959,21076,16214
Inventory,16694.26,18451.13,16787.25,18291.36,21631.39,22194,22384,30668,44483,42958
Cash & Bank,5021.29,5308.99,4407.29,8261.17,8057.76,9787,21569,8809,17392,15368
No. of Equity Shares,2064787900,2065526631,2064985760,2243800339,2246055400,2245530245,2246768936,2246768936,2247718973,2247740834
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,7955.72,7143.08,11687.74,12687.47,10897.68,11977,12745,17232,16838,19208
Cash from Investing Activity,-8095.39,-3872.65,-3220.06,-2875.95,5333.27,-5456,-7227,-25280,-6773,-7664
Cash from Financing Activity,1492.59,-2437.08,-8861.85,-5552.27,-16412.4,-5466,6656,-4882,-6765,-10345
Net Cash Flow,1352.92,833.35,-394.17,4259.25,-181.45,1055,12174,-12930,3300,1199
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,141.75,129,87.95,195.05,214.55,205.5,95.7,326.85,569.5,405.35
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,206.46,206.5,206.5,224.33,224.5,224.55,224.62,224.67,224.72,224.72
