COMPANY NAME,MARKSANS PHARMA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,156.1,,,,,,,,,
Market Capitalization,7084.99,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,630,796.69,893.33,767.16,912.69,1000.07,1134.21,1376.18,1490.84,1852.14
Raw Material Cost,370.7,446.74,504.85,506.68,502.58,517.91,514.88,731.33,703.92,927.75
Change in Inventory,2.77,1.3,-4.84,47.94,-20.55,19.9,-52.95,136.28,-12.9,6.39
Power and Fuel,7.8,9.72,12.58,12.97,11.55,13.99,14,15.95,18.59,24.5
Other Mfr. Exp,21.43,28.14,38.65,33.63,42.45,49.3,32.13,34.51,43.93,18.74
Employee Cost,66.44,72.61,122.42,149.7,147.75,159.07,168.42,197.32,220.3,239.37
Selling and admin,43.76,49.82,65.78,65.18,88.83,109.58,120.38,154.55,189.98,144.74
Other Expenses,4.93,6.15,7.95,2.21,20.54,37.98,39.2,39.17,42.33,163.84
Other Income,3.52,3.26,8.88,7.04,8.42,4.63,0.33,6.68,41.85,59.05
Depreciation,15.69,16.13,28.13,30.09,26.84,22.8,26.66,36.15,44.78,51.85
Interest,19.13,16.05,10.16,6.78,10.22,9.66,8.75,7.99,8.45,9.13
Profit before tax,86.41,155.89,106.85,14.9,49.8,104.31,157.17,302.17,247.51,337.66
Tax,12.79,43.92,24.1,3.56,14,23.86,36.42,63.62,60.7,72.33
Net profit,71.91,109.4,78.51,8.84,32.94,76.46,120.75,238.54,184.57,266.31
Dividend Amount,3.85,4.91,16.78,2.05,2.05,2.05,4.09,10.23,10.23,22.66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,361.2,362.63,418.04,433.77,452.57,479.83,485.98,500.03,531.24,586.13
Expenses,301.11,304.83,354.39,360.91,372.3,403.19,376.43,398.06,417.29,453.11
Other Income,8.57,12.06,15.34,16.5,14.15,17.65,11.01,10.1,19,4.8
Depreciation,7.39,8.56,21.36,11.12,14.05,12.74,13.94,13.66,17.55,22
Interest,1.5,0.95,5.03,1.8,2.54,2.35,2.44,1.58,1.63,3.16
Profit before tax,59.77,60.35,52.6,76.44,77.83,79.2,104.18,96.83,113.77,112.66
Tax,13.49,12.08,22.95,16.26,17.71,16.9,21.47,26.38,29.91,29.7
Net profit,45.49,48.27,28.11,59.72,61.25,63.41,81.93,68.66,83.52,83.24
Operating Profit,60.09,57.8,63.65,72.86,80.27,76.64,109.55,101.97,113.95,133.02
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,38.53,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,45.32
Reserves,90.15,326.33,400.89,392.5,429.93,501.55,595.08,845.56,1068.24,1699.85
Borrowings,159.74,88.59,87.9,109.71,117.96,100.22,29.65,34.1,110.78,122.95
Other Liabilities,201.67,219.7,192.4,208.67,141.92,159.76,236.37,306.87,416.3,322.27
Total,490.09,675.55,722.12,751.81,730.74,802.46,902.03,1227.46,1636.25,2190.39
Net Block,145.65,165.9,269.65,266.98,279.38,269.73,302.72,309.36,428.31,486.31
Capital Work in Progress,,,,0.36,,,,11.68,2.57,9.87
Investments,,,,,,,,,0.44,0.54
Other Assets,344.44,509.65,452.47,484.47,451.36,532.73,599.31,906.42,1204.93,1693.67
Total,490.09,675.55,722.12,751.81,730.74,802.46,902.03,1227.46,1636.25,2190.39
Receivables,169.61,183.45,217.29,247.58,176.91,176.6,243.35,271.38,394.78,416.85
Inventory,102.59,130.11,167.79,190.09,218.12,293.25,241.84,404.32,424.44,484.74
Cash & Bank,46.95,185.27,35.3,25.16,39.88,33.54,93.73,212.29,349.27,714.96
No. of Equity Shares,385307204,409313698,409313698,409313698,409313698,409313698,409313698,409313698,409313698,453163746
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,64.84,154.51,30.8,14.06,50.09,27.4,233.33,178.74,99.26,237.41
Cash from Investing Activity,-4.49,-33.19,-123.01,-20.73,-38.81,-13.48,-59.58,-44.9,-41.69,-259.21
Cash from Financing Activity,-29.28,16.99,-57.75,-3.47,3.38,-20.78,-113.55,-15.29,79.51,197.83
Net Cash Flow,31.07,138.32,-149.96,-10.14,14.67,-6.86,60.19,118.56,137.08,176.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,23.9,61.9,46.3,47.15,31.65,24.95,13.9,49.95,45.5,70.4
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,38.53,40.93,40.93,40.93,40.93,40.93,40.93,40.93,40.93,45.32
