COMPANY NAME,ADVANCED ENZYME TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,382.65,,,,,,,,,
Market Capitalization,4285.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,238.74,221.71,293.04,328.99,391.02,419.59,443.99,501.84,529.38,540.64
Raw Material Cost,57.86,47.99,69.66,70.14,80.33,65.95,90.83,100.21,130.32,127.53
Change in Inventory,10.8,0.27,7.99,-0.89,-1.14,-11.29,9.92,1.16,20.61,-4.28
Power and Fuel,14.89,10.13,10.17,12.87,18.1,19.29,19.37,21.45,29.95,38.1
Other Mfr. Exp,10.72,9.96,10.94,9.67,11.86,11.31,15.89,16.23,22.47,26.35
Employee Cost,32.91,36.13,44.55,50.8,68.79,80.46,80.38,87.32,104.14,114.97
Selling and admin,79.21,23.88,23.45,25.51,38.22,39.81,37.39,37.51,51.62,56.05
Other Expenses,4.12,3.02,4.69,7.45,7.64,7.98,6.66,7.71,8.88,15.01
Other Income,0.98,1.16,-2.81,2.58,1.39,4.78,5.63,8.85,6.39,20.55
Depreciation,9.87,9.02,8.72,12.76,18.3,21.12,25.78,28.72,34.98,35.03
Interest,13.19,9.26,7.86,4.43,9.06,5.2,4.08,2.57,2.96,3.48
Profit before tax,27.75,73.75,118.18,137.05,138.97,161.96,179.16,210.13,171.06,140.39
Tax,6.4,22.82,41.44,44.11,45.41,46.06,46.11,58.85,47.26,36.52
Net profit,20.09,50.1,75.85,91.55,90.06,111.06,129.29,145.93,119.58,105.64
Dividend Amount,1.24,1.83,2.18,4.47,5.58,6.7,6.7,10.06,11.18,11.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,127.08,133.56,131.73,121.12,138.69,142.11,138.71,147.28,157.84,160.94
Expenses,77.79,84.51,91.41,90.19,99.01,100.43,94.57,103.26,106.54,107.18
Other Income,0.9,1.21,3.38,1.99,3.87,8.52,7.02,6.67,6.1,14.4
Depreciation,8.6,8.82,9.08,8.64,8.81,9.13,8.45,8.63,8.73,8.6
Interest,0.34,0.32,0.68,0.58,0.6,0.62,0.61,0.65,0.75,0.68
Profit before tax,41.25,41.12,33.94,23.7,34.14,40.45,42.1,41.41,47.92,58.88
Tax,10.97,12.57,8.69,6.11,7.88,12.54,9.98,12.03,12.73,16.38
Net profit,29.7,27.48,24.43,17.87,26.21,29.44,32.12,28.81,34.41,41.77
Operating Profit,49.29,49.05,40.32,30.93,39.68,41.68,44.14,44.02,51.3,53.76
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,21.77,21.77,21.77,22.33,22.33,22.33,22.34,22.35,22.36,22.37
Reserves,144.6,188.27,256.32,441.72,536.76,656.52,817.32,948.59,1066.23,1212.7
Borrowings,166.87,115.03,101.34,54.06,66.77,35.03,27.8,27.96,34.74,33.5
Other Liabilities,73,92.41,70.88,64.55,101.55,91.31,103.73,150.4,136.85,141.94
Total,406.24,417.48,450.31,582.66,727.41,805.19,971.19,1149.3,1260.18,1410.51
Net Block,287.12,287.1,285.46,421.36,491.29,495.46,562.87,604.18,619.11,649.06
Capital Work in Progress,2.4,5.33,6.9,8.05,10.54,10.5,10.13,10.24,15.07,21.5
Investments,0.06,0.06,0.06,0.07,0.07,111.05,123.59,121.38,102.01,359.72
Other Assets,116.66,124.99,157.89,153.18,225.51,188.18,274.6,413.5,523.99,380.23
Total,406.24,417.48,450.31,582.66,727.41,805.19,971.19,1149.3,1260.18,1410.51
Receivables,32.37,37.01,41.8,49.82,58.59,58.73,74.69,86.27,88.21,100.34
Inventory,49.93,52.63,60.49,68.48,75.57,76.9,80.03,93.88,120.92,123.99
Cash & Bank,2.65,4.34,26.31,7.87,61.42,23.41,83.02,197.77,273.63,123.35
No. of Equity Shares,21766000,21766000,21765600,22326005,111630025,111648975,111678475,111728425,111800675,111824075
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,43.26,53.73,93.4,107.35,115.98,128.57,140.9,162.97,122.29,140.36
Cash from Investing Activity,-24.68,-15.44,-9.74,-59.81,-60.29,-123.55,-42.74,-27.33,1.65,-285.5
Cash from Financing Activity,-19.7,-36.33,-62.58,-65.3,-2.07,-43.09,-38.55,-26.39,-48.5,-25.8
Net Cash Flow,-1.12,1.96,21.09,-17.76,53.62,-38.07,59.6,109.26,75.44,-170.94
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,411.89,213.2,182.6,142.5,344.95,282.1,232
,,,,,,,,,,
DERIVED:,,,,,,,,,,
