COMPANY NAME,AMBUJA CEMENTS LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,574.3,,,,,,,,,
Market Capitalization,114073.98,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,9955.34,9436.89,20093.77,23608.69,26040.94,27103.55,24516.17,28965.46,38937.03,33159.64
Raw Material Cost,840.49,805.64,2344.28,2853.73,3435.72,3540.04,2867.79,3492.62,5230.77,4898.79
Change in Inventory,-16.22,-25.4,13.17,77.72,197.87,-143.64,-256.45,530.34,119.86,-23.99
Power and Fuel,2268.64,2057.51,3994.26,4951.72,5548.62,5722.19,4827.64,6787.52,11761.9,8109.31
Other Mfr. Exp,924.67,831.33,1653.76,1782.73,1901.36,1850.82,1440,1912.46,2533.58,
Employee Cost,586.33,594.05,1370.07,1511.24,1524.37,1570.75,1540.4,1529.15,1856.53,1352.79
Selling and admin,2974.68,3113.2,6388.2,7593.48,8636.95,8575.07,7461.98,8604.83,11200.69,
Other Expenses,410.69,467.5,1175.18,1135.93,1181,1104.05,1116.34,958.82,1351.05,12375.25
Other Income,418.98,353.22,440.57,335.38,232.19,600.71,288.02,252.22,446.69,1400.87
Depreciation,513.03,629.76,1460.93,1219.45,1153.94,1152.52,1161.78,1152.49,1644.67,1623.38
Interest,65.55,92.47,152.99,205.78,170.5,169.87,140.22,145.66,194.9,276.38
Profit before tax,1774.02,1173.25,2007.84,2767.73,2918.54,3875.31,3991.59,5164.47,3729.49,5900.62
Tax,287.51,365.37,573.77,822.85,-54.15,1092.15,884.75,1453.43,705.11,1162.61
Net profit,1486.5,807.88,1105.08,1516.36,2177.4,2095,2365.44,2780.38,2583.4,3576.79
Dividend Amount,681.89,434.53,555.98,714.83,297.85,297.85,3574.17,1250.96,496.41,439.54
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,7625.28,7900.04,8032.88,7143.17,7906.74,7965.98,8712.9,7423.95,8128.8,8893.99
Expenses,6497.07,6476.03,6921.73,6808.72,6885.32,6726.95,7045.95,6122.13,6396.7,7195.34
Other Income,-31.33,96.59,143.06,75.3,-17.57,141.62,268.5,480.04,203.86,448.46
Depreciation,330.34,305.52,318.76,330.67,337.39,352.33,371.72,380.9,417.7,453.06
Interest,38.2,31.96,39.96,40.51,43.04,39.43,52.07,61.25,70.14,92.91
Profit before tax,728.34,1183.12,895.49,38.57,623.42,988.89,1511.66,1339.71,1448.12,1601.14
Tax,297.37,326.66,30.05,-12.73,135.54,225.59,376.2,352.47,358.57,75.36
Net profit,290.65,658.87,752,93.18,434.41,644.94,905.61,792.96,823.05,1055.16
Operating Profit,1128.21,1424.01,1111.15,334.45,1021.42,1239.03,1666.95,1301.82,1732.1,1698.65
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,309.95,310.38,397.13,397.13,397.13,397.13,397.13,397.13,397.13,439.54
Reserves,9760.02,9961.02,19423.79,20275.07,21973.35,23680.86,22360.47,24956.61,26301.04,38235.87
Borrowings,34.03,35,28.96,24.12,39.68,41.06,470.6,476.57,522.73,699.01
Other Liabilities,3774.47,3826.56,12973.93,14812.9,14980.59,16059.13,16489.59,19374.28,24500.56,25923.39
Total,13878.47,14132.96,32823.81,35509.22,37390.75,40178.18,39717.79,45204.59,51721.46,65297.81
Net Block,6309.63,6170.17,21410.33,20898.22,20635.94,20701.34,20485.97,22253.56,23551.49,32450.73
Capital Work in Progress,692.14,416.42,582.04,667.2,1008.17,1554.43,2421.85,2167.73,2525.87,2658.45
Investments,2096.6,2148.83,174.8,153.07,133.23,149.57,167.3,198.11,213.65,786.29
Other Assets,4780.1,5397.54,10656.64,13790.73,15613.41,17772.84,16642.67,20585.19,25430.45,29402.34
Total,13878.47,14132.96,32823.81,35509.22,37390.75,40178.18,39717.79,45204.59,51721.46,65297.81
Receivables,231.65,290.46,924.07,931.53,1304.54,1068.56,561.13,619.07,1154.36,1213.14
Inventory,889.97,897.76,2163.51,2458.27,2957.89,2096.5,1648.58,2738.04,3272.79,3608.55
Cash & Bank,2462.28,2853.32,4564.01,6231.58,6439.28,9354.55,8935.63,11692.98,2961.04,11068.87
No. of Equity Shares,1549745800,1551897421,1985645229,1985645229,1985645229,1985645229,1985645229,1985645229,1985645229,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,2021-12-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,1675.46,1556.55,2810.29,3416.23,1703.41,4738.7,4832.31,5309.16,734.92,5645.82
Cash from Investing Activity,-455.96,-82.59,-4164.92,-738.1,-764.8,-1190.56,-1317.26,-2006.94,-14480.81,-8950.43
