COMPANY NAME,CANARA BANK,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10,,,,,,,,,
Current Price,545.5,,,,,,,,,
Market Capitalization,98889.87,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,43813.37,44039.49,41456.66,41345.32,47951.1,49758.75,70253.27,70613.79,85884.73,110518.76
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,202.69,210.17,240.31,286.75,321.81,328.12,550.55,672.35,680.74,
Employee Cost,4314.9,4491.35,4964.22,5700.18,5963.51,7502.36,13100.55,13209.81,14295.05,17112.27
Selling and admin,1227.61,1438.78,1555.25,1714.81,1844.01,1754.02,2846.41,2612.24,3181.97,
Other Expenses,4556.31,11644.25,8931.4,17880.3,19072.81,17224.06,26939.85,24740.97,24614.34,29935.52
Other Income,4733.45,5266.44,7852.26,7398,9907.16,11799.4,23086.18,23643.1,25325.04,28646.18
Depreciation,428.91,172.03,331.19,456.33,428.83,445.91,838.04,841.05,1020.96,
Interest,34133.12,34262.99,31540.27,29112.9,32338.69,35817.19,45182.5,43035.47,52990.06,72117.59
Profit before tax,3683.28,-2913.64,1746.28,-6407.95,-2111.4,-1513.51,3881.55,9145,14426.65,19999.56
Tax,825.26,-378.52,512.67,-2320.62,-2658.55,509,1179.57,3349.9,3618.86,5217.2
Net profit,2864.67,-2607.01,1358.28,-3951.4,601.85,-1986.43,2890.6,6124.82,11254.75,15278.57
Dividend Amount,498.96,,59.73,,,,,1179.18,2176.96,2920.75
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,17982.5,18226.88,18536.89,20482.35,22561.26,24304.22,25450.79,27289.61,28492.24,29286.12
Expenses,8386.25,10824.03,9382.47,11326.4,10830.7,12253.47,10989.55,10858.92,12001.33,13197.99
Other Income,3506.11,6291.54,5202.38,6876.02,5776.82,7469.82,6808.62,6601.6,7137.94,8098.02
Depreciation,,,,,,,,,,
Interest,10761.37,10855.84,11395.61,12681.08,13621.53,15291.84,16336.97,17934.27,18620.26,19226.09
Profit before tax,2340.99,2838.55,2961.19,3350.89,3885.85,4228.73,4932.89,5098.02,5008.59,4960.06
Tax,710.31,869.51,902.88,757.4,962.69,995.89,1359.39,1420.63,1270.33,1166.85
Net profit,1657.09,1918.8,2179.77,2705.55,3032.92,3336.51,3738.93,3797.67,3790.21,3951.76
Operating Profit,9596.25,7402.85,9154.42,9155.95,11730.56,12050.75,14461.24,16430.69,16490.91,16088.13
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,475.2,542.99,597.29,733.24,753.24,1030.23,1646.74,1814.13,1814.13,
Reserves,32016.51,31866.68,34088.11,36164.45,36935.99,40175.72,60762.85,68147.19,76239.62,
Borrowings,499487.81,506712.36,534858.1,563756.48,640165.66,668170.09,1060997.82,1132625.91,1237159.65,
Other Liabilities,26578.03,24602.9,26615.25,30781.3,33927.92,32064.23,56132.19,56201.52,65816.16,
Total,558557.55,563724.93,596158.75,631435.47,711782.81,741440.27,1179539.6,1258788.75,1381029.56,
Net Block,6968.93,7205.64,7185,8335.3,8432.78,8323.35,11268.82,11447.36,10333.97,
Capital Work in Progress,1.05,0.12,,,,,2.34,2.34,,
Investments,152121.7,152469.8,162072.92,157443.56,168678.05,192645.37,286191.25,311347.24,352892.65,
Other Assets,399465.87,404049.37,426900.83,465656.61,534671.98,540471.55,882077.19,935991.81,1017802.94,
Total,558557.55,563724.93,596158.75,631435.47,711782.81,741440.27,1179539.6,1258788.75,1381029.56,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,48647.56,56743.75,58967.38,50224.6,66531.24,68589.82,178866.38,182391.42,141702.82,
No. of Equity Shares,475196971,542991054,597290159,733244775,753244775,1030233351,1646738220,1814130252,1814130252,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,6343.75,9345.93,2575.35,-11120.19,18236.72,-5289.14,59117.66,918.99,-39977.87,15046.5
Cash from Investing Activity,-1103.87,-443.41,-475.83,-487.46,-745.49,-444.55,-1116.47,-1429.39,-1156.1,-1748
Cash from Financing Activity,-1463.9,-806.33,124.11,2864.87,-1184.59,7792.27,290.08,4035.45,445.36,-3834.47
Net Cash Flow,3775.98,8096.19,2223.63,-8742.78,16306.64,2058.58,58291.27,3525.05,-40688.61,9464.03
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,357.74,184.85,302.75,263.9,291.3,90.5,152.2,227.75,284.45,581.05
,,,,,,,,,,
DERIVED:,,,,,,,,,,
