COMPANY NAME,KAYNES TECHNOLOGY INDIA LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,10.0,,,,,,,,,
Current Price,2449.75,,,,,,,,,
Market Capitalization,15680.49,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,,,,,,,367.77,420.63,705.99,1125.91
Raw Material Cost,,,,,,,260.34,282.3,497.83,856.96
Change in Inventory,,,,,,,18.66,-3.82,3.68,67.72
Power and Fuel,,,,,,,2.81,3,3.76,5.23
Other Mfr. Exp,,,,,,,19.45,18.3,28.99,49.28
Employee Cost,,,,,,,47.5,45.9,60.24,77.34
Selling and admin,,,,,,,16.12,8.66,22.48,31.98
Other Expenses,,,,,,,-2.97,16.58,1.2,2.98
Other Income,,,,,,,1.08,4.04,4.11,11.4
Depreciation,,,,,,,8.38,10.08,13.16,18.74
Interest,,,,,,,24.6,25.16,27.09,36.48
Profit before tax,,,,,,,11.28,10.87,59.03,126.04
Tax,,,,,,,1.93,1.14,17.36,30.84
Net profit,,,,,,,9.48,9.73,41.68,95.2
Dividend Amount,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,,,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,,,183.42,238.47,199.27,289.09,364.59,297.18,360.85,509.29
Expenses,,,161.44,198.46,174.7,247.93,305.23,256.92,312.06,439.41
Other Income,,,2.21,-0.05,0.71,2.63,7.35,8.12,8.96,9.42
Depreciation,,,3.73,3.73,4.57,4.6,4.84,5.26,6.53,5.96
Interest,,,6.93,7.14,7.27,9.21,8.14,11.25,11.81,14.85
Profit before tax,,,13.53,29.09,13.44,29.98,53.73,31.87,39.41,58.49
Tax,,,2.79,9.24,3.39,7.11,12.45,7.21,7.09,13.3
Net profit,,,10.74,19.85,10.05,22.87,41.28,24.65,32.31,45.19
Operating Profit,,,21.98,40.01,24.57,41.16,59.36,40.26,48.79,69.88
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,,,,,,,6.8,6.8,46.16,58.14
Reserves,,,,,,,95.9,130.78,156.05,900.9
Borrowings,,,,,,,153.21,139.47,189.08,154.74
Other Liabilities,,,,,,,122.21,142.32,231.13,304.96
Total,,,,,,,378.12,419.37,622.42,1418.74
Net Block,,,,,,,65.72,72.1,113.34,131.7
Capital Work in Progress,,,,,,,11.95,12.62,8.33,29.34
Investments,,,,,,,1.6,1.69,1.52,3.28
Other Assets,,,,,,,298.85,332.96,499.23,1254.42
Total,,,,,,,378.12,419.37,622.42,1418.74
Receivables,,,,,,,93.65,121.75,197.73,227.07
Inventory,,,,,,,151.11,163.87,226.38,413.16
Cash & Bank,,,,,,,12.28,14.26,21.59,486
No. of Equity Shares,,,,,,,6800002,6800002,46158006,58142496
New Bonus Shares,,,,,,,,,,
Face value,,,,,,,10,10,10,10
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,,,,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,,,,,,,45.25,25.6,21.11,-41.6
Cash from Investing Activity,,,,,,,-9.93,-24.09,-44.53,-493.65
Cash from Financing Activity,,,,,,,-35.41,0.8,27.24,554.31
Net Cash Flow,,,,,,,-0.09,2.31,3.82,19.06
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,,,962.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,,,,0.68,0.68,4.62,5.81
