COMPANY NAME,VIJAYA DIAGNOSTIC CENTRE LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,730.25,,,,,,,,,
Market Capitalization,7458.38,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,,,,250.54,292.59,338.82,376.75,462.37,459.22,547.81
Raw Material Cost,,,,36.55,40.48,43.94,57.09,71.5,58.88,65.44
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,8.43,9.29,10.72,10.19,11.6,14.83,
Other Mfr. Exp,,,,27.89,14.54,16.59,22.78,24.63,29.26,
Employee Cost,,,,41.97,53.88,62.4,57.43,71.2,79.05,90.22
Selling and admin,,,,52.38,62.57,69.1,58.97,75.51,89.87,
Other Expenses,,,,3.77,3.72,3.44,4.31,4.23,5.3,171.25
Other Income,,,,6.69,10.36,15.36,11.85,12.82,14.15,18.77
Depreciation,,,,26.28,39.63,49.17,50.45,52.69,61.72,57
Interest,,,,5.04,13.53,15.39,15.25,16.45,20.95,23.99
Profit before tax,,,,54.92,65.31,83.43,112.13,147.38,113.51,158.68
Tax,,,,20.19,19.05,20.92,26.99,36.72,28.3,39.04
Net profit,,,,35.07,45.87,62.54,84.48,109.68,84.63,118.83
Dividend Amount,,,,,,,,10.2,10.21,10.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,110.78,116.2,104.36,120.75,113.12,120.99,121.05,138.86,132.69,155.21
Expenses,62.94,68.34,64.46,72.01,68.84,71.88,72.94,81.5,80.39,92.1
Other Income,3.2,3.19,2.77,3.3,3.56,4.52,5.71,6.75,3.06,3.25
Depreciation,13.01,15.28,14.18,15.9,20.28,11.36,12.47,13.69,14.54,16.3
Interest,4.18,4.34,4.77,4.87,5.54,5.77,5.88,5.85,6.06,6.19
Profit before tax,33.85,31.43,23.72,31.27,22.02,36.5,35.47,44.57,34.76,43.87
Tax,8.39,7.55,6.16,7.8,5.56,8.78,9.09,11.01,8.77,10.19
Net profit,25.29,23.71,17.45,23.33,16.36,27.49,26.2,33.32,25.85,33.45
Operating Profit,47.84,47.86,39.9,48.74,44.28,49.11,48.11,57.36,52.3,63.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,,,,4.53,4.53,4.53,4.53,10.2,10.21,10.23
Reserves,,,,157.23,202.85,270.01,354.47,458.02,534.52,646.96
Borrowings,,,,33.1,145.84,161.23,141.05,183.46,247.56,259.18
Other Liabilities,,,,39.28,53.21,46.48,41.19,61.78,61.12,66.38
Total,,,,234.14,406.43,482.25,541.24,713.46,853.41,982.75
Net Block,,,,118.86,259.24,271.6,267.71,370.46,523.91,742.55
Capital Work in Progress,,,,2.69,2.71,9.63,9.42,34.17,27.74,8.21
Investments,,,,73.31,68.88,54.71,27.67,54.28,139.03,109.17
Other Assets,,,,39.28,75.6,146.31,236.44,254.55,162.73,122.82
Total,,,,234.14,406.43,482.25,541.24,713.46,853.41,982.75
Receivables,,,,7.94,9.13,8,6.7,9.77,9.49,16.24
Inventory,,,,2.42,2.18,2.77,2.64,4.28,2.05,5.18
Cash & Bank,,,,18.12,52.63,118.19,194.24,192.36,116.42,73.08
No. of Equity Shares,,,,4528813,4528813,4531819,45318190,101965926,102071175,
New Bonus Shares,,,,,,,,,,
Face value,,,,10,10,10,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,,,,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,,,,62.12,90.53,106.11,129.64,158,164.61,
Cash from Investing Activity,,,,-97.98,-89.85,-30.62,-129.75,-123.06,-109.57,
Cash from Financing Activity,,,,-8.3,-7.18,-29.54,-48.77,-30.57,-41.91,
Net Cash Flow,,,,-44.15,-6.5,45.95,-48.88,4.36,13.13,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,,,,,,,,438.15,391.3,636.6
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,,,,0.45,0.45,0.45,4.53,10.2,10.21,10.23
