COMPANY NAME,TIPS INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,431.8,,,,,,,,,
Market Capitalization,5545.46,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,102.35,68.44,47.02,47.49,203.24,90.99,90.53,135.59,186.78,241.58
Raw Material Cost,0.02,0.01,,,,,,,,
Change in Inventory,-0.02,,,,,,,,,
Power and Fuel,0.11,0.08,0.08,0.08,0.08,0.09,0.04,0.05,0.13,
Other Mfr. Exp,64.65,19.46,30.72,17.77,162.8,28.77,10.46,23.9,48.66,
Employee Cost,5.81,5.86,6.61,6.61,7.07,7.43,8.07,6.26,7.33,10.91
Selling and admin,13.72,23.27,9.19,10.53,21.04,37.7,13.6,15.9,21.98,
Other Expenses,2.87,4.8,3.81,2.92,5.95,19.01,3.19,3.25,6.78,72.2
Other Income,1.46,3.07,19.4,2.44,4.48,17.83,4.89,3.21,5.36,14.38
Depreciation,1.75,1.61,1.47,1.39,1.3,1.18,0.81,0.75,1.33,1.97
Interest,11.55,12.61,10.24,6.63,2.19,0.28,0.02,0.07,0.29,0.35
Profit before tax,3.31,3.81,4.3,4,7.29,14.36,59.23,88.62,105.64,170.53
Tax,0.61,0.78,1.32,0.87,4.45,3.02,15.76,24.07,29.12,43.36
Net profit,2.7,3.03,2.98,3.13,2.85,11.34,43.47,64.56,76.52,127.17
Dividend Amount,1.54,1.51,1.43,1.43,1.43,2.15,1.95,2.59,6.42,77.04
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,44.23,34.12,34.23,49.56,50.98,52.02,52.62,60.87,64.83,63.26
Expenses,16.5,13.79,11.78,22.41,25.04,25.66,17.6,11.05,21.41,33.08
Other Income,0.66,1.37,1.03,1.14,1.25,1.93,2.03,3.6,3.44,5.33
Depreciation,0.16,0.27,0.38,0.4,0.18,0.37,0.57,0.45,0.44,0.5
Interest,,0.07,0.07,0.07,0.07,0.07,0.12,0.07,0.07,0.08
Profit before tax,28.23,21.36,23.03,27.82,26.94,27.85,36.36,52.9,46.35,34.93
Tax,6.71,5.43,5.85,7,6.75,9.52,9.25,13.25,11.7,9.16
Net profit,21.52,15.93,17.18,20.82,20.19,18.33,27.1,39.65,34.65,25.76
Operating Profit,27.73,20.33,22.45,27.15,25.94,26.36,35.02,49.82,43.42,30.18
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,15.36,15.07,14.32,14.32,14.32,14.32,12.97,12.97,12.84,12.84
Reserves,54.89,54.57,53.7,55.36,56.43,66.06,88.29,89.43,123.34,166.66
Borrowings,105.74,89.36,64.24,35.76,8.47,1.89,,,,5.01
Other Liabilities,4.25,14.77,3.14,96.95,15.49,7.89,48.85,44.38,56.52,154.36
Total,180.24,173.77,135.4,202.39,94.71,90.16,150.11,146.78,192.7,338.87
Net Block,27.59,26.03,24.61,23.3,15.21,14.63,14.58,6.51,5.11,7.95
Capital Work in Progress,,,,,,,,,,0.02
Investments,0.11,0.11,0.23,0.11,0.12,5.62,18.04,5.44,13.12,91.28
Other Assets,152.54,147.63,110.56,178.98,79.38,69.91,117.49,134.83,174.47,239.62
Total,180.24,173.77,135.4,202.39,94.71,90.16,150.11,146.78,192.7,338.87
Receivables,3.2,13.52,5.89,8.99,10.58,18.14,15.07,17.92,20.27,26.34
Inventory,97.8,104.51,74.92,57.46,28.66,,,,,
Cash & Bank,10.93,1.88,1.09,7.88,9.28,26.32,33.48,61.93,96.93,131.19
No. of Equity Shares,15358640,15067682,14318659,14318659,14318659,14318659,14318659,12968659,12842659,
New Bonus Shares,,,,,,,,,,
Face value,10,10,10,10,10,10,10,10,10,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,36.64,30.04,33.33,43.3,24.98,30.52,43.25,29.35,82.28,232.95
Cash from Investing Activity,3.27,0.62,0.34,0.26,9.34,-4.66,-13.52,-35.53,-49.45,-111.02
Cash from Financing Activity,-42,-39.77,-34.47,-38.77,-31.21,-8.59,-24.58,-2.85,-43.49,-84.82
Net Cash Flow,-2.09,-9.11,-0.8,4.79,3.12,17.27,5.15,-9.03,-10.66,37.11
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,3.72,5.89,5.29,8.32,5.5,8.48,42.36,195.08,146.04,460.65
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,15.36,15.07,14.32,14.32,14.32,14.32,12.97,12.97,12.84,12.84
