COMPANY NAME,V-GUARD INDUSTRIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,342.95,,,,,,,,,
Market Capitalization,14897.27,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,1505.54,1731.19,1844.89,2085.64,2311.74,2566.44,2481.96,2699,3476.67,4049.6
Raw Material Cost,1140.18,1303.46,1249.28,1530.67,1643.55,1844.08,1771.11,1919.45,2553.65,2790.94
Change in Inventory,9.19,13.38,-63.05,52.69,28.41,44.9,112.91,70.72,139.7,-89.12
Power and Fuel,8.34,7.93,8.48,11.21,13.49,13.59,14.54,13.11,15.64,18.01
Other Mfr. Exp,22.63,28.29,28.23,55.03,65,78.55,85.06,97.42,154.86,171.68
Employee Cost,85.93,94.48,110.93,144.07,170.29,202.22,207.08,224.98,267.23,295.42
Selling and admin,132.74,153.2,171.63,159.98,229.76,205.06,204.81,143.55,229.26,327.67
Other Expenses,2.37,24.2,35.28,27.43,30.34,48.14,58.26,64.43,60.91,55.87
Other Income,4.84,4.49,7.23,12.13,10.33,17.98,23.24,20.81,10.25,14.84
Depreciation,12.04,15.44,15.36,16.24,19.11,21.82,28.09,37.32,47.5,58.44
Interest,21.06,20.61,8.92,2.1,1.66,1.27,3.73,5.6,7.52,15.92
Profit before tax,94.28,101.45,160.96,203.73,177.28,214.59,245.43,284.67,290.05,241.37
Tax,24.15,30.72,49.28,59.12,44.19,49.07,60.28,85.69,63.25,62.04
Net profit,70.13,70.72,111.68,144.62,133.09,165.53,185.16,198.98,226.8,179.32
Dividend Amount,13.43,13.49,21.06,29.73,29.8,34.15,38.55,51.62,56.1,56.19
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,902.96,960.89,1050.27,1009.64,981.07,978.67,1080.14,1147.68,1071.86,1078.26
Expenses,809.41,876.31,939.45,927.75,909.97,917.85,993.69,1059.44,991.57,993.03
Other Income,2.73,2.75,3.3,5.06,3.06,5.53,1.83,11.13,13.5,2.24
Depreciation,10.81,13.43,12.32,12.9,14,15.5,16.04,16.62,16.44,16.87
Interest,3.03,1.44,1.56,1.72,1.81,2.31,10.08,10.77,8.97,8.92
Profit before tax,82.44,72.46,100.24,72.33,58.35,48.54,62.16,71.98,68.38,61.68
Tax,23.38,19.95,9.63,18.3,15.2,12.72,15.83,18.85,16.39,15.06
Net profit,59.06,52.5,90.6,54.02,43.15,35.82,46.33,53.13,51.99,46.62
Operating Profit,93.55,84.58,110.82,81.89,71.1,60.82,86.45,88.24,80.29,85.23
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,29.85,29.97,30.09,42.47,42.57,42.69,42.83,43.02,43.15,43.22
Reserves,288.59,347.76,440.69,591.9,709.05,856.97,950.95,1164.75,1359.35,1544.78
Borrowings,108.35,67.77,10.39,5.66,2.4,10.02,10,66.25,66.35,500.56
Other Liabilities,251.87,279.42,235.34,294.24,400.62,446.54,436.52,585.77,613.48,626.37
Total,678.66,724.92,716.51,934.27,1154.64,1356.22,1440.3,1859.79,2082.33,2714.93
Net Block,166.2,162.37,161.02,168.65,200.87,213.79,267.76,354.06,400.27,446.68
Capital Work in Progress,3.46,1.21,0.08,10.42,7.46,7.71,66.87,19.55,16.48,15.82
Investments,,,19.39,88.87,84.01,91.98,44.85,42.25,102.05,851.38
Other Assets,509,561.34,536.02,666.33,862.3,1042.74,1060.82,1443.93,1563.53,1401.05
Total,678.66,724.92,716.51,934.27,1154.64,1356.22,1440.3,1859.79,2082.33,2714.93
Receivables,212.1,243.71,279.24,312.12,444.49,454.32,321.77,384.72,479.24,531.74
Inventory,252.55,260.88,204.69,274.33,310.51,370.88,476.4,628.66,849.89,689.41
Cash & Bank,2.77,2.21,7.59,14.96,5.04,84.65,111.53,281.14,53.88,24.1
No. of Equity Shares,29847520,29973141,30085244,424654461,425675631,426934094,428287535,430188458,431541934,432174432
New Bonus Shares,,,,121329846,,,,,,
Face value,10,10,10,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,110.8,88.72,131.07,129.85,54.12,153.42,139.39,221.75,-32.9,415.95
Cash from Investing Activity,-27.99,-16.88,-31.6,-105.54,-27.11,-49.79,-110.45,41.21,-133.49,-774.15
Cash from Financing Activity,-92.61,-72.38,-94.14,-16.09,-36.96,-24.07,-89.8,-5.65,-60.89,328.41
Net Cash Flow,-9.8,-0.55,5.33,8.23,-9.96,79.56,-60.86,257.31,-227.27,-29.8
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,33.35,65.24,62.89,173.4,222.2,222.35,155.15,252.35,215.8,250.05
,,,,,,,,,,
