COMPANY NAME,SUPRAJIT ENGINEERING LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,1,,,,,,,,,
Current Price,406.65,,,,,,,,,
Market Capitalization,5636.01,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Sales,540.37,604.98,939.69,1202.84,1431.06,1589.9,1562.83,1640.86,1840.48,2752.36
Raw Material Cost,344.59,375.73,559.47,682.13,794.64,941.02,909.12,968.16,1084.34,1619.37
Change in Inventory,13.3,2.82,-4.03,-7.72,-6.03,26.2,-5.93,13.45,5.61,2.44
Power and Fuel,8.8,9.91,15.23,19.52,23.02,24.83,24.49,25.02,25.77,40.4
Other Mfr. Exp,11.51,12.13,19.13,19.15,24.4,22.19,22.96,24.06,28,45.66
Employee Cost,70.19,82.71,125.53,198.49,256.98,303.95,292.94,308.6,336.69,574.75
Selling and admin,27.91,36.17,69.55,66.2,75.78,82.8,78.17,81.48,103.89,147.98
Other Expenses,-2.54,-5.47,-8.92,5.89,13.04,8.34,10.38,10.26,7.32,13.23
Other Income,3.63,4.07,9.67,18.36,20.61,37.8,-5.19,33.59,48.11,37.86
Depreciation,8.36,8.99,15.78,27.43,37.25,41,58.13,56.76,58.51,95.46
Interest,14.05,16.97,26.14,30.5,27.11,24.55,22.66,19.22,14.52,35.57
Profit before tax,74.43,74.73,123.42,164.17,193.42,205.22,132.86,194.34,235.16,220.24
Tax,23.63,24.45,43.1,50.44,54.94,71.43,28.9,51.63,62.09,68.13
Net profit,50.81,50.28,71.94,113.74,138.48,133.79,103.97,142.71,173.08,152.11
Dividend Amount,11.4,11.4,13.79,19.59,19.59,21.68,24.48,24.48,27.68,31.83
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00
Sales,493.67,479.27,505.92,645.18,716.06,692.1,699.01,679.68,708.87,724.18
Expenses,413.6,425.2,429.36,591.22,637.39,611.2,611.91,608.19,639.07,636.9
Other Income,10.7,8.06,6.79,18.14,21.74,5.17,5.59,12.87,18.74,8.95
Depreciation,14.63,14.38,15.16,23.7,23.91,24.71,23.13,24.67,25.7,25.85
Interest,3.54,3.07,3.19,6.05,7.68,10.37,11.47,11.75,13.63,13.2
Profit before tax,72.6,44.68,65,42.35,68.82,50.99,58.09,47.94,49.21,57.18
Tax,23.05,12.96,16.36,15.03,23.08,12.95,17.08,14.82,14.45,16.93
Net profit,49.55,31.72,48.64,27.32,45.75,38.04,41.01,33.12,34.76,40.25
Operating Profit,80.07,54.07,76.56,53.96,78.67,80.9,87.1,71.49,69.8,87.28
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Equity Share Capital,12,12,13.13,13.99,13.99,13.99,13.99,13.99,13.84,13.84
Reserves,192.7,228.81,434.45,510.25,640.91,761.09,839.78,975.72,1070.13,1210.64
Borrowings,156.23,193.69,298.2,377.64,345.46,362.07,390.65,345.94,336.54,717.52
Other Liabilities,95.22,94.12,216.18,236.5,305.89,321.07,349.95,391.4,336.3,529.27
Total,456.15,528.62,961.96,1138.38,1306.25,1458.22,1594.37,1727.05,1756.81,2471.27
Net Block,152.37,167.95,330.28,556.46,544.06,553.31,613.45,598.12,587.61,807.49
Capital Work in Progress,0.73,17.04,17.81,2.41,3.26,27.18,15.17,4.93,10.17,27.78
Investments,74.83,111.75,148.71,22.57,130.4,171.99,276.29,319.52,261.89,445.15
Other Assets,228.22,231.88,465.16,556.94,628.53,705.74,689.46,804.48,897.14,1190.85
Total,456.15,528.62,961.96,1138.38,1306.25,1458.22,1594.37,1727.05,1756.81,2471.27
Receivables,118.87,125.05,209.57,244.21,289.01,291.57,275,331.96,297.19,460.84
Inventory,77.37,79.93,169.06,205.54,240.93,282,290.05,328.32,361.56,531.83
Cash & Bank,7.56,5.58,18.87,22.18,32.07,46.54,63.59,94.08,187.92,106.85
No. of Equity Shares,120020000,120020000,131338774,139872473,139872473,139872473,139872473,139872473,138385170,138392594
New Bonus Shares,,,,,,,,,,
Face value,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00
Cash from Operating Activity,37.52,67.17,92.77,125.77,217.26,144.75,232.03,161.02,181.58,239.09
Cash from Investing Activity,-52.59,-75.77,-240.2,-169.15,-123.11,-88.89,-154.41,-59.09,38.9,-548.25
Cash from Financing Activity,14.42,7.3,151.03,46.69,-84.54,-41.78,-60.68,-86.02,-111.49,223.19
Net Cash Flow,-0.65,-1.3,3.6,3.31,9.61,14.08,16.95,15.9,109,-85.97
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,68.35,129.8,131,240.45,278.5,244.8,112.6,275.5,342.2,344.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
