COMPANY NAME,FEDERAL BANK LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,157.05,,,,,,,,,
Market Capitalization,38258.71,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,7487.77,7826.28,8783.27,9914.9,11635.44,13590.39,14314.08,14381.53,17811.78,23565.47
Raw Material Cost,,,,,,,,,,
Change in Inventory,,,,,,,,,,
Power and Fuel,,,,,,,,,,
Other Mfr. Exp,48.17,57.44,62.11,58.15,67.15,76.04,70.05,85.81,115.26,
Employee Cost,915.26,1076.25,1191.61,1278.73,1427.33,1878.37,2174.41,2514.84,2444.05,3179.7
Selling and admin,371.18,382.44,422.24,510.88,538.55,611.81,657.42,752.51,942.82,
Other Expenses,366.31,1012.48,1072.61,1483.01,1538.94,2041.98,2625.4,2404.75,2325.53,3846.58
Other Income,878.54,808.36,1083.77,1160.22,1335.22,1881.81,1971.65,2120.93,2436.24,3216.48
Depreciation,79.49,108.17,123.91,124.73,122.26,125.73,114.92,138.9,182.18,
Interest,5056.33,5259.35,5652.58,6226.42,7316.33,8678.31,8434.96,7959.38,9975.24,14494.67
Profit before tax,1529.57,738.51,1341.98,1393.2,1960.1,2059.96,2208.57,2646.27,4262.94,5261
Tax,517.48,250.61,488.66,483.55,677.58,507.2,561.36,680.88,1087.18,1333.47
Net profit,1057.81,486.42,866.87,935.44,1316.29,1580.2,1664.33,1969.79,3164.72,3880.43
Dividend Amount,188.46,120.33,155.16,197.22,277.91,,139.73,378.46,211.62,292.24
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,3603.98,3686.3,3843.09,4258.93,4697.5,5012.26,5349.77,5791.28,6085.2,6339.22
Expenses,1430.69,1362.78,1351.01,1540.91,1543.5,1574.41,1634.13,1661.35,1814.06,1916.74
Other Income,521.32,484.25,475.08,627.65,565.08,768.42,741.31,756.92,908.35,809.9
Depreciation,,,,,,,,,,
Interest,1969.8,2029.95,2103.76,2349.04,2584.9,2937.54,3254.51,3544.14,3759.68,3936.34
Profit before tax,724.81,777.82,863.4,996.63,1134.18,1268.73,1202.44,1342.71,1419.81,1296.04
Tax,184.72,196.06,220.4,255.72,281.9,329.16,310.7,342.55,356.57,323.65
Net profit,539.77,587.54,634.22,733.34,843.25,953.91,880.12,994.1,1035.42,970.79
Operating Profit,2173.29,2323.52,2492.08,2718.02,3154,3437.85,3715.64,4129.93,4271.14,4422.48
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,171.33,343.79,344.81,394.43,397.01,398.53,399.23,420.51,423.24,
Reserves,7528.94,7720.34,8606.56,11879.81,13101.24,14423.83,16104.72,18835.01,21699.17,
Borrowings,73215.67,84407.22,104007.57,124298.94,143585.22,164779.63,184456.7,201264.91,238850.48,
Other Liabilities,1992.77,2234.38,2526.8,2640.48,3469,3751.34,4005.87,5720.62,7031.17,
Total,82908.71,94705.73,115485.74,139213.66,160552.47,183353.33,204966.52,226241.05,268004.06,
Net Block,446.1,507.88,477.4,451.73,461.58,477.2,504.41,643.26,890.32,
Capital Work in Progress,26.58,15.76,14.94,9.62,18.35,27.61,13.08,28.85,81.39,
Investments,20349.44,24920.47,27912.26,30594.68,31675.7,35715.39,36731.67,39065.19,48702.24,
Other Assets,62086.59,69261.62,87081.14,108157.63,128396.84,147133.13,167717.36,186503.75,218330.11,
Total,82908.71,94705.73,115485.74,139213.66,160552.47,183353.33,204966.52,226241.05,268004.06,
Receivables,,,,,,,,,,
Inventory,,,,,,,,,,
Cash & Bank,4784.44,5423.14,7454.64,9195.21,10053.47,12757.31,19815.73,21136.11,17803.93,
No. of Equity Shares,856655197,1718946844,1724045414,1972144439,1985050203,1992664572,1996152748,2102546373,2116201143,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,5158.27,-1556.94,3430.66,-5050.93,7872.64,3730.57,11179.03,-7773.65,489.3,6431.17
Cash from Investing Activity,-1364.28,1990.45,-2384.3,-1579.11,-3377.77,-4688.2,-3913,901.38,-9859.6,-8908.36
Cash from Financing Activity,-3543.73,205.18,985.13,8370.62,-3636.61,3661.47,-207.61,8192.64,6038.13,3870.88
Net Cash Flow,250.27,638.7,2031.5,1740.57,858.26,2703.84,7058.43,1320.37,-3332.18,1393.69
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,66.03,46.45,91.45,89.2,96.45,41.05,75.8,97.4,132.3,150.2
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,171.33,171.89,172.4,197.21,198.51,199.27,199.62,210.25,211.62,243.54
