COMPANY NAME,STERLITE TECHNOLOGIES LTD,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
LATEST VERSION,2.1,,,PLEASE DO NOT MAKE ANY CHANGES TO THIS SHEET,,,,,,
CURRENT VERSION,2.1,,,,,,,,,
,,,,,,,,,,
META,,,,,,,,,,
Number of shares,,,,,,,,,,
Face Value,2,,,,,,,,,
Current Price,116.5,,,,,,,,,
Market Capitalization,5680.22,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PROFIT & LOSS,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Sales,3097.06,2143.99,2448.85,3177.11,5087.26,5154.4,4825.18,5437,6925,5478
Raw Material Cost,1854.68,972.59,1105.79,1255.14,2621.9,2369.86,2534.83,3089,3165,2487
Change in Inventory,30.97,11.78,106.07,-15.93,134.67,-97.63,139.9,320,-134,-12
Power and Fuel,110.2,82.9,96.37,98.98,121.97,139.18,142.43,142,203,
Other Mfr. Exp,192.77,167.53,198.71,247.47,315.14,266.06,315.06,389,479,
Employee Cost,176.42,205.7,299.16,345.47,512.8,631.35,648.97,663,914,952
Selling and admin,168.99,144.78,199.81,246.64,309.98,318.02,298.84,563,889,
Other Expenses,161.69,122.89,135.71,221.78,220.58,271.25,217.89,246,246,1457
Other Income,48.71,10.44,20.16,37.62,36.86,-16.41,57.83,-22,-64,68
Depreciation,184.98,125.6,159.23,182.21,194.98,290.28,285.26,308,309,335
Interest,326.9,119.24,122.93,103.83,105.49,221.04,203,238,311,369
Profit before tax,0.11,224.98,257.37,497.28,855.95,533.32,376.63,97,211,-66
Tax,3.69,65.19,39.66,133.15,278.16,108.88,111.27,52,84,-9
Net profit,-2.64,153.71,201.38,334.33,562.75,433.9,275.47,60,141,-51
Dividend Amount,23.64,3.95,49.79,80.2,140.89,141.38,79.33,20,40,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Quarters,,,,,,,,,,
Report Date,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00
Sales,1287,1497,1487,1683,1883,1872,1522,1494,1322,1140
Expenses,1299,1367,1326,1452,1641,1616,1308,1281,1232,1087
Other Income,-17,,-35,-17,-16,8,30,11,12,15
Depreciation,86,87,76,76,78,78,81,85,84,85
Interest,64,68,68,77,78,89,92,95,94,88
Profit before tax,-179,-25,-18,61,70,97,71,44,-76,-105
Tax,-37,,6,21,23,34,19,12,-17,-23
Net profit,-139,-22,-22,44,51,65,54,34,-57,-82
Operating Profit,-12,130,161,231,242,256,214,213,90,53
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
BALANCE SHEET,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Equity Share Capital,78.81,79.04,79.66,80.2,80.51,80.79,79.33,80,80,80
Reserves,1008.06,675.6,800.41,1095.12,1638.79,1838.99,1908.06,1875,2011,1943
Borrowings,5316.29,1085.16,1092.47,1177.54,2067.12,2576.86,2943.65,3475,3834,3583
Other Liabilities,1977.15,774.66,938.41,1358.88,3225.86,2697.89,3123.78,3281,2884,2725
Total,8380.31,2614.46,2910.95,3711.74,7012.28,7194.53,8054.82,8711,8809,8331
Net Block,4055.17,1136.96,1312.71,1234.08,2467.87,3059.59,3174.01,3351,3246,3209
Capital Work in Progress,2192.64,172.32,65.91,357.02,419.44,132.78,227.19,143,129,62
Investments,58.82,16.43,49.13,174.6,135.47,333.32,303.2,92,136,123
Other Assets,2073.68,1288.75,1483.2,1946.04,3989.5,3668.84,4350.42,5125,5298,4937
Total,8380.31,2614.46,2910.95,3711.74,7012.28,7194.53,8054.82,8711,8809,8331
Receivables,834.43,708.4,686.69,867.19,1354.86,1563.12,1451.42,1706,1822,1598
Inventory,414.91,205.31,333.49,337.85,589.65,451.81,626.35,920,832,822
Cash & Bank,375.92,77.72,137.41,138.48,233.68,244.54,248.37,530,507,403
No. of Equity Shares,394100000,395200000,398300000,401000000,402500000,403900000,396600000,397700000,398500000,
New Bonus Shares,,,,,,,,,,
Face value,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
CASH FLOW:,,,,,,,,,,
Report Date,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,2022-03-31 00:00:00,2023-03-31 00:00:00,2024-03-31 00:00:00
Cash from Operating Activity,392.68,214.66,488.5,728.95,631.05,696.42,638.48,584,226,791
Cash from Investing Activity,-1171.79,-128.04,-232.29,-586.46,-1171.78,-624.05,-615.29,-481,-55,-209
Cash from Financing Activity,850.04,-80.92,-186.9,-151.52,570.18,-67.9,23.2,115,-132,-691
Net Cash Flow,70.93,5.7,69.31,-9.03,29.45,4.47,46.39,218,39,-109
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
PRICE:,45.27,74.52,125.9,312.4,218.45,63.8,194.2,224.45,147.55,110.8
,,,,,,,,,,
DERIVED:,,,,,,,,,,
Adjusted Equity Shares in Cr,39.41,39.52,39.83,40.1,40.25,40.4,39.66,39.78,39.86,39.91
